"year","animal-products_animal_products","apples_fruits","bananas-&-plantains_fruits","barley_cereals","beans_pulses","beverages,-alcoholic_alcoholic_beverages","beverages,-fermented_alcoholic_beverages","cassava_starchy_roots","cereals,-other_cereals","citrus,-other_fruits","cloves_spices","cocoa-beans_stimulants","coconuts_oilcrops","coffee_stimulants","cottonseed-oil_oilcrops","dates_fruits","fruits,-other_fruits","grapefruit_fruits","grapes_alcoholic_beverages","groundnut_oilcrops","lemons-&-limes_fruits","maize_cereals","millets_cereals","miscellaneous_miscellaneous","oats_cereals","oilcrops,-other_oilcrops","olives_oilcrops","onions_vegetables","oranges-&-mandarines_fruits","palm-oil_oilcrops","peas_pulses","pepper_spices","pimento_spices","pineapples_fruits","potatoes_starchy_roots","pulses,-other_pulses","rape-&-mustard_oilcrops","rice_cereals","roots,-other_starchy_roots","rye_cereals","sesame-_oilcrops","sorghum_cereals","soybean_oilcrops","spices,-other_spices","sugar_sugarcrops","sunflower_oilcrops","sweet-potatoes_starchy_roots","sweeteners,-other_sugarcrops","tea_stimulants","tomatoes_vegetables","treenuts_oilcrops","vegetables,-other_vegetables","wheat_cereals","yams_starchy_roots,"
1961,58202,776,6392,5194,4011,2389,1424,12946,3020,86,1,338,8430,234,1523,734,3744,96,3054,5197,101,25591,6592,122,595,2026,2087,485,891,2767,881,27,276,186,7400,4739,656,39083,4908,3094,621,9166,2472,279,32874,1477,3936,543,75,521,1069,3821,61246,"3263,"
1962,58418,878,6449,5299,3927,2420,1490,12688,3218,87,1,368,8444,250,1550,714,3638,98,3138,5612,110,25622,6613,125,568,2118,2130,493,931,2833,851,31,283,193,7125,4764,729,39531,4977,3153,699,9499,2886,289,33773,1593,3979,558,77,532,1054,3863,61220,"3188,"
1963,58879,905,6383,5218,4078,2527,1434,12552,3287,88,1,369,8279,246,1520,774,3662,107,2958,5908,116,25488,6682,131,551,2172,2111,519,931,2977,887,26,279,193,7213,4775,651,40453,4953,3097,708,9401,3061,292,33454,1729,3885,551,78,559,1051,3916,61449,"3114,"
1964,59503,985,6616,5350,4161,2594,1429,12481,3230,90,2,390,8218,253,1569,765,3689,110,3181,5616,112,25912,6942,150,568,2172,2332,528,1014,3003,902,30,284,200,7272,4727,647,41065,4862,2837,708,9232,3229,298,34107,1850,3926,612,75,581,1032,3943,62380,"3099,"
1965,60058,890,6566,5393,4145,2651,1360,12861,3147,91,4,415,8206,253,1604,764,3660,106,3245,5970,100,25901,6656,190,647,2366,2300,528,998,2920,912,28,281,203,7170,4744,827,41147,4878,2861,701,8741,3271,291,35397,1949,3912,626,77,588,1007,3874,63244,"3092,"
1966,61172,947,6630,5511,4267,2769,1433,12483,3080,94,13,447,8368,275,1537,743,3780,114,3295,5943,95,25705,6877,216,586,2342,2354,536,1023,3009,924,30,287,220,7112,4620,778,41515,4912,2716,660,8703,3464,306,36078,2237,3884,677,78,617,1044,3984,63030,"2914,"
1967,61624,1047,6894,5527,4360,2693,1491,12436,2781,93,4,458,8100,285,1494,745,3730,115,3257,5892,117,26315,6774,219,509,2557,2319,556,1056,3085,894,43,294,243,7148,4684,934,40620,4816,2642,674,8825,3495,309,36590,2618,3719,686,75,623,1087,4032,63303,"3046,"
1968,63061,992,6881,5420,4243,2777,1472,12388,2711,93,2,458,7730,290,1474,726,3807,121,3404,6001,113,26008,6751,233,520,2796,2435,523,1081,3067,855,34,294,235,7095,4544,1004,40972,4886,2558,744,8701,3555,314,37191,2941,3650,776,79,639,1101,4037,63940,"3210,"
1969,63703,1030,6925,5722,4139,2865,1461,12151,2723,87,2,516,7804,297,1593,728,3698,118,3414,5852,112,26257,6890,254,491,2627,2376,542,1073,3184,826,32,280,245,7195,4588,970,41381,4877,2455,747,8316,3954,297,37655,2921,3703,818,79,682,1156,4020,64551,"3060,"
1970,64993,993,6887,5953,4131,2959,1553,12168,2635,93,2,610,7723,278,1491,746,3822,121,3324,5748,110,25707,6841,260,464,2654,2499,584,1112,3161,814,33,284,242,7127,4559,1046,41989,4770,2392,794,8184,4758,319,38304,2734,3738,820,81,677,1158,4104,64809,"3044,"
