"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,4,0,4,194,178,1,4,0,0,7,0,0,847,4,2,0,33,10,0,0,10,0,0,0,0,18,0,22,2,63,0,10,0,4,3,2,20,0,1,4,0,0,61,0,0,0,0,3,0,168,0,6,5,11
1962,1,0,2,166,154,1,4,0,0,4,0,1,891,3,2,0,30,12,0,0,8,0,0,0,0,11,0,26,1,45,0,10,0,4,5,4,18,0,0,4,0,0,45,0,0,0,0,3,0,177,0,6,6,11
1963,1,0,2,145,193,0,3,0,0,4,0,1,826,2,2,0,43,11,0,0,7,0,0,0,0,8,0,29,0,65,0,8,11,4,4,4,16,0,0,3,0,0,35,0,0,0,0,2,0,171,0,6,5,11
1964,1,0,1,153,177,0,4,0,0,4,0,0,814,2,2,0,46,11,0,1,16,0,0,0,0,10,0,32,2,56,0,8,32,4,3,3,22,0,1,3,0,0,33,0,0,0,0,2,0,177,0,6,5,11
1965,1,0,3,163,188,0,5,0,0,4,0,0,880,2,3,0,33,11,0,1,12,0,0,0,0,9,0,32,1,57,0,9,33,4,3,2,21,0,0,3,0,0,37,0,0,0,0,3,0,166,0,3,4,10
1966,1,0,2,164,154,0,4,0,0,4,0,0,906,1,2,0,38,9,0,1,12,0,0,0,0,6,0,26,1,67,0,8,28,4,3,2,17,0,0,3,0,0,26,0,0,0,1,3,0,170,1,3,4,12
1967,1,0,2,165,158,0,10,0,0,5,0,0,955,1,2,0,41,9,0,1,15,0,0,0,0,10,0,25,1,52,0,10,48,4,2,2,18,0,1,3,0,0,21,0,0,0,1,2,0,179,1,3,3,12
1968,1,0,1,180,198,0,6,0,0,6,0,1,955,1,1,0,41,8,0,1,16,0,1,0,0,13,1,28,1,63,0,0,42,3,3,2,17,0,0,3,1,0,33,0,0,0,1,2,0,182,1,2,3,14
1969,1,0,3,180,203,0,8,0,0,6,0,1,946,1,1,0,45,8,0,1,17,0,0,2,0,9,2,27,2,39,0,3,73,1,3,1,16,0,0,2,1,0,24,0,0,0,1,2,0,170,3,3,3,12
1970,1,0,4,173,196,0,10,0,0,4,0,0,919,1,1,0,35,9,0,1,20,0,1,2,0,15,2,34,1,62,0,5,53,2,5,2,16,0,1,2,0,0,32,0,0,0,1,1,0,151,5,3,4,14
1971,1,0,4,181,180,0,9,0,0,6,0,0,925,1,1,0,46,10,0,0,20,0,1,5,0,5,2,31,1,68,0,18,41,1,4,3,20,0,1,2,1,0,29,0,0,0,1,1,0,185,4,4,5,15
1972,1,0,4,192,191,0,15,0,0,9,0,0,1025,1,1,0,45,10,0,0,21,0,1,4,0,17,7,39,1,56,0,1,56,2,9,2,19,0,1,2,1,0,27,0,0,0,1,2,0,175,4,5,5,13
