"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,0,0,2,410,4,0,0,0,2,229,0,0,646,1,0,0,0,119,0,0,0,0,0,0,19,0,57,0,0,0,0,111,0,0,0,0,14,0,0,0,0,0,22,0,4,1,7,0,0,352,1,4,0,2
1962,43,0,1,425,4,0,0,0,3,238,0,0,597,1,0,0,0,121,0,0,0,0,0,0,28,0,24,0,0,0,0,188,0,0,0,0,10,0,0,0,1,1,20,0,4,1,8,0,0,459,1,4,0,3
1963,48,0,1,406,4,0,0,0,4,188,0,0,607,1,0,0,0,117,0,0,0,0,0,0,9,0,26,0,0,0,0,193,0,0,0,0,11,0,0,0,1,1,24,1,5,1,7,0,0,386,2,5,0,5
1964,48,0,0,427,5,0,0,0,4,172,0,0,694,1,0,0,0,119,0,0,0,0,0,0,4,0,27,1,0,0,0,175,0,0,0,0,14,0,0,0,1,1,21,0,4,1,10,0,0,382,3,4,0,4
1965,46,0,0,420,5,0,0,0,6,176,0,0,699,1,0,0,0,117,0,0,0,0,0,0,5,0,37,1,0,0,0,192,0,0,0,0,17,0,0,0,1,1,20,0,6,2,10,0,0,444,3,4,0,7
1966,61,0,0,454,10,0,6,0,8,140,0,0,576,1,7,0,0,115,1,0,6,1,1,0,10,0,30,0,0,0,0,180,0,0,0,0,30,0,0,0,2,1,22,4,7,2,13,0,0,464,8,4,0,6
1967,59,0,0,410,11,5,4,0,8,115,0,0,402,1,4,0,0,114,1,0,5,1,2,0,10,0,44,2,0,0,0,212,0,0,0,0,11,0,0,0,1,1,21,5,6,2,11,1,0,475,4,4,0,5
1968,57,0,1,419,12,0,22,0,10,147,0,0,422,1,5,0,0,115,1,0,6,1,0,0,6,0,31,2,0,0,0,180,0,0,0,0,12,0,0,0,3,2,21,4,12,3,11,0,0,483,8,4,1,9
1969,57,0,1,456,16,1,5,0,11,164,0,0,415,1,5,0,0,114,1,0,5,1,0,0,6,0,33,1,0,0,0,166,0,0,0,0,10,0,0,0,2,2,20,4,9,5,16,0,0,474,7,4,1,11
1970,68,0,1,514,17,10,5,0,14,147,0,0,441,2,4,0,0,116,1,0,7,1,0,0,7,0,108,0,0,0,0,141,0,2,0,0,13,0,0,0,1,3,25,3,4,8,39,0,0,476,8,5,1,13
1971,65,0,1,512,16,6,5,0,14,138,0,0,450,2,4,0,0,117,1,0,4,0,0,0,7,0,105,1,0,0,0,145,0,2,0,0,11,0,0,0,1,5,24,1,4,10,30,0,0,424,6,5,1,14
1972,24,0,1,510,15,3,7,0,15,145,0,0,458,2,3,0,0,114,0,0,2,0,0,0,9,0,85,2,0,0,0,127,0,2,0,0,11,0,0,0,2,6,21,2,4,11,26,0,0,324,5,4,1,14
1973,60,0,1,485,15,2,74,0,15,116,0,0,410,1,2,0,0,109,0,0,0,0,0,0,13,0,86,4,0,0,0,71,0,2,0,0,8,0,0,0,2,3,15,2,5,6,22,0,0,318,4,2,1,11
1974,17,0,1,469,8,0,89,0,17,114,0,0,430,0,1,0,0,104,1,0,2,0,5,0,7,0,89,3,0,0,0,57,0,3,0,0,9,0,0,0,3,1,18,3,3,2,17,1,0,309,4,3,1,8
1975,15,0,1,483,9,0,121,0,14,119,0,0,461,0,0,0,0,109,0,0,3,0,2,0,10,0,101,1,0,0,0,47,0,2,0,0,8,0,0,0,4,1,14,1,5,1,16,0,0,289,4,3,1,9
1976,31,0,1,458,7,0,109,0,14,111,0,0,451,0,0,0,0,105,0,0,2,0,2,0,9,0,101,1,0,0,0,0,0,2,0,0,8,0,0,0,3,2,16,1,6,2,13,0,0,318,4,3,1,11
1977,5,0,2,460,2,1,60,0,17,95,0,0,473,1,0,0,0,103,0,0,1,0,2,0,8,0,79,0,0,0,0,42,0,0,0,0,5,0,0,0,2,1,8,1,2,2,12,1,0,313,2,2,0,8
1978,1,0,2,510,4,0,74,0,9,83,0,0,387,1,5,0,0,102,1,0,2,1,1,0,8,0,93,1,0,0,0,5,0,0,0,0,5,0,0,0,1,2,18,1,5,3,18,0,0,286,4,3,1,9
1979,6,0,2,549,4,0,66,0,10,88,0,0,358,0,3,0,0,105,1,0,3,1,7,0,5,0,113,0,0,0,0,34,0,0,0,0,12,0,0,0,1,5,18,3,9,4,15,0,0,300,5,5,1,12
1980,2,0,6,638,12,0,63,0,11,85,0,0,365,2,14,0,0,113,2,0,6,1,18,0,2,0,140,0,0,0,0,57,0,1,0,0,26,0,0,0,3,2,22,2,6,2,10,1,0,335,6,5,1,13
1981,23,1,8,637,15,27,40,0,17,72,0,0,332,2,15,0,0,122,1,0,3,1,24,0,1,2,150,0,0,0,0,85,0,0,0,0,13,0,0,0,1,4,25,2,10,2,7,1,0,361,9,5,3,22
1982,26,0,1,667,15,0,43,0,17,77,0,0,349,0,14,0,0,115,2,0,5,2,24,0,0,0,144,0,0,0,0,46,0,0,0,0,17,0,0,0,3,3,25,1,7,2,8,0,0,299,9,4,2,24
1983,38,0,3,693,18,0,51,0,19,71,0,0,382,0,1,0,0,115,2,0,5,2,24,0,0,0,153,0,0,0,0,46,0,0,0,0,27,0,0,0,3,2,26,3,12,9,9,0,0,270,10,2,3,25
1984,43,3,5,772,23,12,69,0,19,73,0,0,431,1,9,0,0,126,2,1,8,2,24,0,1,11,180,0,0,0,0,55,0,0,0,0,35,0,0,0,3,1,27,2,5,1,10,1,0,246,10,6,2,28
1985,23,0,3,801,24,0,45,0,21,67,0,0,452,0,2,0,0,138,2,1,6,1,24,0,8,0,149,0,0,0,0,51,0,0,0,0,35,0,1,0,3,2,10,0,3,1,10,0,0,267,6,4,2,30
1986,22,0,3,828,24,0,31,0,23,75,0,0,432,0,2,0,0,142,2,1,6,1,26,0,5,0,158,0,0,0,0,52,0,0,0,0,37,0,1,0,4,2,10,1,5,1,7,0,0,270,6,3,2,31
1987,23,0,4,852,26,0,31,0,23,76,0,0,438,0,2,0,0,151,2,1,6,1,27,0,5,0,161,0,0,0,0,57,0,0,0,0,37,0,2,0,4,1,11,1,6,2,5,0,0,232,6,3,2,33
1988,26,0,10,888,20,9,28,0,23,81,0,0,441,0,2,0,0,161,2,1,6,1,27,0,5,0,177,0,0,0,0,38,0,0,0,0,38,0,1,0,2,2,13,2,8,2,10,0,0,289,7,5,2,36
1989,23,0,17,893,27,31,75,0,24,82,0,0,479,0,2,0,0,129,1,2,7,1,29,0,4,4,186,10,0,0,0,39,0,0,0,0,38,0,1,0,2,2,18,1,7,2,5,0,0,291,9,3,2,44
