"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,41,0,1,560,11,20,78,0,0,350,0,0,413,1,14,0,0,18,5,0,4,0,0,113,0,22,0,1,0,0,0,0,0,0,0,0,68,0,1,0,1,9,31,9,84,127,10,0,0,500,7,7,1,3
1962,52,0,1,575,14,19,69,0,0,356,1,0,417,2,14,0,0,18,5,0,5,0,0,122,1,19,0,1,0,0,0,0,0,0,0,0,69,0,1,0,0,8,31,8,111,133,9,1,0,504,8,7,1,3
1963,55,0,1,644,15,14,81,0,0,341,7,0,428,2,14,0,0,12,6,0,5,0,0,131,1,35,0,1,0,0,0,0,0,0,0,0,66,0,1,0,0,8,32,9,74,140,9,0,0,505,10,7,1,3
1964,56,0,1,641,15,15,83,0,0,297,2,0,426,2,13,0,0,14,7,0,5,0,1,146,2,26,0,1,0,0,0,0,0,1,0,0,75,0,1,0,0,7,34,8,55,140,11,1,1,502,10,7,1,4
1965,26,0,1,687,17,10,71,0,0,324,0,0,419,2,12,0,0,17,5,0,5,0,1,153,6,26,0,1,0,0,0,0,0,1,0,0,66,0,1,0,1,7,28,8,59,100,11,1,1,500,10,8,1,4
1966,92,0,1,646,20,9,72,0,0,303,0,0,444,2,12,0,0,13,5,0,8,0,2,142,1,30,0,1,0,0,0,0,0,0,0,0,68,0,1,0,1,7,28,10,65,86,12,1,1,503,9,8,1,5
1967,83,0,2,653,18,7,63,0,0,330,1,0,611,1,10,0,0,14,5,0,9,0,1,145,2,17,0,2,0,0,0,0,0,5,0,0,69,0,1,0,1,7,34,8,64,97,19,1,0,499,10,8,1,7
1968,83,0,3,676,19,3,73,0,0,295,4,0,478,2,9,0,1,15,2,0,11,0,1,146,3,15,0,2,0,0,0,0,0,5,0,0,80,0,1,0,1,7,38,8,54,128,17,1,1,498,9,8,1,8
1969,72,0,3,766,23,5,65,0,0,279,0,0,477,2,13,0,0,18,2,0,6,0,1,141,2,18,0,2,0,0,0,1,0,2,0,0,76,0,1,0,1,7,40,7,44,98,19,1,1,477,13,8,1,9
1970,49,0,3,801,27,5,72,0,0,302,3,0,462,2,7,0,0,23,2,0,9,0,0,147,2,19,0,2,0,0,0,1,0,0,0,0,88,0,1,0,1,8,36,6,51,133,23,1,1,496,9,9,1,12
