"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,2,5,1,67,4,4,462,16,0,12,0,163,14,0,6,0,1,42,0,0,3,1,0,34,0,14,1,0,124,0,2,0,0,2,90,0,6,0,0,0,0,248,0,7,28,354,0,0,0,24,0,0,2,9
1962,2,4,2,72,4,4,489,14,0,20,0,145,16,0,6,0,1,41,0,0,3,1,0,34,0,68,1,0,126,0,3,0,0,2,65,0,5,0,0,0,0,279,0,14,58,249,0,0,0,31,0,0,2,9
1963,1,4,2,73,3,6,460,17,0,18,0,154,14,0,6,0,1,40,0,0,3,1,0,32,0,63,1,0,134,0,3,0,0,2,55,0,7,0,0,0,0,284,0,15,34,239,0,0,0,34,0,0,2,10
1964,2,4,2,78,3,6,457,14,0,22,0,144,12,0,6,0,1,39,0,0,3,1,0,25,0,57,1,0,122,0,3,0,0,2,40,0,7,0,0,0,0,297,0,8,20,279,0,0,0,21,0,0,2,10
1965,3,4,1,79,3,5,502,12,0,28,0,140,18,0,6,0,1,38,0,0,3,1,0,23,0,98,1,0,119,0,3,0,0,2,43,0,4,0,0,0,0,334,0,5,35,288,0,0,0,22,0,0,3,10
1966,5,4,1,75,3,16,469,13,0,27,0,135,26,0,6,0,1,37,0,0,3,1,0,10,0,84,1,0,129,0,3,0,0,2,39,0,3,0,0,0,0,451,0,6,43,195,0,0,0,25,0,1,2,10
1967,1,4,1,88,2,6,433,14,0,27,0,140,23,0,6,0,1,37,0,0,3,1,0,13,0,128,1,0,134,0,4,0,0,2,58,0,6,0,0,0,0,361,0,10,44,266,0,0,0,32,0,1,3,10
1968,2,4,1,88,2,5,505,15,0,17,0,139,21,0,6,0,1,37,0,0,3,1,0,12,0,118,1,0,132,0,6,0,0,2,46,0,7,0,0,0,0,336,0,8,52,349,0,0,0,37,0,1,3,10
1969,2,4,1,89,3,5,450,13,0,30,0,133,36,0,6,0,1,37,0,0,3,1,0,4,0,128,1,0,145,0,8,0,0,2,52,0,4,0,0,0,0,388,0,10,60,238,0,0,0,37,0,1,4,10
1970,2,3,1,93,4,4,401,9,0,22,0,112,26,0,6,0,1,37,0,0,3,1,0,6,0,121,1,0,158,0,8,0,0,2,58,0,4,0,0,0,0,388,0,10,61,254,0,0,0,35,0,1,5,10
