"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,74,0,8,1072,36,41,0,0,0,40,0,0,432,3,10,0,0,101,0,0,10,0,0,0,0,0,128,4,0,0,0,0,0,20,0,0,18,0,0,5,0,1,91,1,2,0,5,4,1,328,70,1,2,66
1962,74,0,9,1091,38,44,0,0,0,39,0,0,447,3,9,0,0,99,0,0,12,0,0,0,0,0,132,3,0,0,0,0,0,20,0,0,20,0,0,5,0,1,80,1,4,0,5,4,1,336,67,1,1,71
1963,80,0,8,1101,40,46,0,0,0,42,0,0,397,3,18,0,0,109,0,0,9,0,0,0,0,0,140,3,0,0,0,0,0,20,0,0,18,0,0,5,0,1,81,1,5,0,3,4,1,341,30,1,1,70
1964,81,0,9,1071,44,49,0,0,0,36,0,0,426,4,18,0,0,110,0,0,9,0,0,0,0,0,151,4,0,0,0,0,0,20,0,0,20,0,0,5,0,2,85,0,6,0,9,4,1,335,73,1,1,69
1965,78,0,10,1063,48,49,0,0,0,36,0,0,410,3,18,0,0,105,0,0,11,0,0,0,0,0,157,5,0,0,0,0,0,18,0,0,19,0,0,8,0,2,77,0,6,0,8,3,1,354,52,1,1,72
1966,85,0,11,1130,48,52,0,0,0,32,0,0,386,4,13,0,0,100,0,0,3,0,0,0,0,0,153,7,0,0,0,0,0,17,0,0,18,0,0,7,0,2,72,0,5,0,8,3,1,361,47,2,0,74
1967,78,0,10,1088,51,50,0,0,0,37,0,0,416,5,14,0,0,100,0,0,9,0,0,0,0,0,156,5,0,0,0,0,0,24,0,0,23,0,0,9,0,2,70,0,5,0,5,3,1,356,60,1,0,74
1968,91,0,13,1175,50,50,0,0,0,36,0,0,405,16,15,0,0,102,0,0,9,0,0,0,0,0,154,5,0,0,0,0,0,19,0,0,15,0,0,10,0,2,69,0,5,0,7,5,2,413,66,1,0,69
1969,100,0,13,1181,51,56,0,0,0,34,0,0,401,10,15,0,0,99,0,0,9,0,0,0,0,0,163,9,0,0,0,0,0,20,0,0,15,0,0,10,0,3,76,0,2,0,55,5,1,377,51,1,0,67
1970,93,0,21,1131,59,41,0,0,0,36,0,0,412,15,19,0,0,109,0,0,8,0,0,0,0,0,183,8,0,0,0,0,0,21,0,0,25,0,0,12,0,7,76,0,5,0,91,4,1,372,53,1,1,87
1971,93,0,23,1155,79,72,0,0,0,33,0,0,416,12,19,0,0,96,0,0,9,0,0,0,0,0,163,13,0,0,0,0,0,17,0,0,13,0,0,12,0,3,79,0,4,0,49,3,1,323,66,1,1,75
1972,85,0,28,1120,84,80,0,0,0,34,0,0,390,14,19,0,0,125,0,0,11,0,0,0,0,0,161,16,0,0,0,0,0,24,0,0,17,0,0,10,0,6,79,0,2,0,63,4,1,328,117,0,1,81
1973,53,0,33,1116,94,60,0,0,0,30,0,0,424,13,18,0,0,122,0,0,11,0,0,0,0,0,161,22,0,0,0,0,0,22,0,0,14,0,0,11,0,7,79,0,0,0,60,4,1,292,71,1,1,87
1974,65,1,31,1130,93,89,0,0,0,40,0,0,368,12,18,0,0,104,0,0,9,0,0,0,0,0,158,22,0,0,0,0,0,24,0,0,16,0,0,10,0,7,53,0,0,0,61,4,1,326,75,1,1,94
1975,69,1,22,1131,106,57,0,0,0,44,0,0,405,12,19,0,0,103,0,0,8,0,0,0,0,0,162,27,0,0,0,0,0,26,0,0,13,0,0,10,0,5,53,0,0,0,43,5,2,255,46,1,2,85
1976,65,1,24,1150,104,103,0,0,0,40,0,0,352,13,16,0,0,91,0,0,9,0,0,0,0,0,169,26,0,0,0,0,0,26,0,0,16,0,0,14,0,6,62,0,0,0,55,4,1,291,47,2,2,100
1977,71,1,27,1109,96,107,0,0,0,43,0,0,373,12,18,0,0,80,0,0,9,0,0,0,0,0,141,21,0,0,0,0,0,23,0,0,12,0,0,13,0,5,56,0,1,0,60,3,1,268,41,2,2,94
1978,74,1,35,1122,100,127,0,0,0,42,0,0,385,12,17,0,0,83,0,0,9,0,0,0,0,0,194,21,0,0,0,0,0,30,0,0,21,0,0,16,0,3,53,0,3,0,57,7,2,267,50,2,2,98
1979,80,1,36,1203,97,121,0,0,0,40,0,0,370,13,18,0,0,85,0,0,9,0,0,0,0,0,162,22,0,0,0,0,0,26,0,0,15,0,0,19,0,9,55,0,7,0,59,5,2,276,39,1,2,107
1980,65,2,37,1191,95,141,0,0,0,39,0,0,378,13,17,0,0,81,0,0,10,0,0,0,0,0,194,7,0,0,0,0,0,33,0,0,14,0,0,20,0,7,53,0,1,0,57,5,1,276,48,2,1,112
1981,20,2,37,1176,101,142,0,0,0,35,0,0,440,14,17,0,0,83,0,0,10,0,0,0,0,0,204,4,0,0,0,0,0,26,0,0,15,0,0,19,0,9,49,0,2,0,66,5,1,319,55,3,1,106
1982,44,1,47,1160,102,168,0,0,0,43,0,0,458,12,15,0,0,86,0,0,13,0,0,0,0,0,194,3,0,0,0,0,0,32,0,0,18,0,0,16,0,2,48,0,2,0,62,3,2,279,54,3,1,104
1983,34,1,55,1157,104,139,0,0,0,36,0,0,489,15,11,0,0,98,0,0,11,0,0,0,0,0,232,7,0,0,0,0,0,30,0,0,19,0,0,15,0,4,46,0,2,0,80,5,2,262,60,3,1,107
1984,48,1,44,1085,107,152,0,0,0,38,0,0,548,14,9,0,0,101,0,0,11,0,0,0,0,0,237,6,0,0,0,0,0,35,0,0,21,0,0,16,0,7,50,0,2,0,81,5,2,266,63,3,1,113
1985,88,0,36,1057,108,149,0,0,0,37,0,0,533,11,10,0,0,111,0,0,9,0,0,0,0,0,271,0,0,0,0,0,0,33,0,0,14,0,0,15,0,6,48,0,2,0,95,4,2,271,64,3,1,110
1986,93,1,33,1008,105,159,0,0,0,45,0,0,561,12,10,0,0,107,0,0,10,0,0,0,0,0,280,0,0,0,0,0,0,33,0,0,13,0,0,21,0,6,45,0,1,0,90,5,1,252,59,3,1,110
1987,92,3,32,994,109,159,0,0,0,40,0,0,532,13,10,0,0,97,0,0,10,0,0,0,0,0,290,0,0,0,0,0,0,35,0,0,12,0,0,36,0,7,51,0,1,0,76,4,1,260,53,3,1,116
1988,102,0,42,1022,106,50,0,0,0,55,0,0,460,13,15,0,0,97,0,0,10,0,0,0,0,0,292,0,0,0,0,0,0,32,0,0,12,0,0,26,0,5,51,0,1,0,85,6,1,243,43,2,1,114
1989,124,0,17,975,103,60,0,0,0,50,0,0,479,12,16,0,0,100,0,0,11,0,0,0,0,0,302,2,0,0,0,0,0,30,0,0,12,0,0,23,0,9,56,0,1,0,88,6,1,242,52,2,1,135
1990,101,0,8,1011,102,17,0,0,0,38,0,0,397,12,17,0,0,120,0,0,13,0,0,0,0,0,304,2,0,0,0,0,0,28,0,0,13,0,0,24,0,24,51,0,2,0,50,4,1,256,53,2,1,135
