year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,10,0,8,287,8,0,231,0,2,389,1,0,215,1,50,0,0,14,0,0,17,2,0,12,37,49,0,3,18,0,0,6,0,2,194,1,6,0,0,0,0,176,16,0,22,2,0,6,1,409,0,3,3,11
1962,11,0,7,293,9,0,238,0,2,400,2,0,223,1,55,0,0,14,0,0,17,2,0,12,42,56,0,3,18,0,0,9,0,3,184,1,5,0,0,0,0,188,17,0,22,2,2,6,1,411,0,3,3,11
1963,10,0,10,290,9,0,175,0,2,402,1,0,241,1,56,0,0,15,0,0,18,2,0,13,39,59,0,2,15,0,0,9,0,2,204,0,6,0,0,0,0,204,17,0,23,2,1,7,1,394,0,2,3,11
1964,10,0,8,304,8,0,191,0,2,419,1,0,266,1,58,0,0,14,0,0,18,2,0,13,39,60,0,3,13,0,1,10,0,3,198,1,4,0,0,0,0,219,18,0,23,2,1,7,1,375,0,3,3,10
1965,19,0,8,312,9,0,220,0,2,404,1,0,195,1,59,0,0,15,0,0,18,2,0,13,31,67,0,2,13,0,1,15,0,3,229,1,6,0,0,0,0,219,17,0,24,2,2,7,1,402,0,3,4,10
1966,18,0,10,312,10,0,208,0,2,422,1,0,233,1,59,0,0,14,0,0,18,2,0,17,28,75,0,3,18,0,0,20,0,3,208,1,6,0,0,0,0,210,17,0,26,2,2,7,1,359,0,3,4,10
1967,19,0,8,307,9,1,209,0,2,403,1,0,232,2,66,0,0,16,0,0,18,3,1,20,37,60,0,3,11,0,0,22,0,3,242,1,8,0,0,0,0,225,20,0,30,2,1,8,1,369,0,3,4,9
1968,24,0,8,321,8,1,209,0,2,403,1,0,252,2,67,0,0,16,0,0,19,3,1,16,39,75,0,3,11,0,0,23,6,2,220,1,7,0,0,0,0,235,22,0,28,2,1,7,1,407,0,3,4,9
1969,21,0,7,314,10,1,223,0,2,395,1,0,261,2,72,0,0,16,0,0,20,3,0,15,46,61,0,4,8,0,0,27,6,3,195,1,7,0,0,0,0,236,21,0,28,2,1,7,1,403,0,3,4,10
1970,21,0,9,319,9,0,198,0,2,395,1,0,259,2,75,0,0,15,0,0,21,3,1,14,37,60,0,4,10,0,0,43,1,8,191,1,6,0,0,0,0,226,22,0,26,2,1,7,1,403,0,3,4,10
1971,21,0,8,312,10,0,200,0,2,392,1,0,246,2,75,0,0,17,0,0,17,4,2,14,31,56,0,3,11,0,0,60,1,5,230,1,8,0,0,0,0,226,21,0,26,2,0,7,1,399,0,3,4,10
1972,22,0,8,316,10,0,205,0,2,388,1,0,178,2,83,0,0,18,0,0,19,4,2,13,37,49,0,4,12,0,0,74,2,4,225,0,10,0,0,0,0,218,21,0,27,2,1,5,1,420,0,3,5,10
1973,22,0,6,324,11,0,216,0,3,370,1,0,288,1,50,0,0,13,0,0,23,3,2,13,33,29,0,4,15,0,0,90,1,3,179,1,7,0,1,0,0,189,17,0,21,2,1,5,1,424,0,3,4,10
1974,23,0,8,335,11,0,213,0,2,369,1,0,297,3,48,0,0,15,0,0,30,3,1,11,31,21,0,3,18,0,0,164,1,2,175,1,6,0,1,0,0,173,22,0,18,2,1,6,1,450,1,3,6,10
1975,23,0,7,352,11,0,210,0,3,390,1,0,277,2,49,0,0,15,0,0,25,4,0,9,24,22,0,3,2,0,0,170,0,2,171,1,5,0,1,0,0,178,21,0,18,2,0,5,1,470,1,3,5,9
1976,23,0,9,360,12,0,207,0,3,408,1,0,329,3,59,0,0,15,0,0,28,3,0,9,19,5,0,3,2,0,0,171,0,4,138,1,4,0,1,0,0,169,24,0,15,2,1,5,1,468,1,4,6,9
1977,23,0,8,349,14,0,205,0,2,419,0,0,322,3,56,0,0,16,0,1,27,3,0,9,25,4,0,3,3,0,0,221,0,4,148,1,4,0,1,0,0,169,23,0,11,2,1,5,1,454,1,4,6,9
1978,23,0,7,355,17,1,202,0,4,412,0,0,333,3,53,0,0,17,0,0,20,4,0,8,23,5,0,3,3,0,0,257,0,4,148,1,4,0,1,0,0,163,24,0,9,2,0,5,1,463,1,5,6,9
1979,23,0,8,374,19,0,201,0,4,414,0,0,374,3,51,0,0,14,0,1,27,3,0,9,22,7,0,4,4,0,0,253,2,2,147,1,4,0,1,0,0,158,26,0,8,2,1,4,1,512,1,6,6,9
1980,23,0,6,405,19,0,197,0,4,400,0,0,356,2,55,0,0,14,0,0,31,3,0,9,23,4,0,3,3,0,0,259,2,2,143,1,2,0,1,0,0,147,23,0,7,2,1,5,1,521,1,6,6,9
1981,22,0,6,384,19,0,197,0,4,419,0,0,340,2,54,0,0,14,0,0,16,3,0,8,16,6,0,3,2,0,0,259,1,2,147,1,2,0,1,0,0,150,22,0,7,2,1,5,1,479,1,6,6,9
1982,24,0,6,374,19,0,199,0,2,416,0,0,352,3,54,0,0,15,0,1,25,4,0,9,18,5,0,3,2,0,0,260,1,2,152,1,3,0,0,0,0,146,25,0,7,2,1,5,1,484,1,5,7,9
1983,25,0,8,369,20,0,199,0,4,425,0,0,364,3,50,0,0,11,0,1,23,5,0,8,20,5,0,3,3,0,0,258,1,3,154,1,1,0,0,0,0,133,20,0,6,2,1,4,1,461,1,6,6,9
1984,27,0,7,362,19,1,199,0,4,404,0,0,363,3,53,0,0,17,0,1,5,5,0,8,19,9,0,1,3,0,0,265,1,2,151,1,2,0,0,0,0,130,24,0,7,2,1,4,1,473,1,5,7,9
1985,28,0,6,369,20,1,200,0,5,392,1,0,378,4,53,0,0,17,0,1,39,6,0,9,17,4,0,3,4,0,0,280,1,2,143,1,2,0,1,0,0,135,21,0,7,2,1,3,1,453,0,5,7,9
1986,28,0,7,427,24,1,200,0,5,406,0,0,342,4,54,0,0,16,0,1,12,6,0,9,17,9,0,3,5,0,0,288,2,2,134,1,3,0,1,0,0,140,19,0,7,2,1,3,1,483,1,5,7,10
1987,28,0,6,427,24,2,199,0,5,432,0,0,341,4,54,0,0,16,0,1,21,7,0,9,14,4,0,3,6,0,0,308,2,2,134,0,1,0,1,0,0,127,25,0,6,2,1,3,1,475,0,6,7,10
1988,27,0,7,413,25,3,197,0,5,428,0,0,329,5,53,0,0,18,0,1,29,8,0,10,17,5,0,3,7,0,0,340,2,1,129,2,2,0,2,0,0,114,24,0,6,2,1,3,1,464,0,5,8,9
1989,29,0,8,450,28,2,195,0,6,425,0,0,300,5,56,0,0,16,0,1,37,6,0,9,18,8,0,4,8,0,1,343,2,1,130,1,2,0,2,0,0,122,22,0,6,2,1,3,1,474,0,5,8,9
1990,28,0,8,454,29,3,194,0,6,417,0,0,313,5,56,0,0,17,0,1,21,5,0,11,14,6,0,3,10,0,1,327,3,3,124,2,1,0,2,0,0,125,22,0,5,2,1,2,1,473,1,6,8,10
1991,28,0,6,481,35,3,192,0,7,402,0,0,317,5,55,0,0,18,0,1,30,6,0,12,19,7,0,3,18,0,1,333,3,3,142,1,2,0,1,0,0,122,22,0,5,2,2,2,1,466,1,6,8,10
1992,29,0,7,480,27,2,192,0,8,394,0,0,323,5,54,0,0,18,0,1,29,6,0,14,16,8,0,3,12,0,1,333,3,2,144,1,2,0,1,0,0,108,24,0,5,2,1,1,1,490,0,6,7,10
1993,29,0,7,483,28,3,192,0,8,424,0,0,312,6,53,0,0,19,0,1,14,6,0,12,14,6,0,3,14,0,1,318,3,2,155,1,1,0,1,0,0,108,23,0,4,2,1,1,1,494,1,6,8,11
