year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,23,0,19,1070,76,0,8,0,24,19,4,0,570,20,14,0,3,20,2,1,18,3,1,30,12,35,1,3,23,12,0,81,1,9,15,9,0,0,1,0,1,0,131,0,0,0,11,5,1,461,5,4,12,43
1962,23,0,22,1067,78,0,8,0,23,19,4,0,581,24,13,0,2,19,2,1,18,3,1,29,14,46,1,3,15,18,0,77,1,9,11,7,0,0,1,0,1,0,132,0,0,0,10,6,1,485,6,5,12,44
1963,23,0,21,1096,79,1,10,0,24,23,4,0,628,27,13,0,3,19,2,1,15,4,1,21,16,41,1,2,12,19,0,85,1,8,14,7,0,0,1,0,1,0,131,0,0,0,8,5,1,469,6,5,11,40
1964,24,0,21,1087,81,0,20,0,25,22,4,0,527,26,13,0,2,20,2,1,15,3,1,18,11,38,1,3,7,19,0,96,4,9,16,11,0,0,1,0,1,0,129,0,0,0,8,5,1,460,3,4,11,43
1965,23,0,24,1077,81,0,22,0,24,32,4,0,626,27,14,0,2,17,2,0,14,3,2,17,11,44,1,3,10,28,0,93,4,9,17,9,0,0,1,0,1,0,124,0,0,0,9,5,1,472,5,6,13,42
1966,24,10,24,1090,84,0,26,0,22,20,4,0,549,24,14,0,1,18,2,0,13,3,1,20,5,50,1,3,13,44,0,87,2,9,25,4,0,0,1,0,1,0,134,0,0,0,7,5,1,493,9,4,12,44
1967,23,11,22,1109,85,0,25,0,22,22,3,0,554,23,14,0,3,16,2,0,15,4,1,19,3,52,1,3,12,50,0,84,20,9,10,6,0,0,1,1,0,0,131,0,0,0,10,5,1,478,11,5,13,42
1968,22,10,23,1086,84,0,26,0,18,24,3,0,552,23,15,0,1,17,2,0,13,3,2,20,3,50,1,3,11,62,0,79,25,9,13,2,0,0,1,1,1,0,130,0,0,0,9,6,1,474,10,6,12,46
1969,22,12,22,1083,86,1,26,0,16,25,4,0,568,23,15,0,3,18,3,0,14,3,2,19,4,44,1,4,17,67,0,82,20,10,11,2,0,0,1,1,0,0,134,0,0,0,9,6,1,495,8,4,11,43
1970,20,13,21,1063,89,1,26,0,19,26,3,0,557,23,15,0,2,17,2,0,14,3,2,17,5,44,1,3,12,65,0,101,10,10,13,6,0,0,1,1,1,0,131,0,0,0,10,5,1,492,5,5,12,44
1971,22,13,23,1065,95,1,26,0,18,34,3,0,518,22,15,0,2,18,2,0,15,3,3,17,4,41,1,3,12,80,0,81,10,10,17,11,0,0,1,1,1,0,124,0,0,0,9,5,1,489,7,5,12,44
1972,21,13,23,1041,98,1,29,0,18,33,4,0,541,22,15,0,1,17,2,0,16,3,3,17,4,43,2,4,25,94,0,78,12,13,12,8,0,0,1,1,1,0,111,0,1,0,13,5,1,485,10,4,11,43
1973,28,16,25,1038,104,0,31,0,13,32,3,0,548,20,15,0,2,18,2,0,17,3,4,14,3,48,3,3,18,104,0,91,12,13,9,5,0,0,1,1,1,0,121,0,1,0,11,6,1,478,13,5,14,46
1974,29,16,22,1075,105,0,35,0,15,27,4,0,540,24,16,0,2,19,2,0,18,3,3,13,4,45,2,4,14,95,0,101,9,12,13,6,0,0,1,1,1,0,131,0,1,0,12,5,1,453,17,5,13,49
1975,23,15,25,1003,103,0,31,0,15,30,4,0,546,25,15,0,3,20,2,0,21,3,3,16,4,47,1,3,31,99,0,90,3,11,8,6,0,0,1,0,0,0,125,0,1,0,12,5,1,433,18,5,12,54
1976,16,15,28,1040,100,0,36,0,16,31,4,0,580,24,16,0,2,20,2,1,24,3,5,18,3,47,2,4,35,107,0,102,11,14,9,8,0,0,1,1,1,0,128,0,1,0,12,6,1,466,19,5,13,51
1977,15,13,28,1036,101,0,41,0,15,32,4,0,559,24,16,0,2,21,2,0,24,3,6,18,3,42,2,6,27,119,0,97,10,14,6,8,0,0,1,1,1,0,139,0,1,0,11,5,1,467,15,6,14,50
1978,15,13,28,998,98,1,44,0,15,33,4,0,529,23,16,0,2,20,3,1,24,4,7,17,3,49,2,4,12,127,0,94,14,13,10,8,4,0,1,1,1,0,135,0,1,0,11,5,1,453,13,6,14,53
1979,14,14,29,977,101,1,45,0,16,36,4,0,523,26,17,0,2,20,2,1,24,4,5,12,3,45,2,4,8,156,0,99,13,15,8,6,5,0,1,1,1,0,139,0,1,0,10,6,1,434,15,5,15,56
1980,15,15,28,1004,97,1,44,0,15,36,4,0,545,27,16,0,1,20,2,0,26,4,4,13,3,39,2,5,12,166,0,98,14,17,9,4,8,0,1,1,0,0,126,0,1,0,7,6,1,401,33,5,13,52
1981,14,15,28,982,102,1,43,0,16,40,4,0,470,28,17,0,1,19,2,1,28,4,4,13,2,49,1,4,10,183,0,89,15,16,4,11,15,0,1,1,1,0,136,0,1,0,10,6,1,404,27,6,16,54
1982,13,14,30,974,97,1,59,0,17,43,4,0,543,27,17,0,2,19,2,1,25,4,4,12,2,41,1,5,9,181,0,87,15,21,4,14,19,0,1,1,1,0,132,0,1,0,10,6,1,403,12,6,15,61
1983,3,16,31,969,101,1,54,0,17,42,4,0,527,27,16,0,1,20,2,1,25,3,5,10,2,43,1,5,10,194,0,90,16,21,3,1,4,0,1,1,1,0,125,0,1,0,12,5,1,406,18,5,16,53
1984,6,16,35,947,100,1,53,0,16,43,4,0,552,28,18,0,1,20,1,1,25,4,6,10,2,44,1,6,10,218,0,91,13,26,0,4,3,0,1,1,1,0,131,0,1,0,10,6,1,428,21,6,17,59
1985,5,15,32,955,100,1,53,0,17,44,4,0,571,28,18,0,1,21,1,1,23,4,6,11,2,44,1,6,11,243,0,92,13,21,1,4,8,0,1,1,1,0,132,0,1,0,10,6,0,433,16,6,16,57
1986,3,15,32,939,97,1,43,0,17,49,4,0,552,25,18,0,1,19,1,1,24,3,7,12,2,49,1,5,10,296,0,88,14,23,5,11,19,0,1,1,1,0,133,0,1,0,7,5,0,449,19,5,15,54
1987,4,16,32,945,95,1,41,0,18,50,4,0,569,28,20,0,2,23,1,1,25,3,7,12,2,44,1,7,7,299,0,86,15,20,15,16,21,0,1,1,1,0,132,0,1,0,7,5,0,452,21,6,15,60
1988,9,15,30,942,92,1,40,0,23,50,3,0,563,28,14,0,1,21,2,1,22,4,0,12,2,38,1,8,7,285,2,74,17,17,7,11,15,0,1,1,2,0,121,1,1,0,10,6,1,401,23,6,16,58
1989,12,15,31,973,91,1,43,0,20,49,4,0,563,29,19,0,1,22,2,1,22,4,1,9,2,41,1,8,8,282,2,77,20,18,1,6,9,0,1,1,2,0,128,1,1,0,10,5,1,390,21,6,17,63
1990,11,15,30,927,89,1,44,0,16,52,4,0,565,30,20,0,1,21,2,1,20,4,1,10,2,49,1,9,6,270,2,91,20,16,8,6,23,0,1,1,2,0,124,1,1,0,5,6,1,394,24,6,18,63
1991,6,17,30,910,88,1,45,0,15,56,4,0,555,25,20,0,1,22,2,1,19,4,2,10,2,42,0,9,6,319,2,88,17,18,11,11,47,0,1,1,2,0,114,1,1,0,6,6,1,389,25,6,15,60
1992,8,21,29,903,84,1,41,0,23,58,4,0,543,26,21,0,1,23,2,1,20,4,1,10,2,46,0,11,5,319,2,106,14,17,23,10,33,0,1,1,2,0,133,1,1,0,7,6,1,411,23,6,15,63
1993,11,17,30,880,86,1,43,0,22,62,4,0,570,25,21,0,1,22,2,1,22,4,1,9,2,43,0,12,4,345,2,92,13,18,15,12,32,0,1,1,2,0,131,1,1,0,6,6,1,434,19,8,17,62
1994,12,19,28,894,87,1,44,0,20,60,4,0,605,29,21,0,1,23,2,1,23,4,2,8,1,43,1,11,3,380,2,69,13,17,23,14,36,0,1,1,3,0,133,1,1,0,6,7,1,429,27,6,17,64
1995,14,18,29,888,88,1,46,0,14,68,4,0,596,28,22,0,1,24,2,1,23,3,2,8,1,46,1,13,4,400,2,75,11,13,12,9,39,0,1,1,2,0,132,1,1,0,6,6,0,418,40,7,16,63
1996,11,18,30,851,85,1,63,0,21,71,4,0,606,23,22,0,1,23,2,1,25,3,4,10,9,43,1,15,5,383,3,121,12,15,15,11,31,0,1,1,3,0,139,1,1,0,6,6,0,400,59,7,17,66
1997,13,18,32,850,85,1,92,0,18,82,3,0,641,22,23,0,1,24,2,1,26,4,4,9,11,42,0,16,4,431,4,115,12,14,16,15,29,0,1,1,3,0,141,1,1,0,6,6,1,406,67,7,16,68
1998,15,16,31,908,87,2,92,0,18,78,3,0,652,24,22,0,1,26,2,1,25,3,7,9,10,42,1,16,3,446,4,109,10,17,9,11,31,0,1,1,3,0,139,1,1,0,6,6,1,369,95,6,16,70
1999,14,19,33,929,88,11,135,0,19,80,3,0,649,27,22,0,1,28,2,1,23,4,8,10,11,38,0,16,1,392,4,124,15,20,12,11,49,0,1,1,3,0,132,1,1,0,5,6,1,371,74,7,16,68
2000,15,23,34,946,87,11,152,0,4,79,3,0,652,22,21,0,1,28,2,1,24,4,9,11,11,39,1,21,1,376,4,120,15,21,10,12,53,0,1,1,3,0,129,1,1,0,5,6,1,384,78,7,16,64
2001,18,19,33,946,89,12,140,0,4,75,4,0,654,19,21,0,1,29,2,1,24,4,8,9,9,34,0,20,1,370,4,130,14,23,9,14,48,0,1,1,4,0,129,1,1,0,5,7,1,408,75,8,16,66
2002,17,20,35,946,89,16,148,0,4,68,4,0,657,18,21,0,1,30,2,1,23,4,7,9,9,38,1,21,1,318,4,134,14,24,15,11,47,0,1,1,4,0,130,1,1,0,4,6,1,442,87,7,17,68
2003,16,19,36,922,75,13,150,0,3,64,4,0,639,14,22,0,1,31,2,1,22,4,7,10,10,35,0,21,1,382,4,141,14,25,12,10,43,0,1,1,4,0,135,1,1,0,4,5,1,440,87,7,15,69
2004,15,19,36,940,84,9,153,0,3,88,4,0,644,18,22,0,1,30,2,1,21,4,7,9,9,42,0,23,1,348,4,135,13,26,7,13,44,0,1,1,5,0,125,1,2,0,6,7,1,430,86,7,17,64
2005,8,21,35,905,88,3,152,0,3,89,4,0,649,23,22,0,1,31,2,1,22,5,8,9,6,43,0,24,1,355,4,135,13,25,9,14,44,0,1,1,4,0,127,1,2,0,2,7,1,428,81,7,17,62
2006,12,17,39,902,80,4,150,0,4,96,4,0,658,23,23,0,2,34,1,1,21,5,8,10,5,43,0,24,2,365,4,120,14,27,10,14,46,0,1,2,5,1,124,1,2,0,5,9,0,406,80,7,16,63
2007,2,17,39,914,81,4,152,0,4,98,4,0,649,25,23,0,2,35,1,1,22,5,11,9,7,42,0,27,2,360,4,123,13,33,11,14,48,0,1,1,5,1,112,1,1,0,3,10,1,399,85,7,16,65
2008,9,17,38,901,81,0,154,0,4,105,4,0,633,23,23,0,1,37,1,1,20,5,10,9,9,43,0,26,2,364,4,127,14,33,11,19,50,0,1,2,5,1,102,1,2,0,7,9,0,397,76,7,15,59
2009,7,17,37,893,80,0,156,0,4,103,4,0,639,27,23,0,1,36,1,1,20,4,12,9,7,42,0,25,2,365,4,126,13,32,11,12,51,0,1,2,6,1,106,1,2,0,9,9,0,322,87,8,11,63
