year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,8,0,0,56,0,0,0,0,4,0,0,0,0,33,10,18,65,7,431,10,59,174,0,2,3,13,1,0,1,4,3,45,1,2,29,33,38,0,0,0,0,1,0,0,3,24,2,262,0,20,0,6,3,51
1962,10,0,0,66,0,0,0,0,4,0,0,0,0,36,13,19,61,4,492,13,60,195,0,2,3,13,1,0,1,4,4,48,1,2,33,39,48,0,0,0,0,1,1,0,3,22,2,265,0,19,0,6,3,44
1963,10,0,0,90,0,0,0,1,4,0,0,0,0,35,10,20,63,4,569,9,62,215,0,1,4,15,1,0,1,6,4,51,1,2,27,35,41,0,0,0,0,1,0,0,3,19,2,229,0,21,0,5,3,39
1964,10,0,0,108,0,0,0,0,4,0,0,0,0,34,11,21,62,4,633,9,62,233,0,1,6,20,1,0,1,7,5,53,1,2,26,33,43,0,0,0,0,1,0,0,3,20,2,196,0,25,0,4,3,35
1965,11,0,0,118,0,1,0,0,4,0,0,0,0,31,12,22,61,4,662,10,65,275,0,1,7,19,1,0,1,10,4,44,1,2,25,31,39,0,0,0,0,1,0,0,3,23,2,250,0,27,0,4,3,37
1966,12,0,0,123,1,1,0,0,4,0,0,0,0,24,11,24,75,4,693,9,69,274,0,0,6,23,1,0,2,10,4,56,1,2,21,26,28,0,0,0,0,1,0,0,3,24,2,278,0,29,0,4,3,35
1967,11,0,0,126,1,1,0,0,4,0,0,0,0,19,11,25,74,3,673,9,70,274,0,1,7,22,1,0,2,10,4,57,1,1,19,22,26,0,0,0,0,1,0,0,3,23,2,265,0,25,0,4,3,35
1968,11,0,0,122,1,1,0,0,4,0,0,0,0,14,9,24,74,3,659,7,68,272,0,0,7,17,1,0,3,9,4,54,1,1,16,18,21,0,0,0,0,1,1,0,4,22,2,253,0,28,0,4,2,36
1969,12,0,0,117,1,1,0,0,4,0,0,0,0,14,11,24,72,3,638,9,61,266,0,1,6,18,1,0,3,9,5,50,1,2,16,16,19,0,0,0,0,1,1,0,4,23,3,270,0,29,0,4,3,36
1970,13,0,0,114,1,1,0,0,4,0,0,0,0,15,12,25,73,3,720,8,60,278,0,1,7,20,1,0,3,9,3,55,1,2,17,16,21,0,0,0,0,1,1,0,4,26,2,279,0,27,0,3,2,28
1971,13,0,0,125,1,0,0,0,4,0,0,0,0,15,12,26,71,3,729,8,60,285,0,1,6,20,1,0,4,9,4,54,1,2,16,17,21,0,0,0,0,1,1,0,4,23,2,256,0,26,0,3,2,31
1972,13,0,0,135,1,0,0,1,4,0,0,0,0,14,12,23,55,3,723,8,55,313,0,1,5,18,1,0,4,10,3,45,1,2,16,17,20,0,0,0,0,1,0,0,5,25,2,242,0,29,0,3,2,27
1973,15,0,0,132,1,1,0,0,4,0,0,1,0,17,13,27,52,3,735,8,56,316,0,1,7,17,2,0,4,10,3,51,1,2,16,15,19,0,0,0,0,1,0,0,5,30,2,276,0,33,0,3,2,30
1974,16,0,0,133,1,1,0,1,5,0,0,1,0,17,14,29,48,4,735,8,52,336,0,1,7,18,1,0,4,10,3,48,1,2,15,15,17,0,0,0,0,1,0,0,4,26,2,267,0,31,0,3,2,30
1975,20,0,0,134,2,0,0,0,4,0,0,1,0,17,16,31,44,4,739,8,50,360,0,1,6,18,1,0,4,11,3,47,1,2,15,14,17,0,0,0,0,1,0,0,4,24,2,257,0,31,0,3,2,30
1976,20,0,0,130,2,0,0,1,4,0,0,1,0,16,15,31,39,4,737,8,46,377,0,1,5,15,1,0,4,10,3,44,1,2,14,15,17,0,0,0,0,1,0,0,4,19,2,234,0,32,0,3,2,29
1977,18,0,0,132,2,0,0,0,4,0,0,1,0,16,10,34,39,3,748,7,43,382,0,0,5,17,1,0,5,10,3,49,1,2,14,13,16,0,0,0,0,1,1,0,4,23,3,248,0,39,0,3,2,30
1978,22,0,0,139,2,0,0,0,5,0,0,1,0,18,14,38,39,3,782,9,38,450,0,0,6,18,2,0,4,15,4,50,2,2,14,14,17,0,0,0,0,1,1,0,4,26,3,256,0,41,0,3,3,33
