year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,11,0,177,310,2,4,2,1,18,1,5,9,0,12,3,0,0,13,57,0,0,894,0,1,0,100,33,93,0,17,13,52,117,51,23,0,76,0,3,2,0,0,2,0,0,94,10,0,0,209,8,8,7,40
1962,11,0,161,300,3,7,2,0,19,1,1,8,0,13,28,0,0,22,60,0,0,888,0,1,0,107,40,71,0,38,15,18,34,52,24,0,106,0,3,2,0,0,2,0,0,94,10,0,0,213,6,6,8,47
1963,11,0,53,331,3,6,2,1,19,4,2,10,0,13,19,0,0,23,67,0,0,898,0,2,0,140,42,80,0,37,15,8,5,56,14,0,94,0,3,3,0,0,1,0,0,100,16,0,0,216,8,6,13,47
1964,11,0,211,346,5,4,2,1,17,4,2,9,0,14,12,0,0,8,38,0,0,938,0,1,0,107,43,73,0,21,15,52,57,49,23,0,104,0,3,2,0,0,1,0,0,105,19,0,0,228,8,4,11,47
1965,12,0,188,377,10,5,2,1,13,5,2,14,0,17,4,0,0,18,53,0,0,907,0,3,0,85,47,88,0,51,19,42,85,66,27,0,58,0,4,1,0,0,1,0,0,108,46,0,0,258,8,7,12,52
1966,13,0,207,418,12,5,2,1,18,7,3,15,0,17,59,0,0,10,47,0,0,914,0,2,0,76,48,87,0,67,19,27,54,53,17,0,42,0,5,3,0,0,1,0,0,113,52,0,0,267,8,9,14,51
1967,13,0,202,451,16,5,2,1,22,4,2,20,0,18,41,0,0,14,61,0,0,904,0,2,0,79,52,92,0,34,19,7,156,70,15,0,86,0,5,3,0,0,3,0,0,112,47,0,0,273,5,7,14,58
1968,13,0,265,505,13,5,2,2,22,10,2,19,0,18,5,0,0,14,42,0,0,955,2,1,0,63,46,105,0,29,19,6,158,79,14,0,53,0,5,3,0,0,1,0,0,101,38,0,0,276,18,7,15,58
1969,12,0,336,536,12,7,2,0,18,9,4,11,0,23,16,0,0,15,56,0,0,961,2,1,0,44,50,130,0,37,20,15,180,81,15,0,68,0,6,3,0,0,1,0,0,102,19,0,0,285,8,5,16,54
1970,12,0,312,545,11,6,1,1,26,10,4,17,0,24,9,0,0,9,51,0,0,957,2,0,1,43,44,98,0,35,18,56,138,74,11,2,36,0,6,3,0,0,1,0,0,101,13,0,0,290,4,8,17,55
1971,13,0,269,584,16,6,1,0,27,7,6,17,0,27,4,0,0,11,45,0,0,901,3,1,0,37,39,112,0,67,16,98,99,76,27,2,42,0,9,2,0,0,0,0,0,100,14,0,0,293,7,7,18,62
1972,14,0,210,619,15,6,1,1,28,10,6,16,0,29,3,0,0,1,43,0,0,702,3,1,0,48,41,114,0,80,16,64,105,70,23,1,39,0,10,3,0,0,0,0,0,92,13,0,0,294,7,7,17,61
1973,13,0,125,630,14,7,1,1,26,6,5,19,0,33,7,4,0,1,49,0,0,810,3,2,1,41,36,95,0,45,14,132,144,19,40,4,36,0,8,4,0,0,0,0,0,70,13,0,0,300,12,5,19,60
1974,9,0,182,506,11,5,1,0,18,8,3,4,0,28,1,7,0,6,38,0,0,773,3,1,20,42,27,83,0,39,13,32,82,62,19,1,43,0,8,2,0,0,1,0,0,34,7,0,0,220,5,5,12,53
1975,12,0,271,380,13,6,2,2,21,1,1,7,0,24,26,7,0,6,18,0,0,754,3,1,22,17,37,87,0,30,13,174,65,51,23,1,41,0,6,3,0,0,0,0,0,33,9,0,0,141,4,3,13,46
1976,13,0,229,397,15,7,2,1,21,3,1,5,0,22,3,3,0,6,26,0,0,777,3,1,0,29,24,91,0,49,14,115,3,61,26,5,48,0,12,3,0,0,0,0,0,33,9,0,0,194,8,2,13,37
1977,13,0,179,433,14,8,2,0,21,4,1,4,0,26,5,1,0,0,26,0,0,789,4,2,0,30,23,100,0,21,14,173,3,60,19,2,40,0,8,2,0,0,0,0,0,27,4,0,0,213,6,4,12,38
1978,14,0,221,464,10,7,2,1,16,2,2,7,0,29,5,1,0,3,45,0,0,706,4,3,0,26,27,88,0,9,15,243,27,63,18,2,18,0,4,2,0,0,1,0,0,31,5,0,0,219,7,5,13,40
1979,14,0,251,470,13,9,1,0,17,1,1,4,0,33,3,0,0,5,47,0,0,703,5,5,0,28,25,90,0,8,16,276,38,38,18,1,35,0,7,3,0,0,1,0,0,34,7,0,0,254,8,4,13,45
1980,14,0,244,485,12,8,2,0,16,3,2,6,0,33,10,0,0,6,29,0,0,683,4,3,0,23,11,86,0,9,18,284,8,50,20,2,33,0,4,3,0,0,1,0,0,34,5,0,0,225,6,19,13,38
1981,15,0,320,507,10,11,2,1,15,6,1,7,0,36,12,0,0,2,35,0,0,689,6,3,0,27,14,78,0,11,17,221,12,56,19,1,17,0,2,3,0,0,1,0,0,36,4,0,0,215,7,8,13,39
1982,15,0,277,534,12,14,2,1,18,7,2,8,0,39,20,0,0,1,44,0,0,685,7,5,0,30,12,79,0,7,19,360,22,35,16,1,28,0,8,3,0,0,0,0,0,36,4,0,0,258,11,5,14,36
1983,17,0,305,574,12,12,2,0,19,7,2,7,0,42,20,1,0,1,28,0,0,716,8,1,0,26,14,66,0,12,20,224,25,60,22,1,28,0,6,4,0,0,1,0,0,33,5,0,0,253,15,6,14,42
1984,17,0,288,605,12,18,2,0,15,10,3,14,0,43,22,41,0,1,34,0,0,704,7,3,0,33,10,99,0,12,22,264,1,42,19,1,26,0,10,4,0,0,2,0,0,33,5,0,0,295,10,9,13,46
1985,18,0,342,622,9,18,2,1,15,6,3,8,0,46,21,67,0,3,31,0,0,714,3,3,0,40,16,102,0,13,22,150,81,29,19,2,25,0,10,5,0,1,1,0,0,50,5,0,0,279,13,6,14,49
1986,19,0,65,641,8,17,2,1,15,7,3,12,0,46,20,10,0,2,33,0,0,732,4,2,0,23,17,113,0,12,23,332,25,54,22,1,42,0,10,2,0,1,2,0,0,70,5,0,0,283,13,7,15,46
1987,20,0,99,668,9,18,2,1,13,9,4,17,0,48,22,54,0,4,34,0,0,772,2,3,0,18,20,93,0,16,21,176,58,28,29,1,26,0,11,4,0,1,1,0,0,52,4,0,0,278,13,9,17,48
1988,22,0,26,693,10,18,2,1,17,11,4,22,0,51,4,43,0,0,35,0,0,766,6,2,0,25,28,90,0,19,22,198,68,31,14,1,20,0,12,4,0,0,1,0,0,61,4,0,0,223,14,8,16,47
1989,22,0,36,724,10,15,1,0,18,15,6,26,0,55,2,71,0,0,26,0,0,738,8,3,0,31,22,85,0,18,20,166,52,35,25,0,17,0,10,3,0,0,1,0,0,66,3,0,0,257,12,16,18,49
