"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,18,234,27,259,0,0,0,351,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,2,0,0,0,0,1,1,342,0,0,0,"6,"
1962,0,0,22,224,25,378,0,0,0,288,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,2,0,0,0,0,1,1,298,0,0,0,"6,"
1963,0,0,18,217,30,356,0,0,0,271,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,2,0,0,0,0,1,1,343,0,0,0,"5,"
1964,0,0,20,209,26,359,0,0,0,281,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,2,0,0,0,0,0,1,253,0,0,0,"6,"
1965,0,0,17,196,26,318,0,0,0,287,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,2,0,0,0,0,0,1,326,0,0,0,"7,"
1966,0,0,19,204,27,358,0,0,0,291,0,0,278,0,0,0,0,11,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,1,278,0,0,0,"10,"
1967,0,0,16,203,25,329,0,0,0,284,0,0,290,0,0,0,0,12,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,1,358,0,0,0,"8,"
1968,0,0,18,205,28,305,0,0,0,340,0,0,264,0,0,0,0,10,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,1,322,0,0,0,"8,"
1969,0,0,13,207,26,330,0,0,0,274,0,0,254,0,0,0,0,11,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,1,241,0,0,0,"8,"
1970,0,0,12,205,30,296,0,0,0,318,0,0,280,0,0,0,0,54,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,1,318,0,0,0,"9,"
1971,0,0,12,203,26,289,0,0,0,317,0,0,293,0,0,0,0,63,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,1,316,0,0,0,"9,"
1972,0,0,12,204,18,291,0,0,0,271,0,0,290,0,0,0,0,54,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,1,336,0,0,0,"10,"
1973,0,0,12,193,27,348,0,0,0,256,0,0,297,0,0,0,0,56,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,1,386,0,0,0,"10,"
1974,0,0,10,218,19,291,0,0,0,238,0,0,297,0,0,0,0,50,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,4,0,0,0,0,0,1,376,0,0,0,"10,"
1975,0,0,7,253,22,205,0,0,0,297,0,0,299,0,0,0,0,47,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,5,0,0,0,0,0,1,357,0,0,0,"9,"
1976,0,0,5,283,15,185,0,0,0,310,0,0,297,0,0,0,0,25,0,0,0,0,5,0,0,0,129,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,4,0,0,0,0,0,2,338,17,0,0,"9,"
1977,9,0,6,238,18,200,0,0,0,248,0,0,339,0,0,0,0,17,0,0,0,0,4,0,0,0,127,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,7,0,0,0,0,1,1,353,14,0,0,"9,"
