year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,7,0,0,319,61,1,173,0,4,204,6,0,158,1,161,4,0,32,0,2,21,8,1,21,6,22,2,1,101,0,2,17,0,0,38,20,45,0,0,0,0,63,95,2,10,0,1,2,0,259,1,0,2,37
1962,8,0,0,318,77,4,153,0,4,210,2,0,152,1,160,6,0,36,0,2,21,8,0,29,5,14,4,1,92,0,2,20,0,0,37,14,50,0,0,0,0,62,101,2,10,0,1,2,0,277,1,0,7,42
1963,9,0,1,321,85,4,204,0,3,209,2,0,146,1,160,5,0,36,0,2,20,8,0,21,6,16,4,1,98,0,2,25,0,0,38,24,39,0,0,0,1,60,83,2,7,0,1,2,0,275,1,0,7,40
1964,9,0,1,317,54,2,134,0,5,215,2,0,149,1,163,6,0,34,0,1,18,8,0,12,10,26,5,3,92,0,3,31,0,0,41,30,42,0,0,0,1,59,96,2,6,0,1,2,0,286,1,0,8,54
1965,10,0,1,314,64,1,193,0,6,230,2,0,143,1,163,5,0,31,0,2,23,8,0,19,7,19,1,1,86,0,5,43,0,0,49,30,49,0,0,0,1,62,118,3,3,0,1,2,0,291,1,0,5,45
1966,10,0,1,322,54,1,172,0,7,239,2,0,148,1,161,7,0,30,1,2,22,9,0,21,7,20,4,1,92,0,6,28,0,0,56,29,40,0,0,0,1,61,100,2,3,0,1,2,0,301,1,0,10,37
1967,10,0,0,328,52,1,219,0,11,231,2,0,148,1,161,6,0,30,1,2,23,8,0,20,6,14,2,1,99,0,3,38,0,0,56,27,36,0,0,0,1,56,110,3,3,0,1,2,0,295,2,0,5,38
1968,11,0,1,333,55,1,163,0,11,223,3,0,160,1,170,6,0,29,1,1,19,8,0,10,5,10,2,1,93,0,5,41,0,0,51,26,38,0,0,0,1,44,142,4,2,0,2,2,0,304,1,0,4,27
1969,11,0,1,325,55,1,189,0,11,230,2,0,166,1,162,3,0,25,1,1,19,8,0,11,9,8,9,1,95,0,4,44,0,0,54,23,19,0,0,0,0,64,124,2,4,0,1,2,0,315,2,0,2,32
1970,8,0,1,342,50,1,224,0,9,225,2,0,156,1,162,3,0,24,2,1,18,8,0,13,3,7,3,1,95,0,6,44,0,0,58,18,28,0,0,0,1,60,134,2,4,0,1,1,0,325,1,0,2,31
1971,9,0,1,329,47,1,181,0,14,218,2,0,157,1,153,3,0,23,2,1,20,7,0,15,4,14,0,0,97,0,4,50,0,0,40,16,26,0,0,0,1,59,146,3,2,0,1,1,0,335,1,0,2,28
1972,11,0,0,323,46,1,213,0,21,219,2,0,167,1,154,1,0,24,2,1,17,9,0,19,4,15,0,1,114,0,5,48,0,0,33,13,16,0,0,0,1,58,126,2,3,0,1,1,0,376,2,0,2,25
1973,12,0,0,328,41,1,122,0,13,231,2,0,175,1,152,3,0,24,2,1,18,5,0,19,6,17,0,0,111,0,2,52,0,0,40,12,19,0,0,0,1,59,132,2,3,0,1,1,0,371,2,0,2,18
1974,15,0,0,336,33,1,90,0,14,225,1,0,213,4,153,2,0,27,3,2,26,11,1,24,13,24,0,0,95,0,4,51,0,0,34,12,18,0,0,0,1,57,119,2,3,0,2,1,0,382,4,0,3,18
1975,19,0,0,336,36,2,105,0,22,235,1,0,228,5,153,2,0,25,3,2,27,15,1,13,9,15,0,0,135,0,6,55,0,0,30,12,24,0,0,0,1,57,116,2,4,0,2,1,0,400,1,0,3,19
1976,21,0,0,341,38,2,106,0,15,239,1,0,244,5,153,4,0,28,3,1,32,14,1,42,8,11,0,0,124,0,7,60,0,0,37,11,21,0,0,0,1,52,118,3,5,0,2,1,0,401,2,0,3,22
1977,18,0,0,356,36,2,90,0,20,244,1,0,208,5,152,2,0,23,5,1,50,13,1,24,7,10,0,1,124,0,1,65,0,0,30,6,11,0,0,0,1,47,98,3,2,0,2,1,0,417,3,0,2,18
