year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,6,0,0,261,0,3,0,0,5,0,0,0,1,10,1,0,0,0,455,0,0,512,0,266,0,36,8,0,0,13,0,0,0,0,0,0,37,0,2,0,1,0,6,1,377,18,227,10,5,284,0,4,0,6
1962,6,0,0,268,1,5,0,0,5,0,0,1,1,9,1,0,0,0,433,0,0,551,0,275,0,38,10,0,0,8,0,17,0,0,0,0,44,0,1,0,1,0,6,1,364,17,234,9,5,284,0,4,0,5
1963,7,0,0,299,0,4,0,0,6,0,0,1,1,10,1,0,0,3,427,0,0,578,0,299,0,59,11,0,0,11,0,8,0,1,0,0,54,0,2,0,1,0,6,1,343,19,222,9,5,285,0,4,0,6
1964,10,0,0,366,1,5,0,0,7,0,0,0,1,12,1,0,0,3,416,0,0,569,0,238,0,50,10,0,0,6,0,5,0,1,0,0,57,0,2,0,1,0,7,1,332,22,201,9,4,288,0,5,0,6
1965,11,0,0,347,1,7,0,0,6,0,0,1,1,12,1,0,0,4,445,0,0,669,0,233,0,66,11,0,0,7,0,9,0,1,0,0,47,0,2,0,1,0,6,1,317,20,221,11,4,289,0,5,0,6
1966,8,0,0,330,1,7,0,0,5,0,0,0,1,12,1,0,0,3,438,0,0,537,0,239,0,70,8,0,0,8,0,4,0,1,0,0,50,0,2,0,1,0,5,1,314,22,197,9,4,291,0,4,0,6
1967,6,0,0,327,1,7,0,0,5,0,0,1,1,12,1,0,0,3,376,0,0,576,0,235,0,53,10,0,0,5,0,22,0,1,0,0,44,0,2,0,1,0,5,1,315,18,162,9,4,294,0,5,0,5
1968,8,0,0,333,1,6,0,0,5,0,0,1,2,18,1,0,0,3,344,0,0,575,0,216,0,50,11,0,0,4,0,27,0,1,0,0,57,0,2,0,1,0,6,1,312,17,174,8,5,299,0,5,0,6
1969,10,0,2,332,1,7,0,0,3,0,0,0,2,20,4,0,0,1,320,0,0,630,2,245,0,28,12,0,0,2,0,14,0,1,0,0,44,0,3,0,1,0,5,1,293,29,187,8,5,303,1,4,0,6
1970,9,0,2,370,1,7,0,0,5,0,0,1,1,18,3,0,0,1,411,0,0,281,1,229,0,24,10,0,0,1,0,35,0,1,0,0,50,0,3,0,1,0,6,1,307,23,140,12,4,303,2,6,0,6
