year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,27,0,24,1209,16,6,0,0,7,0,0,5,0,91,0,17,0,47,7,3,0,980,0,32,0,5,0,1,35,0,0,5,1,6,4,11,0,0,10,0,0,0,0,4,0,256,0,0,0,518,1,3,2,22
1962,28,0,23,1230,17,7,0,0,9,0,0,6,0,87,0,17,0,47,9,2,0,959,0,39,0,5,3,1,37,0,0,11,3,7,4,17,0,0,15,0,0,0,1,4,0,256,0,0,0,491,1,3,3,22
1963,35,0,28,1224,20,6,0,0,8,0,0,6,0,89,0,14,0,45,8,2,0,947,0,33,0,18,3,1,48,2,0,10,5,3,5,12,1,0,15,0,0,0,1,5,0,253,0,0,0,511,1,4,2,20
1964,36,0,20,1270,16,8,0,0,10,0,0,6,0,92,0,17,0,44,8,3,0,909,0,40,0,18,1,1,39,0,0,9,12,3,5,12,1,0,15,0,0,0,1,3,0,250,0,0,0,508,1,4,3,22
1965,36,0,24,1277,16,9,0,0,10,0,0,6,0,90,0,17,0,44,9,2,0,903,0,38,0,13,2,1,45,1,0,8,6,3,6,15,1,0,15,0,0,0,0,5,0,245,0,0,0,520,0,4,2,22
1966,37,0,26,1263,15,10,0,0,12,0,0,6,0,93,0,19,0,37,8,2,0,878,0,32,0,18,0,1,62,2,0,4,19,4,8,21,2,0,15,0,0,0,1,4,0,241,0,0,0,518,0,4,3,19
1967,38,0,27,1267,15,11,0,1,12,0,0,6,0,93,0,19,0,33,9,2,0,860,0,61,0,18,1,1,44,8,0,12,29,3,6,15,3,0,20,1,0,0,0,4,0,237,0,0,0,531,1,4,3,18
1968,41,0,28,1251,15,11,0,0,12,1,0,6,0,104,0,25,0,33,8,1,0,860,0,16,0,20,6,1,67,8,0,5,39,3,9,16,1,0,19,1,0,0,1,5,0,234,0,0,0,540,1,5,3,19
1969,43,0,25,1261,17,12,0,0,13,1,0,7,0,104,0,27,0,33,10,2,0,836,0,53,0,10,4,1,44,14,0,6,55,4,8,11,3,0,20,1,0,0,0,4,0,229,0,0,0,531,2,4,3,25
1970,47,0,24,1281,16,13,0,0,12,1,0,7,0,109,0,30,0,29,10,2,0,812,0,35,0,5,3,1,54,17,0,13,55,7,12,14,3,0,24,1,0,0,1,4,0,223,0,0,0,530,2,4,3,28
1971,50,0,25,1304,13,15,0,0,13,1,0,6,0,117,0,56,0,28,10,2,0,802,0,47,0,8,2,1,48,17,0,28,31,9,3,13,4,0,19,1,0,0,1,4,0,219,0,0,0,541,4,4,3,24
1972,54,0,27,1298,12,13,0,0,14,1,0,8,0,121,0,86,0,28,12,2,0,766,0,39,0,23,2,1,39,9,0,33,35,5,6,12,4,0,24,1,0,0,1,5,0,239,0,0,0,485,4,3,3,24
1973,59,0,25,1274,13,13,0,0,15,1,0,6,0,121,0,83,0,24,12,2,0,778,0,51,0,12,3,0,52,8,0,34,33,3,11,19,0,0,23,1,0,0,1,4,0,235,0,0,0,517,17,3,3,27
1974,61,0,26,1340,14,12,0,0,11,1,0,8,1,122,3,94,0,24,6,2,0,777,0,37,0,9,3,0,53,15,0,34,14,11,9,21,1,0,23,1,0,0,1,4,0,232,0,0,0,491,20,4,3,29
1975,62,0,22,1286,13,12,0,0,10,1,0,8,1,120,2,78,0,23,9,2,0,776,0,92,0,8,2,0,42,11,0,33,9,8,6,13,1,0,22,1,0,0,1,5,0,212,0,0,0,503,23,4,3,36
1976,60,0,24,1291,15,11,0,0,12,1,0,8,1,116,2,111,0,20,10,2,0,749,0,57,0,8,4,1,52,19,0,39,12,9,10,11,1,0,22,1,0,0,1,3,0,200,0,0,0,467,24,5,3,38
1977,61,0,26,1293,13,11,0,0,11,1,0,8,1,114,2,110,0,19,10,2,0,786,0,94,0,4,0,1,36,9,0,42,11,9,9,15,3,0,17,1,0,0,1,5,0,235,0,0,0,468,28,5,3,40
1978,62,0,28,1381,15,11,0,0,12,1,0,8,1,116,3,79,0,22,9,2,0,757,0,85,0,5,0,0,59,8,0,33,15,9,9,15,2,0,13,1,0,0,1,3,0,237,0,0,0,497,30,6,4,45
1979,62,0,25,1319,16,11,0,0,13,1,0,9,1,121,4,117,0,18,10,2,0,773,0,63,0,6,3,0,45,17,0,53,18,9,10,11,3,0,13,2,0,0,1,4,0,240,0,0,0,465,25,6,4,47
1980,59,0,25,1441,17,11,0,0,13,1,0,11,1,118,4,119,0,17,9,2,0,725,0,51,0,8,0,1,21,20,0,70,21,9,7,9,1,0,13,1,0,0,1,5,0,238,0,0,0,438,27,6,4,48
1981,56,0,24,1428,18,9,0,0,13,1,0,11,1,118,3,109,0,17,11,2,0,747,0,32,0,6,3,1,47,14,0,72,21,9,11,12,1,0,15,1,0,0,1,4,0,235,0,0,0,410,18,6,5,48
1982,54,0,24,1352,18,9,0,0,15,1,0,12,1,111,3,169,0,21,12,1,0,762,0,83,0,6,2,1,23,19,0,90,21,8,8,13,0,0,14,1,0,0,2,3,0,236,0,0,0,420,22,5,4,53
1983,49,1,26,1316,20,9,0,0,13,1,0,11,1,108,3,177,0,21,10,1,0,801,0,41,0,6,1,2,28,28,0,92,22,10,8,14,1,0,16,2,0,0,1,3,0,232,0,0,0,405,19,5,5,34
1984,53,1,27,1299,21,9,0,0,13,1,0,12,1,109,2,140,0,21,11,2,0,791,0,25,0,3,4,1,35,76,0,78,26,10,5,13,1,0,16,2,0,0,1,3,0,236,0,0,0,419,21,5,4,40
1985,55,1,29,1286,20,9,0,0,13,1,0,10,1,107,2,145,0,24,12,2,0,785,0,35,0,3,3,1,14,97,0,76,58,10,8,18,1,0,18,2,1,0,1,3,0,235,0,0,0,410,26,6,5,39
1986,53,1,23,1250,20,11,0,0,13,1,0,13,1,115,3,148,0,22,12,2,0,792,0,39,0,5,5,2,82,76,0,67,73,10,8,19,1,0,18,3,0,0,1,4,0,230,0,0,0,408,24,6,4,45
1987,49,1,26,1297,21,10,0,0,14,1,0,12,1,114,2,137,0,22,13,1,0,792,0,46,0,13,2,5,40,90,0,64,88,10,7,21,1,0,18,1,1,0,2,3,0,226,0,0,0,344,31,6,5,44
1988,54,1,21,1265,21,11,0,0,17,1,0,12,1,114,2,111,0,21,16,2,0,824,0,51,0,24,5,2,41,99,0,54,85,5,6,26,1,0,20,3,0,0,2,3,0,223,0,0,0,357,25,6,5,45
1989,57,1,27,1170,21,13,0,0,15,1,0,12,2,126,1,111,0,21,15,2,0,841,0,78,0,23,2,2,29,129,0,72,94,5,6,26,1,0,20,2,0,0,2,3,0,216,0,0,0,355,28,6,5,43
1990,57,1,37,1106,20,12,0,0,17,1,0,11,2,134,1,120,0,24,17,2,0,828,0,81,0,17,0,2,43,179,0,73,41,6,7,20,3,0,22,3,1,0,2,4,0,217,0,0,0,413,30,6,5,47
