"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,38,33,2,249,109,1,4,2,0,1179,3,0,244,10,1,0,0,13,0,0,6,0,0,5,4,14,6,0,1,30,2,140,2,1,31,2,3,0,0,0,0,0,53,11,83,1,1,0,1,169,6,7,1,53
1962,38,33,3,272,95,1,4,2,0,1186,2,0,252,11,1,0,0,12,0,0,6,0,0,9,5,14,6,0,1,30,3,136,2,2,31,2,4,0,0,0,0,0,50,11,84,1,1,0,1,187,6,7,2,58
1963,36,37,3,289,85,2,6,2,0,1178,2,0,273,12,4,0,0,13,0,0,7,0,0,9,5,14,18,0,1,19,3,147,1,2,34,2,3,0,0,0,0,0,43,12,82,1,1,0,1,176,9,6,2,65
1964,34,40,3,297,89,2,9,3,1,1166,1,0,277,12,5,0,0,15,0,0,9,1,0,8,5,14,18,0,1,18,3,148,0,2,29,2,4,0,0,0,0,0,50,11,75,2,1,0,1,194,12,10,2,59
1965,29,41,3,331,83,2,12,1,1,1125,1,0,274,12,5,0,0,13,0,0,9,1,0,5,5,15,11,0,1,24,3,144,0,2,28,3,5,0,0,0,0,0,55,10,66,2,1,0,1,204,16,9,2,62
1966,31,41,3,345,82,1,22,1,0,1064,2,0,300,11,6,0,0,15,0,0,12,1,0,7,6,17,11,0,1,27,4,160,1,3,25,2,4,0,0,0,0,0,43,11,65,2,2,1,1,218,15,10,3,64
1967,31,45,4,365,83,1,36,1,1,1037,3,0,303,11,7,0,0,17,0,0,11,1,0,8,5,16,14,0,1,25,3,164,8,3,27,3,4,0,0,0,0,0,46,10,50,2,2,1,1,231,29,10,3,65
1968,31,45,3,381,77,2,38,1,1,1002,2,0,300,11,9,1,0,16,0,0,16,1,0,9,7,16,7,0,1,29,3,167,10,3,26,2,3,0,0,0,0,0,51,11,42,2,2,1,1,241,41,10,4,69
1969,29,41,3,408,69,2,44,1,2,971,1,0,305,11,10,0,0,16,0,0,14,1,0,8,8,17,3,0,1,29,2,174,10,3,27,3,3,0,0,0,0,0,48,10,33,2,2,1,1,267,32,11,3,65
1970,30,44,3,428,60,3,48,1,2,947,2,0,305,10,12,1,0,14,0,0,17,1,0,5,8,19,3,0,1,31,4,193,5,3,22,4,3,0,0,0,2,0,45,10,27,2,2,1,1,297,44,9,3,64
1971,32,46,3,448,62,2,52,1,3,929,2,0,307,10,13,1,0,13,0,0,16,1,0,9,9,17,3,0,1,37,2,187,4,4,25,4,3,0,0,0,2,0,43,11,23,2,3,1,1,294,23,10,4,66
1972,34,47,4,468,61,2,56,1,2,922,2,0,313,9,14,1,0,13,0,0,23,1,0,8,8,18,6,0,1,51,3,190,2,4,21,3,2,0,0,0,3,0,44,10,23,3,3,1,1,309,15,11,4,65
1973,34,48,4,477,68,2,63,1,3,916,2,0,321,9,12,1,0,14,1,0,22,1,0,10,3,18,3,0,1,58,3,203,2,5,21,2,2,0,0,0,3,0,40,8,17,3,4,1,1,279,12,10,4,63
1974,36,47,4,462,63,1,58,2,1,908,1,0,314,8,11,1,0,13,1,0,22,1,0,9,4,14,3,0,1,63,2,210,0,4,21,2,2,0,0,0,3,0,39,9,17,2,3,1,1,292,10,10,3,62
1975,38,44,4,468,64,1,47,2,1,897,1,0,336,8,12,1,0,12,1,0,23,1,0,9,5,12,2,0,1,64,2,198,0,5,18,3,2,0,0,0,3,0,48,8,20,2,4,1,1,261,10,9,5,60
1976,41,40,5,499,61,1,70,3,2,879,1,0,328,8,11,1,0,12,1,0,20,1,0,11,2,15,5,0,1,64,3,197,0,6,15,2,2,0,0,0,4,0,44,8,15,2,5,1,1,270,11,10,4,60
1977,43,42,4,507,66,2,74,1,1,850,1,0,328,9,10,1,0,13,1,0,22,1,0,11,4,14,4,0,1,67,3,195,0,5,15,2,1,0,0,0,4,0,45,8,17,3,4,2,1,292,12,10,4,63
1978,45,39,4,535,61,3,74,2,1,826,1,0,324,8,10,1,0,13,1,0,19,1,0,11,4,12,4,0,1,75,3,204,0,6,14,2,1,0,0,0,5,0,45,7,17,3,4,2,1,274,43,10,5,63
1979,50,37,4,541,61,2,70,2,3,805,2,0,330,8,10,2,0,13,1,0,23,1,1,15,2,14,3,0,2,91,3,187,1,5,15,2,1,0,0,0,5,0,45,9,17,3,4,2,1,283,52,11,5,61
1980,50,37,4,537,60,4,87,1,1,795,0,0,328,9,9,2,0,12,1,0,19,1,1,13,2,13,7,0,2,84,4,202,2,5,14,2,1,0,0,0,3,0,46,8,17,2,5,2,1,256,67,10,5,61
1981,49,37,4,539,57,4,95,1,1,787,0,0,326,7,9,2,0,12,1,0,17,1,1,12,2,14,5,0,2,103,3,198,3,5,12,2,2,0,0,0,3,0,43,7,18,2,6,2,1,200,69,11,4,63
1982,55,37,5,542,62,3,89,1,1,774,0,0,332,8,9,2,0,14,1,0,18,1,1,12,3,10,5,0,2,101,3,202,4,5,14,2,2,0,0,0,4,0,50,7,17,3,6,2,1,246,74,11,4,63
1983,63,36,5,560,59,4,101,1,1,767,0,0,328,9,7,2,0,13,1,0,18,1,1,14,2,13,5,0,2,100,5,205,4,5,12,2,2,0,0,0,4,0,46,7,18,2,6,3,1,235,75,10,4,60
1984,67,31,5,567,54,4,98,1,0,759,0,0,327,7,8,2,0,13,1,0,13,1,1,9,2,14,7,0,2,106,3,213,4,6,13,2,1,0,0,0,4,0,47,7,18,3,6,3,1,233,80,10,4,62
1985,68,28,5,580,56,4,114,1,0,752,0,0,327,8,8,2,0,13,1,0,16,1,1,8,2,13,5,0,2,118,4,204,4,6,13,2,1,0,0,0,4,0,47,7,20,3,6,3,1,238,79,11,4,61
1986,63,32,4,585,57,5,107,1,1,742,0,0,329,8,9,2,0,14,1,0,14,1,1,8,2,13,5,0,2,120,4,211,4,8,15,2,1,0,0,1,4,0,49,7,19,3,7,3,1,235,87,11,4,63
1987,64,34,5,599,60,5,113,1,1,728,0,0,324,9,9,2,0,14,1,0,16,1,2,8,2,13,6,0,2,132,5,207,4,7,15,2,1,0,0,1,5,0,49,7,19,3,9,4,1,237,85,11,4,63
1988,74,33,5,612,63,5,115,1,1,718,0,0,338,9,9,2,0,15,1,0,13,1,1,8,2,15,7,1,2,136,5,208,3,8,15,2,1,0,0,1,5,0,49,7,18,3,11,4,1,232,94,11,4,64
1989,55,33,5,621,66,5,139,0,1,709,0,0,344,9,9,2,0,14,1,0,13,1,1,10,2,16,7,1,2,141,6,206,3,8,16,2,1,0,0,1,5,0,49,7,21,3,12,4,1,230,99,11,4,64
1990,63,31,5,616,69,5,134,0,1,706,0,0,337,9,9,2,0,15,1,0,11,2,1,11,2,14,7,1,2,147,7,204,4,7,14,2,1,0,0,1,7,0,49,6,21,4,11,4,1,231,88,11,4,62
1991,54,31,5,617,72,5,138,0,1,704,0,0,336,7,9,2,0,14,1,0,10,2,1,12,2,14,9,1,2,151,7,203,3,8,13,2,1,0,0,0,8,0,51,6,18,3,11,4,1,222,87,11,4,62
