year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,74,117,6,10,0,8,30,0,1,7,0,0,0,0,0,0,136,0,0,1011,0,7,24,4,31,119,0,0,26,21,0,7,0,0,52,0,1,1,0,0,1,1,0,20,0,0,0,259,4,7,41,77
1962,0,0,74,137,8,12,0,6,28,0,2,9,0,0,0,0,0,0,100,0,0,1040,0,0,2,8,6,157,0,0,27,20,0,11,0,0,54,0,1,1,0,0,1,1,0,17,0,0,0,297,5,9,30,78
1963,1,0,55,147,7,5,0,26,29,0,2,11,0,1,0,0,0,0,121,0,0,1055,0,0,24,5,4,123,13,0,30,28,0,11,0,0,51,0,1,1,0,1,1,1,0,21,0,0,0,261,5,7,38,81
1964,0,0,68,152,12,6,0,16,28,1,2,11,0,2,0,0,0,0,111,0,0,1006,0,0,1,6,6,147,26,0,29,20,0,11,0,0,63,0,1,1,0,0,1,1,0,19,1,0,0,206,0,9,37,89
1965,1,0,68,170,17,10,0,8,27,1,3,15,0,1,1,0,0,0,129,0,0,938,0,0,4,5,1,156,31,0,23,10,0,11,0,0,74,0,2,1,0,0,1,1,0,23,0,0,0,298,0,8,31,88
1966,1,0,66,173,14,6,0,8,20,1,2,14,0,1,0,0,0,0,122,0,0,1029,1,1,10,6,12,122,45,0,27,4,0,12,0,0,47,0,1,1,0,0,1,1,0,31,0,0,0,312,0,9,15,57
1967,1,0,58,124,10,14,0,5,27,1,3,13,0,1,0,0,0,0,102,0,0,922,4,0,9,5,16,130,58,0,19,9,0,12,0,0,78,0,1,2,0,1,1,1,0,10,0,0,0,325,0,5,22,56
1968,2,0,35,206,15,12,0,5,20,1,1,12,0,1,0,0,0,0,119,0,0,1069,6,1,1,7,70,111,0,0,28,26,0,5,0,0,58,0,1,2,0,1,2,2,0,19,0,0,0,264,0,4,16,39
1969,1,0,17,228,8,11,0,8,13,0,0,16,0,1,3,0,0,0,120,0,0,1107,6,1,0,11,65,114,0,0,20,26,0,1,0,0,72,0,1,2,0,0,2,2,0,17,0,0,0,258,0,3,25,33
1970,1,0,28,185,7,3,0,5,10,0,0,10,0,1,0,0,0,0,88,0,0,1167,5,1,4,9,73,120,0,0,17,31,0,2,0,0,56,0,1,2,0,0,1,2,0,19,0,0,0,259,0,3,19,20
1971,1,0,18,211,8,2,0,6,9,0,1,10,0,1,0,0,0,0,97,0,0,1141,3,0,4,11,69,116,0,0,37,32,0,5,0,0,62,0,1,2,0,1,1,2,0,18,0,0,0,260,0,4,18,27
1972,1,0,17,191,8,4,0,15,5,0,0,10,0,1,0,0,0,0,98,0,0,1129,2,3,4,12,76,121,0,0,14,58,0,4,0,0,61,0,1,1,0,1,2,1,0,9,0,0,0,263,1,4,28,30
1973,1,0,22,238,11,1,0,10,4,0,0,11,0,1,1,0,0,0,93,0,0,1143,1,2,0,7,79,115,0,0,23,26,0,7,0,0,61,0,2,2,0,0,2,1,0,20,0,0,0,212,1,6,9,18
