year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,2,0,0,253,0,74,0,0,15,0,0,0,0,5,0,0,0,0,121,0,0,341,0,934,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,404,0,0,212,0,0,0,38
1962,3,0,0,296,0,74,0,0,14,0,0,0,0,4,0,0,0,0,113,0,0,335,0,922,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,392,0,0,290,0,0,0,40
1963,2,0,0,292,0,78,0,0,15,0,0,0,0,6,0,0,0,0,140,0,0,403,0,896,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,382,0,0,239,0,0,0,41
1964,2,0,0,322,0,80,0,0,15,0,0,0,0,7,0,0,0,0,90,0,0,500,0,886,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,361,0,0,219,0,0,0,41
1965,2,0,1,314,0,82,0,0,15,0,0,0,0,7,0,0,0,0,232,0,0,337,0,882,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,348,0,0,252,0,0,0,42
1966,1,0,0,280,0,86,0,0,14,0,0,0,0,11,0,0,0,0,301,0,0,381,0,860,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,244,0,0,0,39
1967,3,0,0,293,0,87,0,0,15,0,0,0,0,10,0,0,0,0,328,0,0,367,0,845,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,384,0,0,295,0,0,0,40
1968,4,0,0,289,0,86,0,0,16,0,0,0,0,10,0,0,0,0,211,0,0,396,0,819,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,408,0,0,324,0,0,0,39
1969,1,0,0,283,0,86,0,0,14,0,0,0,0,10,0,0,0,0,195,0,0,383,0,815,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,407,0,0,355,0,0,0,40
1970,3,0,0,283,0,87,0,0,14,0,0,0,0,12,0,0,0,0,155,0,0,500,0,811,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,405,0,0,348,7,0,0,39
