year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,4,0,57,313,25,6,0,4,45,1,8,30,0,8,0,0,0,2,85,0,0,1063,1,8,75,11,15,87,0,0,32,0,1,32,14,2,52,0,3,2,0,0,8,0,0,35,1,0,0,190,8,10,6,49
1962,5,0,56,346,17,6,0,2,44,0,8,23,0,8,0,0,0,0,86,0,0,1066,1,7,71,15,16,78,0,0,33,0,1,31,13,2,50,0,4,2,0,0,7,0,0,32,1,0,0,229,9,11,6,54
1963,3,0,59,376,18,10,0,6,42,1,6,27,0,10,0,0,0,2,84,0,0,1004,1,10,69,27,20,70,0,0,32,0,1,29,12,1,53,0,3,2,0,0,2,0,0,35,1,0,0,214,13,10,6,51
1964,3,0,61,359,35,5,0,6,44,0,8,26,0,10,0,0,0,2,84,0,0,1003,2,7,65,25,25,81,0,0,31,0,1,26,12,2,60,0,4,1,0,0,4,0,0,38,1,0,0,225,10,12,9,50
1965,2,0,47,362,18,10,0,6,36,0,6,23,0,8,0,0,0,2,84,0,0,1049,2,9,65,39,28,76,0,0,25,0,0,31,11,4,53,0,4,2,1,0,3,1,0,27,1,0,0,239,7,8,9,46
1966,3,0,44,361,13,12,0,8,23,0,5,29,0,9,0,0,0,2,91,0,0,1036,2,5,61,24,28,84,0,0,26,0,0,31,12,3,41,0,4,3,1,0,4,1,0,47,1,0,0,240,14,8,12,45
1967,3,0,47,351,14,10,0,9,32,0,2,23,0,9,0,4,0,2,90,0,0,1053,1,8,56,17,28,91,0,0,23,10,2,42,8,3,47,0,3,2,1,0,7,1,0,31,1,0,0,256,7,10,13,51
1968,3,0,44,351,10,14,0,4,44,1,4,19,0,7,0,4,0,6,94,0,0,1041,2,9,58,38,30,89,0,0,28,14,2,41,8,1,39,0,3,2,1,0,4,1,0,43,1,0,0,269,10,12,12,47
1969,3,0,37,341,7,14,0,4,29,0,3,20,0,9,0,4,0,2,96,0,0,1043,2,8,64,9,31,84,0,0,30,15,2,27,6,1,36,0,2,3,1,0,1,1,0,47,1,0,0,282,12,11,13,49
1970,2,0,53,361,7,16,0,7,29,0,5,25,0,8,0,6,0,2,99,0,0,963,2,7,66,18,35,90,0,0,28,15,3,34,6,1,36,0,3,2,1,0,2,1,0,50,1,0,0,269,13,12,12,45
1971,4,0,56,327,31,17,0,4,32,1,5,14,0,9,0,8,0,2,105,0,0,964,3,11,60,20,34,91,0,0,32,16,3,32,4,1,34,0,3,3,1,0,2,2,0,60,1,0,0,266,14,8,13,46
1972,4,0,52,307,50,18,0,8,36,2,11,21,0,9,0,9,0,2,92,0,0,961,3,11,53,26,34,82,0,0,32,30,4,35,4,1,31,0,3,3,1,0,1,2,0,48,2,0,0,268,11,10,12,45
1973,5,0,51,324,22,19,0,15,35,1,6,18,0,10,0,9,0,2,92,0,0,954,3,11,48,18,33,86,0,0,34,45,4,29,4,0,29,0,4,3,0,0,4,2,0,53,1,0,0,292,7,9,10,36
1974,4,0,54,322,8,25,0,8,35,2,11,22,0,11,0,9,0,1,85,0,0,950,3,12,48,27,34,76,0,0,29,60,4,27,4,1,31,0,4,3,0,0,3,2,0,50,1,0,0,290,11,10,13,44
1975,4,0,37,287,9,22,0,5,36,1,8,24,0,9,0,10,0,2,87,0,0,982,2,12,45,24,35,74,0,0,32,63,5,25,4,0,37,0,4,3,0,0,3,2,0,22,1,0,0,291,6,9,10,41
1976,4,0,35,298,1,18,0,7,36,1,7,27,0,10,0,9,0,2,90,0,0,965,3,12,38,22,34,82,0,0,26,81,6,26,5,0,53,0,2,4,0,0,3,2,0,19,1,0,0,296,12,7,11,43
1977,3,0,29,352,25,26,0,2,44,2,7,27,0,9,0,9,0,2,88,0,0,975,4,13,35,13,51,75,0,0,26,92,8,29,5,2,63,0,8,3,1,0,7,1,0,21,2,0,0,302,24,8,10,42
1978,4,0,58,347,3,13,0,2,41,1,6,31,0,12,0,10,0,2,83,0,0,969,4,12,34,14,37,80,0,0,25,105,11,27,5,0,75,0,6,2,0,0,7,1,0,33,1,0,0,332,24,10,13,47
