"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,13,0,0,96,5,7,0,0,0,757,0,0,40,0,116,0,0,2,0,0,3,3,0,10,0,24,5,0,127,0,0,6,0,6,0,0,15,0,0,0,0,659,1,24,17,28,2,0,0,23,0,0,0,30
1962,12,0,1,89,8,7,0,0,0,795,0,0,30,0,115,0,0,2,0,0,3,3,0,10,0,24,17,1,141,0,0,6,0,6,0,0,15,0,0,0,0,643,1,24,16,27,3,0,0,26,1,0,0,30
1963,13,0,0,84,5,6,0,0,0,868,0,0,39,0,112,0,0,2,0,0,3,3,0,10,0,15,6,3,173,0,0,6,0,6,0,0,14,0,0,0,0,640,1,23,16,27,1,0,0,31,1,0,0,29
1964,14,0,1,78,3,5,0,0,1,935,0,0,36,0,109,0,0,2,0,0,3,3,0,9,0,15,6,0,168,0,0,6,0,6,0,0,15,0,0,0,0,617,1,22,15,26,1,0,0,25,2,0,0,29
1965,11,0,0,81,5,4,0,0,1,879,0,0,33,0,106,0,0,2,0,0,3,3,0,9,0,14,6,0,213,0,0,6,0,6,0,0,14,0,0,0,0,609,1,22,15,25,0,0,0,39,1,0,0,28
1966,13,0,1,86,8,19,0,0,0,991,0,0,37,0,103,0,0,2,0,0,3,3,1,10,0,14,19,0,208,0,0,5,0,6,0,0,13,0,0,0,0,594,1,21,20,25,0,0,0,39,0,0,0,28
1967,14,0,0,90,6,19,0,0,1,880,0,0,40,0,102,0,0,2,0,0,3,3,1,10,0,14,21,0,210,0,0,21,0,6,0,0,13,0,0,0,0,578,1,22,21,24,1,0,0,38,1,0,0,28
1968,16,0,0,84,5,2,0,0,1,980,0,0,40,0,102,0,0,2,0,0,3,3,2,11,0,13,19,0,204,0,0,9,0,6,0,0,13,0,0,0,0,574,1,21,21,24,0,1,0,35,0,0,0,27
1969,18,0,0,81,5,3,0,0,1,875,0,0,38,0,101,0,0,2,0,0,3,3,4,11,0,13,14,1,205,0,0,9,0,6,0,0,13,0,0,0,0,559,1,21,20,23,0,0,0,36,0,0,0,27
1970,20,0,1,88,5,4,0,0,2,1111,0,0,48,0,100,0,0,2,0,0,3,4,3,11,0,13,18,1,197,0,0,11,0,6,0,0,12,0,0,0,0,555,1,21,20,23,1,0,0,45,0,0,0,27
1971,22,0,1,97,6,3,0,0,1,1155,0,0,52,0,98,0,0,2,0,0,3,3,3,9,0,13,26,1,221,0,0,8,0,6,0,0,13,0,0,0,0,544,2,20,21,22,0,0,0,51,1,0,0,26
1972,22,0,1,90,6,3,0,0,1,1083,0,0,44,0,95,0,0,2,0,0,3,3,3,9,0,13,19,0,224,0,0,9,0,6,0,0,12,0,0,0,0,529,1,18,19,21,0,0,0,52,1,0,0,26
1973,24,0,1,96,6,2,0,0,1,1133,0,0,45,0,92,0,0,3,0,0,3,3,5,9,0,13,27,1,230,0,0,11,0,6,0,0,11,0,0,0,0,481,1,18,18,20,0,0,0,58,1,0,0,26
1974,27,0,1,90,11,5,0,0,6,1120,0,0,29,0,98,0,0,3,0,0,3,3,3,9,0,14,37,1,239,0,0,16,0,7,0,0,13,0,0,0,0,477,1,19,21,22,0,0,0,46,1,0,0,26
1975,30,0,0,87,9,3,0,0,0,995,0,0,47,0,99,0,0,2,0,0,3,3,3,9,0,14,20,0,285,0,0,13,0,7,0,0,14,0,0,0,0,458,1,19,21,22,0,0,0,34,0,0,0,26
1976,30,0,0,88,9,2,0,0,1,1062,0,0,43,0,100,0,0,2,0,0,3,3,3,9,0,15,17,1,295,0,0,14,0,7,0,0,15,0,0,0,0,486,1,19,21,22,0,0,0,53,2,0,0,26
1977,30,0,0,95,12,2,0,0,1,1176,0,0,45,0,101,0,0,2,0,0,3,3,4,9,0,15,23,1,288,0,0,15,0,7,0,0,14,0,0,0,0,489,1,18,20,21,1,0,0,62,2,0,0,25
1978,30,0,0,93,10,5,0,0,1,1127,0,0,53,0,101,0,0,2,0,0,3,3,6,9,0,14,23,1,289,0,0,32,0,7,0,0,15,0,0,0,0,492,1,18,20,21,0,1,0,66,2,0,0,25
1979,30,0,0,102,13,0,0,0,3,1182,0,0,74,0,97,0,0,2,0,0,3,3,8,9,0,14,18,0,262,0,0,41,0,7,0,0,13,0,0,0,0,486,1,17,19,20,1,0,0,68,1,0,0,26
1980,32,0,0,100,11,2,0,0,2,1187,0,0,55,0,93,0,0,2,0,0,3,3,7,8,0,14,18,1,222,0,0,46,0,6,0,0,13,0,0,0,0,470,1,17,19,20,0,0,0,59,3,0,0,25
1981,30,0,0,94,9,2,0,0,1,1275,0,0,54,0,91,0,0,2,0,0,3,3,11,8,0,15,13,1,215,0,1,38,0,6,0,0,13,0,0,0,0,455,1,16,18,19,0,0,0,54,4,0,0,24
1982,29,0,0,92,7,2,0,0,2,1285,0,0,64,0,92,0,0,2,0,0,2,3,4,8,0,14,6,1,265,0,0,55,0,6,0,0,12,0,0,0,0,439,1,16,18,19,0,0,0,54,1,0,0,24
1983,28,0,0,104,7,3,0,0,2,1156,0,0,84,0,89,0,0,2,0,0,2,3,4,8,0,13,30,1,264,0,0,56,0,6,0,0,12,0,0,0,0,383,1,16,19,20,0,0,0,73,3,0,0,25
1984,29,0,0,99,9,3,0,0,2,1266,0,0,34,0,88,0,0,2,0,0,2,2,5,7,0,13,28,0,288,0,0,30,0,6,0,0,13,0,0,0,0,301,2,16,18,20,0,1,0,68,3,0,1,24
1985,33,0,0,99,8,3,0,0,2,1152,0,0,60,0,88,0,0,2,0,0,2,2,4,7,0,13,31,0,307,35,0,19,0,6,0,0,13,0,0,0,0,384,2,16,19,20,0,0,0,59,3,0,1,25
1986,37,0,0,102,8,3,0,0,1,1187,0,0,77,0,82,0,0,2,0,0,2,2,6,7,0,13,33,0,269,41,0,17,0,6,0,0,13,0,0,0,0,415,1,17,19,20,0,0,0,72,2,0,1,25
1987,42,0,0,103,6,1,0,0,2,1193,0,0,34,0,75,0,0,2,0,0,2,2,5,7,0,17,16,0,218,57,0,8,0,6,0,0,12,0,0,0,0,507,1,17,19,20,0,0,0,77,0,0,1,25
1988,47,0,0,96,7,0,0,0,2,1154,0,0,76,0,70,0,0,2,0,0,2,2,3,7,0,17,14,0,191,55,0,11,0,6,0,0,12,0,0,0,0,615,1,17,19,20,2,0,0,90,0,0,2,26
1989,48,0,0,92,6,1,0,0,1,1284,0,0,87,0,78,0,0,2,0,0,2,2,3,7,0,17,11,0,163,50,0,8,0,6,0,0,13,0,0,0,0,530,1,17,20,21,1,0,0,77,0,0,1,26
1990,47,0,0,71,3,1,0,0,0,923,0,0,17,1,71,0,0,2,0,0,2,3,2,8,0,12,5,0,199,33,0,23,0,7,0,0,12,0,0,0,0,567,0,15,17,17,1,0,0,53,0,0,1,24
1991,48,0,0,72,2,0,0,0,0,1053,0,0,23,1,74,0,0,2,0,0,3,3,14,8,0,14,3,0,375,13,0,50,0,6,0,0,25,0,0,0,0,389,0,20,19,23,0,1,0,50,1,0,0,27
1992,49,0,0,75,5,0,0,0,0,901,0,0,73,0,82,0,0,2,0,0,3,3,10,7,0,13,5,0,367,31,0,52,0,6,0,0,27,0,0,0,0,411,0,17,18,20,0,2,0,50,1,0,0,30
1993,52,0,0,72,2,0,0,0,0,816,0,0,30,0,88,0,0,2,0,0,3,3,16,8,0,16,4,0,371,22,0,19,0,6,0,0,35,0,0,0,0,364,1,19,20,22,1,2,2,62,1,0,2,33
1994,53,0,0,69,4,0,20,0,0,626,0,0,89,0,90,0,0,2,0,0,3,3,70,7,0,17,5,0,374,11,0,44,0,7,0,0,19,0,0,0,0,369,1,21,20,24,0,2,0,63,0,0,0,30
1995,52,0,0,67,5,0,64,0,0,296,0,0,455,0,96,0,0,2,0,0,3,3,39,7,0,18,6,0,348,9,0,40,0,8,0,0,37,0,0,0,0,252,0,23,20,24,0,2,1,65,0,0,0,28
1996,49,0,0,62,3,0,18,0,0,402,0,0,378,0,97,0,0,2,0,0,3,3,30,7,0,21,18,0,307,11,0,71,0,9,0,0,44,0,0,0,0,292,0,23,19,23,1,2,2,52,0,0,0,34
1997,47,0,0,68,4,0,74,0,0,414,0,0,382,0,93,0,0,2,0,0,3,3,35,7,0,20,25,0,391,10,0,37,0,11,0,0,23,0,0,0,0,360,0,26,19,23,1,2,0,58,1,0,1,33
1998,45,0,0,64,3,0,76,0,1,520,0,0,300,0,98,0,0,2,0,0,3,3,26,6,0,19,28,0,354,22,0,13,0,12,0,0,34,0,0,0,0,364,0,18,19,22,0,2,0,69,0,0,0,32
1999,42,0,0,69,3,0,39,0,1,497,0,0,330,0,84,0,0,2,0,0,2,3,30,6,0,22,30,0,329,25,0,15,0,10,0,0,44,0,0,0,0,402,0,20,16,22,0,1,0,54,0,0,0,31
2000,40,0,0,66,2,21,31,0,0,577,0,0,239,0,89,0,0,2,0,0,2,2,40,6,0,16,37,0,319,16,0,22,0,5,0,0,38,0,0,0,0,466,0,24,18,21,0,2,0,56,1,0,1,30
2001,40,0,0,58,2,0,32,0,1,617,0,0,180,0,89,0,0,2,0,0,2,2,5,5,0,14,37,0,313,7,0,26,0,5,0,0,19,0,0,0,0,492,1,18,18,20,1,1,0,65,0,0,0,30
2002,39,0,0,54,3,0,44,0,0,608,0,0,181,0,90,0,0,2,0,0,2,2,1,5,0,14,35,0,361,6,0,24,0,6,0,0,20,0,0,0,0,510,2,19,19,17,0,1,0,62,0,0,0,31
2003,38,0,0,56,3,0,62,0,1,530,0,0,234,0,89,0,0,2,0,0,2,2,1,5,0,15,40,0,356,14,0,18,0,5,0,0,27,0,0,0,0,486,0,18,15,17,1,1,0,60,1,0,1,33
2004,38,0,0,73,3,0,37,0,0,524,0,0,295,0,89,0,0,1,0,0,3,2,1,5,0,15,44,0,388,0,0,11,0,6,0,0,30,0,0,0,0,496,2,18,15,18,2,1,0,63,1,0,1,34
2005,37,0,0,72,4,0,9,0,1,604,0,0,322,0,84,0,0,2,0,0,3,2,1,5,0,16,41,0,363,4,0,26,0,7,0,0,31,0,0,0,0,504,1,18,16,16,3,2,0,63,1,0,1,36
2006,35,0,0,64,5,0,1,0,1,770,0,0,221,0,87,0,0,1,0,0,3,2,2,5,0,14,40,0,338,0,0,19,0,5,0,0,23,0,0,0,0,455,0,17,14,16,2,2,0,68,2,0,1,19
2007,34,0,0,69,4,0,0,0,1,737,0,0,238,0,80,0,0,1,0,0,2,2,2,5,0,14,40,0,362,0,0,9,0,5,0,0,26,0,0,0,0,477,0,15,11,15,3,1,0,67,1,0,1,19
2008,32,0,0,71,4,0,0,0,1,863,0,0,171,0,77,0,0,1,0,0,2,2,3,5,0,14,23,0,345,0,0,7,0,5,0,0,25,0,0,0,0,461,1,17,14,14,2,1,0,80,1,0,1,21
2009,31,0,0,68,4,0,0,0,1,968,0,0,150,0,76,0,0,1,0,0,2,2,2,4,0,12,22,0,368,0,0,6,0,4,0,0,22,0,0,0,0,389,1,15,12,12,2,1,0,68,2,0,1,16
