year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,39,0,8,0,0,50,0,0,0,0,0,273,0,12,0,271,0,0,114,14,201,0,0,0,0,0,0,0,0,0,36,0,0,3,0,0,0,0,7,0,0,0,0,110,0,0,342,0,0,0,44
1962,0,0,0,48,0,8,0,0,50,0,0,0,0,0,288,0,16,0,275,0,0,114,14,201,0,0,0,0,0,0,0,0,0,36,0,0,3,0,0,0,0,7,0,0,0,0,116,0,0,335,0,0,0,47
1963,0,0,0,47,0,8,0,0,49,0,0,0,0,0,279,0,20,0,267,0,0,113,14,199,0,0,0,0,0,0,0,0,0,36,0,0,3,0,0,0,0,7,0,0,0,0,112,0,0,335,0,0,0,48
1964,0,0,0,56,0,9,0,0,50,0,0,0,0,0,293,0,23,0,271,0,0,113,14,198,0,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,7,0,0,0,0,115,0,0,307,0,0,0,50
1965,0,0,0,168,0,9,0,0,49,0,0,0,0,0,285,0,26,0,263,0,0,112,14,196,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,7,0,0,0,0,112,0,0,293,0,0,0,52
1966,0,0,0,175,0,9,0,0,49,0,0,0,0,0,298,0,31,0,277,0,0,112,14,205,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,7,0,0,0,0,114,0,0,288,0,0,0,56
1967,0,0,0,197,0,9,0,0,49,0,0,0,0,0,290,2,18,0,282,0,0,111,14,227,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,7,0,0,0,0,111,0,0,275,0,0,0,56
1968,0,0,0,185,0,9,0,0,49,0,0,0,0,0,293,1,11,0,290,0,0,111,14,236,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,7,0,0,0,0,110,0,0,263,0,0,0,56
1969,0,0,0,163,0,9,0,0,49,0,0,0,0,0,291,2,4,0,296,0,0,110,14,234,0,0,0,0,0,0,0,0,0,33,0,0,2,0,0,0,0,7,0,0,0,0,107,0,0,300,0,0,0,55
1970,0,0,0,267,0,10,0,0,53,0,0,0,0,0,289,0,16,0,280,0,0,110,14,218,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,7,0,0,0,0,101,0,0,288,0,1,0,57
