year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,5,0,191,0,7,0,2,4,0,0,5,0,0,32,47,542,0,112,0,408,10,0,0,0,57,40,0,0,0,0,0,0,6,0,0,50,0,0,0,0,2,0,0,12,0,0,14,3,26,0,1,0,15
1962,0,5,0,198,0,8,0,1,9,0,0,1,0,0,27,77,492,0,156,0,400,12,0,0,0,57,41,0,0,0,0,0,0,6,0,0,50,0,0,0,0,2,0,0,13,0,0,14,4,57,0,1,0,15
1963,0,5,0,209,0,7,0,0,9,0,0,1,0,0,26,96,539,0,158,0,319,16,0,0,0,135,41,0,1,0,0,0,0,10,0,0,49,0,0,0,0,1,0,0,14,0,0,14,4,32,0,0,0,15
1964,0,4,0,216,0,7,0,0,9,0,0,1,0,0,26,111,456,0,182,0,364,7,0,0,0,92,41,0,2,0,0,0,0,8,0,0,49,0,0,0,0,2,0,0,15,0,0,14,4,27,0,0,0,15
1965,0,4,0,227,0,7,0,1,10,0,0,1,0,0,28,109,413,0,150,0,307,27,0,0,0,143,41,0,0,0,0,0,0,8,0,0,48,0,0,0,0,2,0,0,15,0,0,14,4,54,0,1,0,16
1966,0,4,0,233,0,7,0,1,10,0,0,1,0,0,40,94,446,0,156,0,325,17,0,0,0,103,42,0,3,0,0,0,0,10,0,0,47,0,0,0,0,2,0,0,16,0,0,14,4,39,0,1,0,16
1967,0,5,0,242,0,7,0,0,10,0,0,1,0,0,38,105,467,0,155,0,347,14,0,0,0,91,42,0,0,0,0,0,0,10,0,0,47,0,0,0,0,2,0,0,16,0,0,14,4,30,0,1,0,16
1968,1,5,0,243,0,7,0,0,10,0,0,1,0,0,35,100,516,0,164,0,383,14,0,1,0,78,43,0,0,0,0,0,0,11,0,0,46,0,0,0,0,2,0,0,16,0,0,15,4,61,0,1,0,17
1969,1,4,0,249,0,7,0,0,12,0,0,1,0,0,49,102,448,0,154,0,331,10,0,0,0,99,40,0,0,0,0,0,0,12,0,0,46,0,0,0,0,2,0,0,16,0,0,15,4,31,0,1,1,17
1970,1,6,0,246,0,8,0,0,11,0,0,1,0,0,55,78,565,0,137,0,395,21,0,0,0,116,42,0,1,0,0,0,0,13,0,0,45,0,0,0,0,2,0,0,14,0,0,14,4,68,0,1,1,18
1971,1,4,0,240,0,8,0,0,11,0,0,1,0,0,32,63,442,0,170,0,308,21,0,0,1,100,35,0,3,0,0,0,0,24,0,0,44,0,0,0,0,2,0,0,13,0,0,13,4,54,0,1,1,17
1972,1,4,0,203,0,8,0,0,11,0,0,1,0,0,42,123,427,0,158,0,301,16,0,0,1,88,40,0,0,0,0,0,0,20,0,0,43,0,0,0,0,2,0,0,11,0,0,12,4,45,1,0,0,16
1973,1,4,0,179,0,8,0,0,11,0,0,1,0,0,45,90,407,0,218,0,253,38,0,0,4,92,40,0,0,0,0,0,0,15,0,0,43,0,0,0,0,2,0,0,10,0,0,10,3,63,0,0,0,16
1974,1,4,0,186,0,8,0,1,11,0,0,1,0,0,49,127,441,0,212,0,259,56,0,0,5,134,37,0,0,0,0,0,0,16,0,0,42,0,0,0,0,2,0,0,8,0,0,9,4,46,0,0,0,17
1975,1,4,0,204,0,8,0,0,11,0,0,1,0,0,54,103,439,0,179,0,310,53,1,0,6,188,37,0,0,0,0,0,0,26,0,0,41,0,0,0,0,2,0,0,7,0,0,8,4,41,0,0,0,17
1976,1,4,0,212,0,8,0,0,11,0,0,1,0,0,51,63,451,0,174,0,356,25,0,0,8,164,32,0,0,0,0,0,0,17,0,0,40,0,0,0,0,3,0,0,5,0,0,6,4,60,1,0,0,18
1977,1,4,0,217,0,9,0,1,11,0,0,1,0,1,47,87,433,0,162,0,319,26,0,0,10,164,25,0,1,0,0,0,0,18,0,0,39,0,0,0,0,3,0,0,3,0,0,5,5,28,1,0,0,19
1978,0,4,0,228,0,9,0,0,13,0,0,1,0,0,42,97,382,0,176,0,279,42,0,0,10,118,34,0,0,0,0,0,0,12,0,0,39,0,0,0,0,3,0,0,1,0,0,4,5,30,0,0,0,20
1979,0,4,0,223,0,9,0,0,11,0,0,1,0,0,18,90,450,0,160,0,378,24,0,0,16,109,25,0,0,0,0,0,0,3,0,0,38,0,0,0,0,3,0,0,1,0,0,4,5,43,0,0,0,20
1980,0,4,0,230,0,8,0,0,12,0,0,1,0,0,26,70,360,0,260,0,266,24,0,0,18,112,29,0,0,0,0,1,0,5,0,0,38,0,0,0,0,3,0,0,0,0,0,3,5,58,0,0,0,22
1981,0,3,0,233,0,8,0,0,12,0,0,1,0,0,48,73,322,0,201,0,292,31,0,0,20,93,34,0,0,0,0,1,0,6,0,0,32,0,0,0,0,3,0,0,0,0,0,3,5,39,0,0,1,24
1982,0,4,0,229,0,8,0,0,11,0,0,1,0,0,23,74,446,0,195,0,326,82,0,0,17,95,34,0,1,0,0,1,0,11,0,0,37,0,0,0,0,3,0,0,0,0,0,3,5,28,1,1,1,25
1983,0,4,0,206,0,8,0,0,11,0,0,1,0,0,46,112,399,0,199,0,362,52,0,0,25,55,33,0,1,0,0,1,0,4,0,0,18,0,0,0,0,3,0,0,0,0,0,3,7,28,0,1,1,25
1984,0,4,0,197,0,8,0,2,11,0,0,1,0,0,22,141,436,0,244,0,342,48,0,0,34,25,32,0,0,0,0,6,0,10,0,0,57,0,0,0,0,3,0,0,0,0,0,3,4,44,0,1,1,24
1985,1,5,0,187,0,8,0,0,11,0,0,1,0,0,18,158,551,0,291,0,360,57,1,0,45,64,34,0,0,0,0,1,0,21,0,0,40,0,1,0,0,3,0,0,0,0,0,3,4,42,0,1,1,25
1986,0,6,0,203,0,8,0,0,12,0,0,1,0,0,16,183,574,0,315,0,337,64,1,0,44,66,34,0,4,0,0,2,0,18,0,0,52,0,0,0,0,3,0,0,0,0,1,3,4,61,0,1,1,25
1987,0,6,0,195,0,8,0,2,12,0,0,1,0,0,14,173,612,0,221,0,439,68,0,0,35,54,35,0,3,0,0,4,0,14,0,0,43,0,0,0,0,3,0,0,0,0,0,3,3,52,0,1,1,26
1988,1,6,0,201,0,9,0,0,11,0,0,1,0,1,18,162,616,0,256,0,446,68,1,0,68,115,32,0,2,1,1,2,0,10,0,0,55,0,0,0,0,3,0,0,0,0,0,3,2,57,0,1,1,26
1989,1,6,0,212,0,8,0,0,12,0,0,1,0,0,17,148,604,0,269,0,482,35,1,0,71,96,32,0,1,1,0,1,0,11,0,0,38,0,0,0,0,3,0,0,0,0,0,3,2,90,0,2,1,26
1990,0,6,0,228,0,9,0,1,12,0,0,1,0,1,18,152,595,0,251,0,484,34,1,0,67,114,36,0,0,0,0,2,0,12,0,0,50,0,0,0,0,3,0,0,0,6,0,3,4,82,0,4,1,26
1991,0,5,0,213,0,8,0,0,12,0,0,1,0,1,33,156,510,0,262,0,461,32,1,0,74,118,36,0,4,2,0,2,0,12,0,0,76,0,0,0,0,3,0,0,0,8,0,3,5,104,0,9,1,26
1992,0,4,0,196,0,9,0,1,13,0,0,1,0,1,16,154,447,0,344,0,500,31,1,0,81,69,34,0,9,1,0,1,0,13,0,0,102,0,0,0,0,1,0,1,0,6,0,3,2,88,0,4,1,25
1993,0,4,0,193,0,8,0,0,13,0,0,1,0,0,23,187,447,0,329,0,498,34,0,0,78,79,29,0,3,0,1,3,0,13,0,0,81,0,0,0,0,1,0,0,0,12,0,3,5,74,0,2,1,25
1994,0,4,0,187,0,9,0,0,15,0,0,1,0,1,15,183,450,0,278,0,465,23,0,0,76,123,36,0,5,0,2,2,0,13,0,0,89,0,0,0,0,1,0,0,0,8,0,3,3,113,0,1,1,25
1995,0,5,0,199,0,9,0,0,15,0,0,1,0,1,16,182,466,0,322,0,484,39,0,0,55,80,39,0,1,0,2,2,0,13,0,0,72,0,0,0,0,2,0,1,0,7,0,3,3,88,0,5,1,24
1996,0,5,0,195,0,10,0,0,18,0,0,1,0,0,11,187,481,0,432,0,367,24,1,3,61,63,40,0,0,0,1,2,0,6,0,0,76,0,0,0,0,3,0,1,1,10,2,3,4,129,1,4,2,25
1997,0,5,0,202,0,10,0,0,19,0,0,1,0,1,10,206,478,0,374,0,371,26,1,5,85,65,44,0,0,0,4,2,0,6,0,0,92,0,0,0,0,3,0,1,1,10,1,4,4,92,0,4,1,26
1998,0,4,0,210,0,12,0,0,18,0,0,1,0,1,11,209,394,0,450,0,358,47,1,4,80,67,43,0,2,0,4,2,0,7,0,0,106,0,0,0,0,3,0,1,3,10,0,4,4,124,1,6,2,23
1999,0,4,0,211,0,13,0,0,17,0,0,1,0,1,20,212,404,0,461,0,322,53,1,2,57,74,47,0,3,0,5,3,0,7,0,1,112,0,0,0,0,2,0,1,3,10,0,11,12,126,2,2,1,23
2000,0,4,0,201,0,11,0,0,15,0,0,1,0,1,14,206,443,0,460,0,322,48,1,2,57,81,46,0,4,0,5,4,0,5,0,0,99,0,0,0,0,2,0,1,4,10,0,10,4,123,1,2,2,25
2001,0,5,0,204,0,12,0,0,19,0,0,1,0,1,14,195,464,0,453,0,315,60,1,1,62,85,49,0,21,0,7,3,0,8,0,0,93,0,0,0,0,2,0,1,4,11,0,15,8,126,1,3,2,23
2002,0,4,0,208,0,10,0,0,16,0,0,1,0,1,10,197,443,0,463,0,331,57,1,0,64,83,45,0,18,0,8,2,0,4,0,0,92,0,0,0,0,2,0,1,6,12,0,16,11,127,1,2,2,26
2003,0,4,0,219,0,12,0,0,19,0,0,1,0,1,13,208,435,0,445,0,326,62,2,1,92,73,51,0,19,0,8,3,0,3,0,0,96,0,0,0,0,2,0,1,6,14,1,15,7,117,1,2,2,24
2004,0,4,0,218,0,17,0,0,18,0,0,1,0,1,11,220,455,0,474,0,325,53,3,1,102,54,48,12,19,1,8,2,0,5,0,0,99,0,0,0,0,2,0,1,3,9,1,15,3,114,0,2,2,22
2005,0,5,0,225,0,12,0,0,17,0,0,1,0,1,15,231,469,0,484,0,307,58,1,0,101,47,53,0,17,0,5,1,0,6,0,0,92,0,0,0,0,2,0,1,7,12,2,25,10,117,1,3,3,24
2006,0,5,0,231,0,18,0,0,17,0,0,1,0,1,15,244,480,0,489,0,320,74,1,5,101,52,47,1,19,0,4,1,0,6,0,1,72,0,0,0,0,2,0,1,10,16,2,34,16,120,1,3,4,15
2007,0,5,0,234,0,17,0,0,17,0,0,1,0,1,18,272,490,0,501,0,334,67,2,0,73,54,49,0,32,1,2,3,0,6,0,0,67,0,0,0,0,2,0,1,5,16,2,50,17,121,1,3,7,21
2008,0,5,0,263,0,15,0,0,15,0,0,1,0,1,24,272,502,0,535,0,346,61,2,0,37,81,51,0,59,1,4,1,0,4,0,1,67,0,0,0,0,2,0,1,3,3,3,55,14,118,1,3,3,14
2009,0,5,0,269,0,17,0,0,15,0,0,1,0,1,17,282,520,0,555,0,357,81,2,0,29,64,59,0,59,0,5,1,0,4,0,1,71,0,0,0,0,2,0,1,4,3,0,40,14,109,1,3,3,28
