year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,10,0,0,1050,0,0,0,0,3,0,0,0,0,4,0,0,14,0,6,0,0,858,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,3,0,17,0,0,0,29,0,0,0,4
1962,10,0,0,957,0,0,0,0,3,0,0,0,0,4,0,0,18,0,19,0,0,832,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,4,0,27,0,0,0,47,0,0,0,4
1963,13,0,0,975,0,0,0,0,3,0,0,0,0,5,0,0,44,0,19,0,0,823,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,4,0,21,0,0,0,102,0,0,0,5
1964,12,0,0,962,0,0,0,0,3,0,0,0,0,5,0,0,44,0,40,0,0,881,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,4,0,22,0,0,0,187,0,0,0,5
1965,14,0,0,978,0,0,0,0,3,0,0,0,0,4,0,0,49,0,27,0,0,940,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,6,0,25,0,0,0,191,0,0,0,6
1966,14,0,0,995,0,0,0,0,3,0,0,0,0,5,0,0,42,0,37,0,0,933,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,0,0,0,0,0,0,5,0,21,0,0,0,186,0,0,0,4
1967,14,0,0,1041,0,0,0,0,3,0,0,0,0,5,0,0,20,0,33,0,0,898,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,4,0,22,0,0,0,180,0,0,0,5
1968,14,0,0,1010,0,0,0,0,3,0,0,0,0,4,0,0,9,0,35,0,0,858,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,3,0,20,0,0,0,171,0,0,0,5
1969,14,0,0,1018,0,0,0,0,3,0,0,0,0,4,0,0,27,0,38,0,0,859,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,3,0,20,0,0,0,162,0,0,0,4
1970,13,0,0,979,0,0,0,0,3,0,0,0,0,5,0,0,35,0,59,0,0,948,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,3,0,23,0,0,0,120,0,0,0,6
1971,14,0,0,923,0,0,0,0,4,0,0,0,0,6,0,0,27,0,45,0,0,971,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,129,0,0,0,5
1972,14,0,0,936,0,0,0,0,5,0,0,0,0,5,0,0,29,0,51,0,0,925,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,3,0,12,0,0,0,147,0,0,0,5
1973,14,0,0,917,0,0,0,0,5,0,0,0,0,8,0,0,42,0,51,0,0,912,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,5,0,27,0,0,0,163,0,0,0,9
1974,17,0,0,956,0,0,0,0,5,0,0,0,0,9,0,0,68,0,24,0,0,895,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,4,0,23,0,0,0,138,0,0,0,7
1975,21,0,0,997,0,0,0,0,4,0,0,0,0,10,0,0,28,0,26,0,0,894,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,4,0,26,0,0,0,139,0,0,0,8
1976,22,0,0,982,0,0,0,0,4,0,0,0,0,10,0,0,38,0,50,0,0,977,0,0,0,0,0,0,0,0,0,0,21,0,0,0,10,0,0,0,0,0,0,3,0,19,0,0,0,139,0,0,0,8
1977,25,0,0,897,0,0,0,0,4,0,0,0,0,11,0,0,27,0,58,0,0,961,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,4,0,27,0,0,0,190,0,0,0,5
1978,25,0,0,980,0,0,0,0,4,0,0,0,0,11,0,0,28,0,55,0,0,956,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,4,0,29,0,0,0,191,0,0,0,7
1979,27,0,0,975,0,0,0,0,5,0,0,0,0,11,0,0,28,0,54,0,0,979,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,4,0,37,0,0,0,193,0,0,0,6
1980,26,0,0,927,0,0,0,0,5,0,0,0,0,11,0,0,30,0,61,0,0,1000,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,225,0,0,0,7
1981,27,0,0,915,0,0,0,0,7,0,0,0,0,11,0,0,26,0,68,0,0,1007,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,3,0,33,0,0,0,204,0,0,0,8
1982,30,0,0,885,0,0,0,0,7,0,0,0,0,11,0,0,25,0,68,0,0,1017,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,3,0,38,0,0,0,220,0,0,0,10
1983,26,0,0,882,0,0,0,0,3,0,0,0,0,14,0,0,28,0,76,0,0,1072,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,3,0,41,0,0,0,197,0,0,0,10
