"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,4,0,431,0,160,377,141,0,0,0,31,87,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,123,0,0,0,0,0,0,453,0,0,0,0,0,275,0,0,0,"15,"
1962,0,2,0,412,0,170,390,158,0,0,0,19,95,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,120,0,0,0,0,0,0,473,0,0,0,0,0,285,0,0,0,"15,"
1963,0,2,0,416,0,166,381,153,0,0,0,18,105,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,117,0,0,0,0,0,0,467,0,0,0,0,0,294,0,0,0,"14,"
1964,0,3,0,410,0,135,372,162,0,0,0,28,113,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,117,0,0,0,0,0,0,480,0,0,0,0,0,303,0,0,0,"15,"
1965,0,3,0,392,0,118,373,191,0,0,0,29,121,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,113,0,0,0,0,0,0,473,0,0,0,0,0,310,0,0,0,"15,"
1966,0,3,0,406,0,77,374,207,0,0,0,30,128,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,113,0,0,0,0,0,0,464,0,0,0,0,0,318,0,0,0,"15,"
1967,0,3,0,412,0,50,364,223,0,0,0,31,134,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,113,0,0,0,0,0,0,458,0,0,0,0,0,324,0,0,0,"15,"
1968,0,4,0,401,0,24,375,238,0,0,0,31,140,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,113,0,0,0,0,0,0,446,0,0,0,0,0,330,0,0,0,"15,"
1969,0,4,0,397,0,24,365,243,0,0,0,32,147,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,113,0,0,0,0,0,0,442,0,0,0,0,0,336,0,0,0,"15,"
1970,0,4,0,381,0,58,354,234,0,0,0,33,152,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,113,0,0,0,0,0,0,432,0,0,0,0,0,313,0,0,0,"16,"
1971,0,4,0,383,0,56,353,247,0,0,0,34,156,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,113,0,0,0,0,0,0,422,0,0,0,0,0,316,0,0,0,"16,"
1972,0,4,0,375,0,54,351,238,0,0,0,34,160,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,113,0,0,0,0,0,0,411,0,0,0,0,0,319,0,0,0,"15,"
1973,0,4,0,365,0,52,357,240,0,0,0,34,155,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,114,0,0,0,0,0,0,408,0,0,0,0,0,322,0,0,0,"16,"
