"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,9,0,19,954,41,0,29,0,6,28,19,0,713,27,10,0,1,17,0,0,12,1,0,108,0,35,0,0,239,1,0,42,15,7,8,14,0,0,0,0,1,0,179,0,0,0,0,7,1,458,0,4,2,"46,"
1962,10,0,22,996,41,0,19,0,7,26,13,0,662,26,10,0,0,17,1,0,14,1,0,36,0,17,0,0,234,20,0,121,10,7,8,18,0,0,0,0,2,0,184,0,0,0,0,6,1,475,0,5,2,"46,"
1963,12,0,20,998,46,0,22,0,5,25,20,0,631,32,10,0,0,18,1,0,13,2,0,86,0,30,0,0,214,1,0,106,18,7,8,18,0,0,0,0,2,0,183,0,0,0,0,8,1,487,0,5,2,"50,"
1964,12,0,21,998,52,0,17,0,4,25,22,0,579,45,10,0,0,20,1,0,14,2,0,119,0,19,0,0,243,8,0,65,10,7,8,20,0,0,0,0,2,0,173,0,0,0,0,8,1,465,0,5,3,"51,"
1965,16,0,22,1005,54,0,21,0,4,30,16,0,562,35,11,0,0,15,1,0,15,2,1,108,0,9,0,0,144,29,0,139,16,8,8,20,0,0,0,0,2,0,169,0,0,0,0,8,1,491,0,6,3,"36,"
1966,12,0,22,1030,57,0,16,0,4,31,18,0,583,32,14,0,0,16,1,0,16,2,0,141,0,23,0,0,146,3,0,141,18,8,7,11,0,0,0,0,2,0,166,0,0,0,0,8,1,492,0,5,3,"46,"
1967,15,0,23,1073,64,0,22,0,4,31,12,0,567,50,14,0,0,17,1,0,14,2,0,101,0,29,0,0,124,2,0,184,30,8,7,11,0,0,1,0,1,0,170,0,0,0,0,8,1,475,2,7,4,"50,"
1968,19,0,21,1071,65,0,15,0,3,31,3,0,570,36,13,0,0,29,1,0,14,2,0,76,0,49,0,0,152,2,0,180,0,8,7,11,0,0,0,0,1,0,168,0,0,0,0,9,1,475,0,6,4,"43,"
1969,21,0,25,1081,74,0,21,0,3,32,3,0,550,49,12,0,0,19,1,0,14,2,0,85,0,38,0,1,135,20,0,156,18,8,7,9,0,0,1,1,2,0,175,0,0,0,0,10,1,476,0,4,4,"47,"
1970,20,0,25,1099,82,0,19,0,3,32,3,0,530,43,11,0,0,26,1,0,16,2,0,53,0,30,0,1,66,2,0,293,0,9,7,8,0,0,1,1,1,0,160,0,0,0,0,8,1,482,0,8,4,"48,"
1971,19,0,27,1091,90,0,23,0,2,32,4,0,517,50,13,0,0,19,1,0,12,2,0,11,0,27,0,1,207,2,0,193,0,10,7,8,0,0,1,1,1,0,161,0,10,0,0,9,1,485,1,8,4,"42,"
1972,19,0,31,1108,92,0,24,0,2,33,4,0,542,36,15,0,0,18,1,0,13,2,0,87,0,37,0,1,214,10,0,74,26,11,7,12,0,0,1,1,1,0,156,0,4,0,0,10,1,487,1,5,4,"41,"
1973,19,0,31,1110,103,0,21,0,2,34,25,0,560,42,16,0,0,12,1,0,15,2,0,94,0,29,0,1,119,2,0,209,0,12,7,8,5,0,1,1,3,0,159,0,0,0,0,10,1,480,1,6,6,"46,"
1974,21,0,34,1143,104,0,28,0,2,35,37,0,558,36,14,0,0,20,1,0,15,2,0,49,0,28,0,1,170,2,0,184,0,10,7,10,0,0,1,1,4,0,155,0,0,0,0,9,1,476,1,6,5,"44,"
1975,32,0,38,1080,110,0,26,0,2,39,17,0,546,41,13,0,0,12,1,0,17,2,0,73,0,37,0,1,70,6,0,172,14,13,7,11,0,0,1,1,3,0,143,0,1,0,0,11,1,454,1,3,4,"41,"
1976,26,0,39,1058,117,0,27,0,2,38,40,0,559,39,14,0,0,25,2,0,18,2,0,63,0,42,0,1,120,17,0,163,31,15,9,10,0,0,1,1,2,0,145,0,0,0,0,12,1,451,1,3,6,"37,"
1977,26,0,37,1115,118,0,23,0,2,26,32,0,541,34,14,0,0,15,2,0,20,2,0,20,0,38,0,1,199,17,0,126,30,18,7,11,6,0,1,1,2,0,155,0,0,0,0,8,1,434,25,11,6,"42,"
1978,27,0,41,1145,118,0,26,0,2,25,12,0,544,51,15,0,0,17,2,0,19,2,0,10,0,40,0,1,151,14,0,174,29,16,7,11,7,0,1,1,2,0,149,0,0,0,0,10,1,418,3,7,5,"43,"
1979,31,0,39,1159,120,0,19,0,2,26,8,0,567,49,14,0,0,19,2,1,21,3,0,22,0,47,0,1,115,18,1,173,32,14,7,9,4,0,1,1,3,0,158,0,1,0,0,11,1,418,1,6,7,"45,"
1980,35,0,42,1184,123,0,23,0,2,28,6,0,522,52,13,0,0,17,2,1,22,3,0,38,0,49,0,1,87,4,1,231,0,14,7,10,2,0,1,1,2,0,153,0,4,0,0,10,1,439,1,3,6,"33,"
1981,30,0,42,1168,126,0,22,0,1,26,6,0,531,34,13,0,0,14,1,0,21,3,0,8,0,46,0,1,172,54,1,127,0,14,6,11,3,0,1,1,2,0,158,0,1,0,0,11,1,393,1,4,5,"42,"
1982,36,0,46,1211,114,0,18,0,3,17,7,0,512,51,12,0,0,16,1,0,21,2,0,26,0,40,0,1,130,1,1,213,0,13,6,15,4,0,1,1,2,0,158,0,1,0,1,12,1,417,1,5,6,"46,"
1983,31,0,45,1181,121,1,18,0,2,22,7,0,532,45,11,0,0,19,1,1,21,2,0,11,0,43,0,1,144,4,1,210,0,14,6,16,5,0,1,1,2,0,154,0,0,0,0,12,1,420,1,3,7,"37,"
1984,35,0,50,1233,115,3,25,0,3,22,6,0,553,46,11,0,0,21,1,1,21,2,0,9,0,45,0,1,95,12,1,234,16,14,6,12,4,0,1,1,3,0,167,0,2,0,0,12,1,354,1,4,6,"38,"
1985,45,0,50,1205,119,0,24,0,3,20,7,0,548,35,12,0,0,16,1,0,18,2,0,12,0,66,0,1,103,79,2,137,17,13,6,16,3,0,1,1,2,0,162,0,8,0,0,13,1,398,1,2,7,"43,"
1986,41,0,50,1108,118,3,20,0,3,27,4,0,532,44,13,0,1,17,1,1,22,3,0,31,0,62,0,2,126,51,2,129,20,14,6,16,4,0,1,1,4,0,165,0,11,0,0,13,1,403,1,8,7,"42,"
1987,37,0,49,1087,116,3,28,0,6,24,6,0,524,41,14,0,0,23,1,1,22,3,0,35,0,77,0,2,73,87,3,161,28,13,6,16,8,0,1,1,4,0,167,0,5,0,0,14,1,408,1,4,8,"39,"
1988,33,0,51,1093,116,1,28,0,7,22,31,0,487,46,15,0,0,17,2,1,25,4,0,36,0,46,0,2,124,38,2,162,39,18,6,16,20,0,1,2,4,0,162,0,2,0,0,12,1,480,3,4,8,"43,"
1989,30,0,51,1048,127,1,24,0,11,23,18,0,474,46,14,0,1,19,2,1,22,4,0,40,0,31,0,2,55,7,2,256,45,18,6,16,3,0,1,2,5,0,163,0,2,0,0,11,1,506,4,3,9,"44,"
1990,30,0,52,1073,135,1,27,0,14,27,19,0,433,43,12,0,0,18,6,1,30,6,0,71,0,69,0,2,119,10,1,162,47,25,4,9,4,0,1,2,3,0,182,0,3,0,1,13,1,543,4,3,10,"48,"
1991,26,0,53,1107,130,0,15,0,14,27,17,0,471,33,11,0,0,22,2,1,33,7,0,67,0,64,0,2,84,75,0,161,0,27,4,10,5,0,2,2,3,0,178,0,12,0,0,13,1,579,5,2,10,"44,"
1992,25,0,55,1053,130,0,31,0,9,28,30,0,450,58,18,0,0,22,3,1,42,11,0,56,0,66,0,3,66,69,1,168,24,29,4,10,4,0,1,1,2,0,184,0,8,0,0,15,1,544,5,2,12,"50,"
1993,27,0,47,1132,124,0,34,0,14,28,30,0,411,44,13,0,1,25,3,0,24,8,0,17,0,63,0,4,151,7,0,154,55,29,4,9,6,0,1,2,3,0,174,0,0,0,0,13,1,525,4,2,9,"53,"
1994,23,0,49,1051,123,0,28,0,15,29,24,0,495,42,18,0,0,20,3,1,26,10,0,15,0,69,0,8,16,9,0,246,72,31,4,7,7,0,2,1,3,0,169,0,8,0,0,13,1,482,4,10,8,"44,"
1995,26,0,47,1181,125,1,25,0,9,30,15,0,538,40,13,0,0,29,4,0,26,5,0,48,0,71,0,5,35,13,1,208,45,31,3,9,4,0,1,2,4,0,166,0,2,0,0,11,1,464,4,4,9,"43,"
1996,28,0,45,1142,115,1,25,0,12,65,7,0,543,51,6,0,0,16,3,0,22,8,0,63,0,66,0,5,141,4,0,116,78,32,4,10,3,0,3,1,5,0,160,0,0,0,0,13,1,447,3,16,8,"47,"
1997,27,0,42,1120,145,1,25,0,4,29,13,0,528,38,3,0,0,18,1,1,21,5,0,31,0,66,0,7,59,8,1,230,72,31,5,8,6,0,2,2,8,0,149,0,0,0,0,12,1,449,5,2,7,"49,"
1998,31,0,40,1178,147,0,28,0,5,34,9,0,507,39,6,0,1,22,2,1,24,4,0,7,0,75,0,7,130,10,1,158,109,27,5,7,4,1,2,2,8,0,146,0,0,0,0,8,1,445,4,3,6,"44,"
1999,26,0,52,1158,133,5,28,0,9,33,11,0,435,47,15,0,0,18,4,0,21,5,0,7,0,69,0,12,119,3,1,231,35,25,3,10,4,0,3,2,6,0,163,0,0,0,0,10,1,443,4,20,7,"50,"
2000,26,0,43,1118,131,3,25,0,13,35,10,0,431,41,13,1,0,24,3,0,20,8,0,46,0,74,0,10,24,6,1,249,61,27,2,12,4,0,2,2,8,0,188,0,0,0,0,11,1,439,4,19,10,"49,"
2001,26,0,50,1116,123,3,18,0,13,36,10,0,463,43,11,0,1,19,2,0,30,3,0,63,0,104,0,12,53,33,1,179,30,31,4,9,4,1,1,2,4,0,165,0,0,0,0,11,1,440,4,12,10,"60,"
2002,26,0,51,1083,119,3,20,0,11,36,15,0,462,46,14,0,1,23,7,0,26,20,0,60,0,99,0,17,121,4,1,152,23,27,4,9,5,0,3,2,7,0,177,0,0,0,1,11,1,441,4,3,9,"65,"
2003,23,0,57,1004,112,1,20,0,9,31,10,0,559,40,18,0,1,21,6,1,24,14,0,7,0,71,0,18,138,2,1,179,14,40,4,8,3,0,3,2,6,0,164,0,0,0,0,13,1,441,12,3,8,"60,"
2004,21,0,54,1061,111,0,18,0,9,32,6,0,557,39,17,0,0,22,5,0,23,18,0,69,0,92,0,17,60,20,0,162,23,34,4,7,4,0,2,3,7,0,158,0,0,0,0,12,1,438,13,18,5,"74,"
2005,20,0,57,1104,111,2,17,0,11,29,5,0,532,35,14,3,1,23,4,0,23,14,0,61,0,101,0,21,115,26,0,119,16,47,3,7,5,0,1,2,8,0,156,0,0,0,0,8,1,438,8,6,6,"72,"
2006,24,0,58,1073,112,5,17,0,11,28,5,0,530,43,17,4,1,31,3,1,21,20,0,18,0,104,0,33,118,20,0,161,7,42,3,7,2,0,2,1,8,0,140,0,1,0,1,10,1,436,7,8,8,"72,"
2007,28,0,70,1053,117,5,29,0,11,28,5,0,566,40,9,0,1,30,4,1,27,15,0,66,0,67,0,26,79,5,2,169,10,50,3,7,2,0,2,2,9,0,167,0,1,0,2,11,1,434,13,9,7,"82,"
2008,33,0,67,1077,102,5,28,0,11,28,5,0,553,38,10,0,1,18,4,1,31,13,0,5,0,115,0,19,147,26,3,145,7,48,3,7,1,0,2,2,6,0,170,0,1,0,2,7,1,432,12,6,7,"77,"
2009,24,0,68,1067,93,6,29,0,11,28,4,0,565,37,9,3,1,35,4,1,21,10,0,63,0,111,0,21,134,5,0,110,15,47,3,7,1,0,3,4,4,0,170,0,2,0,5,5,1,431,15,3,7,"75,"
