"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,23,0,28,1227,101,20,1,0,38,13,0,0,678,20,20,0,3,19,1,0,5,0,0,9,0,18,0,1,0,0,0,7,0,3,2,31,1,0,1,0,0,0,102,0,2,0,14,1,3,448,21,0,6,50
1962,17,0,26,1280,104,19,3,0,23,11,0,0,665,21,19,0,2,20,1,0,5,0,0,8,1,21,0,1,0,0,0,11,0,2,2,22,0,0,1,0,0,0,103,0,2,0,13,2,3,460,22,0,8,52
1963,19,0,25,1250,102,17,3,0,32,15,0,0,664,23,19,0,1,19,1,0,5,4,0,7,1,21,2,1,0,1,0,8,0,3,2,29,1,0,0,0,1,0,102,0,2,0,13,1,3,450,22,0,8,59
1964,19,0,29,1262,109,17,5,0,33,17,0,0,673,32,18,0,1,22,1,0,5,4,0,10,1,23,0,1,0,0,0,10,0,3,3,33,0,0,1,0,1,0,105,0,3,0,13,2,3,392,24,0,7,58
1965,20,0,28,1247,110,17,6,0,31,19,0,0,671,25,14,0,1,18,1,0,6,4,0,9,2,22,0,1,0,1,0,8,0,3,4,23,0,0,0,0,1,0,108,0,3,0,12,1,3,445,22,0,8,57
1966,20,0,36,1336,113,33,6,0,34,16,0,0,666,23,16,0,1,27,1,0,6,4,0,9,1,26,0,1,0,1,0,10,0,3,2,15,0,0,1,0,1,0,110,0,3,0,12,2,3,455,23,0,6,46
1967,19,0,31,1333,115,33,6,0,23,13,0,0,626,24,16,0,0,26,1,0,6,3,0,10,0,22,1,1,0,2,0,9,0,2,4,18,2,0,0,0,1,0,94,0,4,0,13,2,3,453,19,0,6,49
1968,16,0,31,1330,117,35,7,0,23,17,0,0,607,27,16,0,0,20,1,0,5,3,0,10,1,25,0,2,0,1,0,7,1,1,2,13,1,0,1,0,1,0,118,0,4,0,12,2,3,420,16,0,8,52
1969,20,0,33,1270,118,32,8,0,19,11,0,0,599,25,12,0,1,22,1,0,6,3,0,10,3,30,0,1,0,2,0,14,1,4,2,19,0,0,1,0,1,0,122,0,5,0,14,2,3,444,20,0,8,62
1970,17,0,33,1296,123,11,5,0,22,15,0,0,590,29,13,0,1,24,1,0,5,4,0,8,1,24,0,1,0,3,0,15,1,3,5,18,1,0,0,0,1,0,113,0,5,0,12,3,3,452,20,0,7,58
