year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,1,173,0,0,0,5,8,0,0,0,0,1,1,5,834,0,20,0,216,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,1,1,0,105,0,0,19,0,23,0,8,1,5
1962,0,0,1,171,0,0,0,8,8,0,0,0,0,0,1,17,801,0,20,0,208,10,0,0,0,77,0,0,0,0,0,0,0,0,0,0,95,0,0,0,1,1,1,0,105,0,0,21,0,30,0,5,1,5
1963,0,0,1,184,0,0,0,10,8,0,0,0,0,1,1,5,781,0,24,0,239,7,0,0,0,71,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,2,1,0,104,0,0,16,0,28,0,6,1,4
1964,0,0,1,187,0,0,0,8,8,0,0,0,0,1,1,9,875,0,18,0,259,6,0,0,0,63,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,1,0,111,0,0,15,0,28,0,6,1,4
1965,0,0,0,186,0,0,0,9,7,0,0,0,0,0,1,6,816,0,24,0,378,6,0,0,0,62,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,2,1,0,108,0,0,12,0,29,0,10,1,4
1966,0,0,0,197,0,0,0,8,7,0,0,0,0,0,1,5,862,0,33,0,332,9,0,0,0,62,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,1,1,0,104,0,0,4,0,22,0,8,1,5
1967,0,0,1,207,0,0,0,7,7,0,0,0,0,1,1,5,881,0,35,0,342,9,0,0,0,69,1,0,0,0,0,0,0,0,0,0,133,0,0,0,0,1,1,0,115,0,0,7,0,22,0,10,1,5
1968,0,0,0,222,0,0,0,7,8,0,0,0,0,0,1,4,980,0,49,0,374,8,0,0,0,62,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,1,1,0,130,0,0,6,0,23,0,8,1,5
1969,0,0,0,215,0,0,0,7,7,0,0,0,0,1,1,3,1005,0,52,0,289,10,0,0,0,56,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,1,2,0,126,0,0,5,0,25,0,6,0,4
1970,0,0,0,217,0,0,0,7,7,0,0,0,0,1,1,3,985,0,51,0,307,14,0,0,0,28,0,0,5,0,0,0,0,0,0,0,102,0,0,0,0,0,2,0,113,0,0,5,0,27,0,6,0,4
