year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,5,64,0,56,3,0,0,0,3,0,0,0,0,576,0,3,12,0,1073,0,0,86,0,0,5,1,1,0,0,0,2,62,0,1,5,0,2,0,0,0,0,0,0,0,0,20,0,84,0,18,0,1,0,58
1962,5,76,0,54,5,0,0,0,3,0,0,0,0,503,0,4,11,0,1126,0,0,123,0,1,2,1,1,0,0,2,2,57,0,1,6,0,1,0,0,0,0,0,0,0,0,17,0,100,0,18,0,1,0,58
1963,4,64,0,66,4,0,0,0,3,0,0,0,0,368,2,3,12,0,1202,0,0,203,0,2,1,1,2,0,0,1,1,55,0,1,6,0,1,0,0,0,0,0,0,0,0,16,0,117,0,17,0,1,0,55
1964,4,55,0,66,5,0,0,0,4,0,0,0,0,401,1,15,12,0,1195,0,0,103,0,0,1,1,1,0,0,2,2,59,0,1,6,0,2,0,0,0,0,0,0,0,0,26,0,213,0,16,0,1,0,60
1965,6,62,1,74,6,0,0,0,5,0,0,0,0,505,1,21,9,0,1149,0,0,136,0,0,1,1,1,0,0,2,2,60,0,1,4,0,2,0,0,0,0,0,0,0,0,23,0,215,0,18,0,1,0,61
1966,7,80,1,74,6,0,0,0,5,0,0,0,0,560,5,10,9,0,1186,0,0,123,0,2,1,1,1,0,0,3,2,53,0,1,5,0,2,0,0,0,0,0,0,0,0,27,0,184,0,23,0,2,0,64
1967,10,91,1,76,6,0,0,0,5,0,0,0,0,542,1,7,6,0,1275,0,0,191,0,1,1,1,1,0,0,5,2,77,0,1,7,0,1,0,0,0,0,0,0,0,0,14,0,78,0,36,0,2,1,66
1968,9,88,1,88,7,0,0,0,6,0,0,0,0,572,1,11,11,0,1205,0,0,240,0,1,1,3,2,0,0,6,3,84,0,1,9,0,1,0,0,0,0,0,0,0,0,18,0,121,0,45,4,2,1,70
1969,10,98,1,107,7,0,0,0,6,0,0,0,0,545,0,17,8,0,1200,0,0,321,0,1,2,3,2,0,0,8,3,81,0,1,8,0,2,0,0,0,0,0,0,0,0,29,0,116,0,59,7,3,1,73
1970,10,120,1,103,7,0,0,0,6,0,0,0,0,454,0,13,5,0,1373,0,0,298,0,1,1,3,2,0,0,7,5,84,0,1,8,0,2,0,0,0,0,1,0,0,0,29,0,129,0,66,7,2,1,75
1971,12,158,1,115,7,0,0,0,5,0,0,0,0,470,0,14,5,0,1327,0,0,363,0,1,1,3,2,0,0,10,5,87,0,2,5,0,2,0,0,0,0,0,0,0,0,28,0,112,0,70,10,3,1,81
