"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,4,0,0,310,3,1,0,0,0,66,0,0,224,0,78,5,0,107,0,0,0,15,0,507,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,356,0,12,1,1,0,199,0,0,0,2
1962,1,0,0,307,4,1,0,0,0,66,0,0,219,0,55,4,0,109,0,0,0,14,0,524,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,382,0,15,2,1,0,233,0,0,0,2
1963,1,0,0,334,4,1,0,0,0,71,0,0,206,0,61,4,0,110,0,0,0,14,0,505,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,385,0,14,1,1,0,221,0,0,0,2
1964,2,0,0,347,4,2,0,0,0,74,0,0,245,0,68,4,0,110,0,0,0,14,0,470,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,380,0,14,1,1,0,214,0,0,0,3
1965,2,0,0,323,8,1,0,0,0,61,0,0,255,0,78,4,0,111,0,0,0,14,1,471,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,377,0,14,2,1,0,244,0,0,0,3
1966,3,0,0,318,6,2,0,0,0,101,0,0,173,0,103,3,0,114,0,0,0,15,1,469,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,375,0,14,3,1,0,235,0,0,0,3
1967,5,0,0,293,5,2,0,0,0,68,0,0,248,0,144,4,0,113,0,0,0,15,1,517,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,359,0,14,3,1,0,219,0,0,0,2
1968,1,0,0,305,5,2,0,0,0,74,0,0,244,0,142,4,0,116,0,0,0,15,1,514,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,391,0,14,3,1,0,239,0,0,0,2
1969,1,0,0,301,8,2,0,0,0,66,0,0,265,0,121,4,0,117,0,0,0,16,1,549,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,383,0,15,4,1,0,244,0,0,0,2
1970,2,0,1,320,7,2,0,0,0,48,0,0,244,0,136,4,0,118,0,0,0,16,2,629,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,376,0,15,4,1,0,261,0,0,0,2
1971,2,0,0,343,11,1,0,0,0,48,0,0,228,0,126,4,0,122,0,0,0,16,3,638,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,397,0,14,3,1,0,244,0,0,0,3
1972,3,0,0,334,10,1,0,0,0,61,0,0,222,0,144,4,0,125,0,0,0,17,6,634,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,400,0,14,2,0,0,254,0,0,0,3
1973,2,0,0,294,15,1,0,0,0,103,0,0,234,0,155,3,0,126,0,0,0,18,7,675,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,385,0,14,5,0,0,208,0,0,0,3
1974,4,0,0,300,16,1,0,0,0,77,0,0,275,0,150,3,0,129,0,0,0,18,5,669,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,364,0,15,2,0,0,228,0,0,0,3
1975,0,0,0,354,16,1,0,0,0,42,0,0,309,0,159,3,0,130,0,0,0,18,8,661,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,426,0,15,4,0,0,225,0,0,0,4
1976,10,0,0,358,23,8,0,0,0,58,0,0,309,0,155,3,0,137,0,0,0,18,1,624,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,439,0,15,9,0,0,219,3,0,0,3
1977,3,0,4,469,23,9,0,0,0,77,0,0,253,0,143,3,0,128,0,0,0,18,1,582,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,444,0,15,3,0,0,210,4,0,0,3
1978,4,0,0,468,24,2,0,0,0,73,0,0,278,0,142,3,0,127,0,0,0,19,1,573,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,429,0,15,2,0,0,219,1,0,0,5
1979,5,0,0,486,20,4,0,0,0,58,0,0,288,0,136,3,0,128,0,0,0,19,2,588,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,437,0,15,2,0,0,208,1,0,0,4
1980,3,0,0,479,10,2,0,0,0,119,0,0,240,0,119,3,0,128,0,0,0,19,2,561,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,465,0,15,2,0,0,213,2,0,0,4
1981,1,0,0,503,9,2,0,0,0,137,0,0,221,0,146,3,0,124,0,0,0,19,2,589,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,441,0,16,3,0,0,238,1,0,0,3
1982,1,0,0,506,16,10,0,0,0,119,0,0,275,0,135,3,0,115,0,0,0,17,1,575,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,3,462,0,16,2,0,0,217,0,0,0,3
1983,2,0,0,449,28,3,0,0,0,108,0,0,318,0,144,2,0,108,0,0,0,16,2,562,0,0,33,0,0,0,0,0,0,4,0,0,1,0,0,0,2,6,3,475,0,16,3,0,0,223,2,0,0,3
1984,2,0,0,490,23,0,0,0,0,109,0,0,317,0,155,2,0,105,0,0,0,16,2,564,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,460,0,16,4,0,0,193,0,0,0,3
1985,1,0,0,623,24,0,0,0,0,123,0,0,302,0,159,2,0,96,0,0,0,16,0,549,0,0,20,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,2,454,0,16,8,0,0,217,2,0,0,4
1986,1,0,0,629,22,0,0,0,0,140,0,0,284,0,159,2,0,92,0,0,0,17,2,551,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,452,0,16,4,0,0,214,0,0,0,4
1987,0,0,0,759,46,58,0,0,0,93,0,0,229,0,162,2,0,87,0,0,0,16,1,532,0,0,12,0,0,0,0,3,0,2,0,0,1,0,0,0,4,5,4,447,0,16,6,0,0,212,1,0,0,4
1988,1,0,0,697,38,58,0,0,0,161,0,0,224,0,163,2,0,79,0,0,0,16,0,567,0,0,15,0,0,0,0,3,0,2,0,0,1,0,0,0,5,5,5,445,0,17,6,0,0,200,1,0,0,4
1989,1,0,0,722,37,58,0,0,0,160,0,0,223,0,90,2,0,71,0,0,0,14,0,554,0,0,10,0,0,0,0,3,0,2,0,0,1,0,0,0,6,4,5,422,0,18,8,0,0,223,1,0,0,4
1990,3,0,0,751,27,122,0,0,0,155,0,0,235,0,97,2,0,70,0,0,0,12,4,547,0,0,15,0,3,0,0,0,0,2,0,0,0,0,0,0,4,5,11,309,0,19,8,0,0,190,0,0,0,6
1991,2,0,0,714,28,1,0,0,0,314,0,0,269,0,69,2,0,69,0,0,0,10,3,547,0,0,17,0,0,0,0,2,0,1,0,0,1,0,0,0,5,4,5,241,0,16,8,0,0,237,1,0,0,5
1992,5,0,0,753,22,0,0,0,0,364,0,0,276,1,62,3,0,50,0,0,0,9,3,526,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,6,119,0,15,12,0,0,187,0,0,0,5
1993,5,0,0,734,42,2,0,0,0,258,0,0,244,0,60,2,0,51,0,0,0,10,10,557,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,5,84,0,17,12,0,0,220,0,0,0,5
1994,5,0,0,733,33,18,0,0,0,383,0,0,292,0,59,2,0,57,0,0,0,11,13,474,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,8,59,0,21,12,0,0,204,0,0,0,5
1995,3,0,0,718,30,24,0,0,0,498,0,0,201,0,77,2,0,66,0,0,0,12,13,506,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,6,59,0,28,12,0,0,201,0,0,0,5
1996,10,0,1,752,34,26,0,0,0,295,0,0,256,1,89,2,0,74,0,0,0,14,13,542,0,0,23,0,0,0,0,1,0,1,0,0,0,0,1,0,6,5,7,100,0,20,11,0,0,212,0,0,0,6
1997,1,0,0,668,18,23,0,0,0,357,0,0,234,1,101,2,0,74,0,0,0,13,12,566,0,0,27,0,4,0,0,2,0,0,0,0,0,0,0,0,5,5,6,181,0,24,10,0,0,192,0,0,0,5
1998,0,0,0,707,23,0,0,0,0,314,0,0,232,1,121,1,0,69,0,0,0,14,13,595,0,0,35,0,6,0,0,1,0,0,0,0,0,0,0,0,5,5,7,194,0,26,12,0,0,206,0,0,0,5
1999,1,0,1,717,41,0,0,0,0,399,0,0,220,0,126,1,0,64,0,0,0,16,14,562,0,0,27,0,7,0,0,1,0,0,0,0,0,0,0,0,5,5,6,213,0,33,16,0,0,226,0,0,0,6
2000,1,0,0,797,26,0,0,0,0,261,0,0,340,0,124,1,0,67,0,0,1,12,13,543,0,0,32,0,11,0,0,1,0,0,0,0,0,0,0,0,5,5,9,209,0,37,12,0,0,222,0,0,0,7
