"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,6,0,2,186,10,0,62,0,0,866,0,0,214,0,8,0,0,5,0,0,0,2,0,107,6,10,9,0,0,0,0,0,0,0,0,0,20,0,1,0,5,30,6,0,0,0,0,1,1,308,0,0,1,"11,"
1962,6,0,2,181,10,0,81,0,0,874,0,0,232,0,9,0,0,5,0,0,0,2,3,115,11,10,14,0,0,0,0,0,0,0,0,0,26,0,1,0,7,30,5,0,0,0,1,1,1,255,1,0,1,"11,"
1963,4,0,3,192,13,0,59,0,0,876,0,0,227,0,10,0,0,5,0,0,0,2,3,167,6,13,9,0,0,0,0,0,0,0,0,0,19,0,1,0,13,30,7,0,0,0,1,1,1,224,2,0,1,"11,"
1964,5,0,2,184,21,0,58,0,0,836,0,0,199,0,10,0,0,5,0,0,0,2,3,140,3,10,11,0,0,0,0,0,0,0,0,0,23,0,1,0,16,30,6,0,0,0,0,1,1,262,2,0,1,"11,"
1965,4,0,6,205,17,0,19,0,0,698,0,0,233,0,10,0,0,4,0,0,0,2,4,138,10,9,16,0,0,0,0,0,0,0,0,0,28,0,1,0,15,29,8,0,0,0,2,1,1,313,2,0,1,"11,"
1966,4,0,6,226,20,0,6,0,0,613,0,0,289,0,12,0,0,4,0,0,0,2,4,235,8,4,25,0,0,0,0,0,0,0,0,0,31,0,1,0,11,29,9,0,0,0,3,1,1,325,3,0,1,"11,"
1967,5,0,7,237,23,0,10,0,0,598,0,0,236,0,14,0,0,4,0,0,0,2,0,144,11,0,15,0,0,0,0,3,0,0,0,0,14,1,0,0,14,28,10,0,0,0,2,1,1,350,3,0,1,"13,"
1968,6,0,7,228,23,0,31,0,0,661,0,0,284,0,17,0,0,4,0,0,0,1,4,142,11,1,36,0,0,0,0,2,0,0,0,0,12,0,1,0,12,28,10,0,0,0,3,1,1,324,3,0,1,"14,"
1969,6,0,6,237,35,0,9,0,0,643,0,0,266,0,19,0,0,4,0,0,0,1,0,159,11,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,5,27,9,0,0,0,0,1,1,322,6,0,1,"11,"
1970,12,0,6,275,39,0,69,0,0,622,0,0,329,0,21,0,0,4,0,0,1,1,0,114,5,2,18,0,0,0,0,7,0,0,0,0,14,0,1,0,9,28,9,0,0,0,7,1,1,350,7,0,1,"14,"
1971,12,0,7,294,40,0,43,0,0,791,0,0,330,0,24,0,0,4,0,0,0,1,0,144,5,1,26,0,0,0,0,14,0,0,0,0,37,0,1,0,13,28,16,0,0,0,7,1,2,406,6,10,1,"14,"
1972,12,0,7,306,51,0,54,0,0,854,0,0,246,0,26,0,0,5,0,0,0,1,1,134,4,2,22,1,0,0,0,11,0,0,0,0,25,0,5,0,11,27,16,0,0,0,6,1,1,397,9,9,1,"14,"
1973,11,0,7,349,74,0,28,0,0,802,0,0,268,1,30,0,0,5,0,0,0,1,1,135,3,2,26,3,0,0,0,44,0,0,0,0,27,0,2,0,15,27,15,0,0,0,8,1,2,378,12,10,1,"21,"
1974,11,0,7,344,61,0,20,0,0,792,0,0,289,1,29,0,0,5,0,0,0,1,1,127,0,1,25,1,0,0,0,11,0,0,0,0,17,0,1,0,11,15,16,1,0,0,6,1,1,314,5,11,1,"18,"
1975,11,0,6,344,39,1,20,0,0,775,0,0,286,1,29,0,0,5,0,0,1,1,2,135,0,2,26,1,0,0,0,23,0,0,0,0,18,0,2,0,15,13,15,0,0,0,7,1,1,318,5,11,7,"20,"
1976,11,0,6,346,42,1,13,0,0,805,0,0,287,1,28,0,0,4,0,0,0,1,1,137,0,8,29,0,0,0,0,0,0,0,0,0,25,0,2,0,14,11,11,0,0,0,7,1,2,295,3,8,1,"23,"
1977,11,0,6,343,48,2,8,0,0,765,0,0,368,2,29,0,0,15,0,0,1,1,1,137,0,22,27,0,0,0,0,13,0,0,0,0,19,0,1,0,16,8,16,0,0,0,8,1,1,341,3,10,2,"20,"
1978,10,0,6,364,48,4,24,0,0,817,0,0,360,1,30,0,0,18,0,0,0,1,2,147,0,7,29,2,0,0,0,11,2,1,0,0,18,0,3,0,21,7,11,0,0,0,7,1,2,319,5,10,1,"19,"
1979,9,0,6,379,121,9,10,0,0,817,0,0,226,1,30,0,0,40,0,0,1,1,7,140,0,4,27,2,0,0,0,29,6,0,0,0,17,0,1,0,20,7,17,1,0,0,6,1,2,332,5,9,1,"19,"
1980,10,0,6,364,57,13,11,0,0,900,0,0,228,1,31,0,0,15,0,0,0,1,9,140,0,6,28,0,0,0,0,0,0,0,0,0,26,0,6,0,13,7,21,0,0,0,6,1,1,322,6,12,2,"19,"
1981,9,0,7,380,98,25,7,0,0,834,0,0,262,1,31,0,0,16,0,0,0,1,12,142,0,7,26,0,0,0,0,0,0,0,0,0,22,0,3,0,17,7,32,1,0,0,7,1,1,332,6,13,2,"16,"
1982,10,0,6,367,45,5,8,0,0,809,0,0,282,2,31,0,0,15,0,0,1,1,12,113,0,5,45,0,0,0,0,0,0,6,0,0,42,0,2,2,17,7,38,0,0,0,6,1,2,323,4,12,2,"24,"
1983,9,0,6,359,76,2,12,0,0,671,0,0,292,2,32,0,0,14,0,0,1,1,6,119,0,6,46,0,0,0,0,7,0,7,0,0,33,0,3,1,14,7,27,0,0,0,6,1,3,316,6,10,1,"22,"
1984,9,0,5,379,47,4,9,0,0,739,0,0,283,2,33,0,0,9,0,0,2,2,7,90,0,3,55,0,0,0,0,0,44,3,0,0,30,0,3,2,16,8,20,0,0,0,6,0,3,328,2,12,1,"22,"
1985,9,0,5,397,47,5,9,0,0,727,0,0,262,2,33,0,0,10,0,0,1,2,8,100,0,1,57,0,0,6,0,22,10,4,0,0,35,0,3,2,16,7,21,0,0,0,7,1,3,322,3,12,2,"25,"
1986,9,1,5,384,44,8,7,0,0,829,0,0,253,1,33,0,0,8,0,0,1,2,6,110,0,0,51,0,0,0,0,20,15,8,0,0,33,0,5,2,18,8,16,0,0,0,5,0,3,319,4,13,2,"23,"
1987,8,0,7,350,55,9,28,0,0,786,0,0,248,2,33,0,0,11,0,0,2,3,6,101,0,2,50,0,0,0,0,34,15,10,0,0,20,0,3,2,17,7,19,0,0,0,7,0,2,322,23,11,2,"25,"
1988,8,0,7,379,61,8,44,0,0,716,0,0,327,2,34,1,0,12,0,0,2,3,6,108,0,1,49,0,0,20,0,68,10,8,0,0,27,0,5,2,17,7,19,0,0,0,6,0,3,336,2,12,3,"28,"
1989,9,0,7,372,54,8,56,0,0,719,0,0,322,3,34,0,0,13,0,0,3,3,7,101,0,1,50,6,11,0,0,39,23,15,0,0,35,0,1,2,13,6,20,0,0,0,6,0,3,338,2,12,2,"25,"
1990,7,0,9,388,66,8,229,0,0,424,0,0,332,3,34,0,0,18,0,0,5,4,9,91,0,0,50,0,0,4,0,22,28,6,0,0,30,0,2,5,19,7,29,0,0,0,21,0,4,289,2,13,3,"28,"
1991,8,0,8,384,57,7,252,0,0,357,0,0,345,2,34,0,0,21,0,0,4,3,8,91,0,0,48,4,0,10,0,28,42,5,0,0,57,0,3,5,17,6,28,0,0,0,20,0,5,282,4,13,3,"27,"
1992,8,0,6,476,65,8,236,0,0,397,0,0,368,6,34,1,0,22,0,0,3,3,8,101,0,1,49,2,0,2,0,25,32,10,2,2,27,0,4,2,18,5,35,0,0,0,25,0,4,253,8,9,5,"30,"
1993,9,0,8,444,64,7,249,0,0,363,0,0,371,5,34,0,0,16,0,0,4,3,7,106,0,1,54,2,0,1,0,21,67,10,4,1,28,0,5,6,21,6,37,0,0,0,29,0,5,249,18,15,7,"34,"
1994,9,0,6,439,57,24,255,0,4,363,4,0,392,7,32,2,0,37,0,0,5,4,7,110,0,10,57,4,0,1,0,26,80,22,1,3,24,0,2,2,20,5,44,0,0,0,26,1,4,231,5,14,8,"32,"
1995,9,0,11,457,52,16,239,0,1,367,0,0,410,6,34,0,0,20,0,0,2,3,9,113,0,8,69,17,0,1,0,32,79,7,1,1,31,0,1,1,20,5,36,0,0,0,27,0,4,250,4,10,7,"30,"
1996,8,0,15,467,55,21,237,0,11,345,0,0,399,11,35,1,0,19,0,0,6,4,9,134,0,7,41,16,0,2,0,24,79,7,0,1,33,0,1,1,23,5,49,0,0,0,24,0,4,276,4,13,7,"32,"
1997,6,0,8,433,56,28,256,0,3,345,0,0,409,8,35,5,0,26,0,0,3,3,19,127,0,16,40,21,0,2,0,34,94,10,1,2,31,0,2,2,22,5,27,0,0,0,36,1,5,289,5,20,7,"36,"
1998,7,0,5,444,57,24,235,0,9,350,0,0,419,8,35,3,0,23,0,0,3,3,12,122,0,17,46,18,0,1,1,27,97,3,0,3,46,0,2,1,21,6,47,1,0,0,22,0,4,250,13,18,8,"37,"
1999,6,0,7,413,57,26,252,0,7,380,0,0,383,9,35,2,0,17,0,0,2,2,14,123,0,10,46,31,0,1,0,30,108,4,0,3,35,0,2,1,17,6,41,0,0,0,15,0,4,252,5,23,8,"36,"
2000,8,0,7,437,56,24,213,0,10,342,0,0,416,12,35,3,0,23,0,0,5,6,8,130,0,9,53,33,0,1,0,32,107,10,0,2,22,0,1,0,32,7,46,3,0,0,16,1,4,248,3,18,10,"38,"
2001,1,0,1,473,63,31,235,0,9,358,0,0,363,8,36,3,0,14,0,0,3,3,3,114,0,4,41,33,0,0,0,25,99,3,0,0,22,0,0,0,27,25,52,4,0,0,9,0,4,274,2,17,4,"29,"
2002,7,0,8,429,46,29,226,0,2,349,0,0,372,8,35,3,0,35,0,0,3,1,5,104,0,0,18,26,0,0,4,30,105,2,0,0,25,0,1,0,12,7,49,6,0,0,3,7,4,255,11,15,8,"28,"
2003,6,0,4,504,54,29,240,0,7,351,0,0,409,12,30,4,0,20,0,0,7,3,7,104,0,4,13,26,0,1,0,23,86,3,0,2,35,0,2,0,23,13,50,7,0,0,25,1,4,215,2,13,11,"53,"
2004,17,0,9,410,41,25,250,0,5,348,0,0,422,8,38,0,0,18,0,0,4,3,15,102,1,11,18,25,0,9,0,13,104,8,7,0,48,0,1,0,27,13,70,0,0,0,9,1,4,229,3,18,6,"54,"
