year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,17,1,118,355,8,10,0,3,28,0,1,15,0,18,0,17,0,1,58,18,0,968,0,0,19,12,4,199,0,0,0,90,4,32,37,8,45,0,2,1,0,3,0,0,0,230,0,8,0,198,1,23,14,68
1962,18,1,119,362,8,8,0,3,24,0,1,12,0,20,0,17,0,1,62,23,0,1037,0,0,17,39,4,204,0,0,0,92,6,32,31,7,48,0,3,1,0,3,0,0,0,188,0,7,0,225,1,22,15,65
1963,15,2,121,414,7,10,0,3,26,0,1,22,0,15,0,17,0,1,64,21,0,889,0,1,15,88,4,190,0,0,0,91,12,33,38,7,33,0,3,1,0,3,0,0,0,234,0,7,0,202,1,23,14,67
1964,17,2,128,414,7,11,0,3,26,0,1,20,0,29,0,17,0,2,68,21,0,856,0,2,16,27,4,241,0,0,0,92,26,28,31,5,38,0,3,1,0,3,0,0,0,190,0,6,0,221,1,20,15,69
1965,20,2,128,410,6,11,0,4,28,0,1,19,0,31,0,17,0,2,58,19,0,831,0,2,17,35,4,243,0,0,0,96,25,27,29,7,38,0,2,1,0,3,0,0,0,190,0,4,0,223,1,20,14,64
1966,24,2,131,456,8,13,0,4,24,0,1,23,0,34,0,17,0,2,53,20,0,878,0,2,19,16,6,221,0,0,0,98,10,26,34,6,33,0,3,2,0,3,0,0,0,198,0,3,0,238,1,19,13,63
1967,19,1,121,484,8,14,0,3,24,0,1,20,0,40,0,16,0,1,50,13,0,835,0,1,14,18,13,230,0,0,0,102,12,34,32,7,41,0,3,2,0,3,0,0,0,188,0,3,0,276,1,25,12,61
1968,19,1,112,504,10,15,0,3,29,0,1,19,0,42,0,16,0,0,52,12,0,842,0,1,16,23,10,229,0,0,0,97,8,23,28,6,40,0,4,2,0,3,0,0,0,193,0,2,0,258,1,25,12,62
1969,20,2,114,507,10,17,0,3,27,0,1,23,0,43,0,14,0,0,54,12,0,727,0,2,12,25,3,228,1,0,0,101,21,22,29,6,40,0,4,2,0,2,0,0,0,198,0,2,0,265,1,23,13,59
1970,23,1,107,541,11,16,0,3,26,0,1,21,0,48,0,14,0,1,54,12,0,739,0,2,11,16,4,235,1,0,0,99,49,31,30,5,35,0,3,3,0,3,0,0,0,203,0,2,0,281,1,21,19,58
1971,27,1,108,565,13,16,0,3,30,0,1,23,1,48,0,13,0,0,53,14,0,724,0,2,9,15,3,261,2,0,0,101,47,28,27,6,35,0,2,2,0,3,0,0,0,196,0,3,0,286,1,21,18,61
1972,23,1,120,581,17,15,0,3,31,0,1,27,1,48,0,13,0,0,53,16,0,714,0,2,12,18,2,217,2,0,0,101,53,32,27,5,48,0,4,3,0,3,0,0,0,209,0,3,0,284,1,22,19,61
1973,19,2,133,582,19,19,0,3,32,0,1,27,1,48,0,11,0,0,56,16,0,729,0,2,10,15,4,222,2,0,0,103,85,30,29,3,49,0,3,2,0,3,0,0,0,214,0,2,0,287,1,21,21,67
1974,20,1,139,624,20,16,0,3,38,0,1,20,1,58,0,12,0,0,55,15,0,738,0,2,11,10,3,258,3,0,0,96,87,44,23,4,44,0,3,3,0,3,1,0,0,219,0,2,0,313,1,19,26,72
1975,21,1,136,630,23,14,0,3,29,0,2,22,1,58,0,11,0,0,59,15,0,750,0,2,10,17,3,202,3,0,0,98,136,40,27,4,47,0,4,2,0,2,1,0,0,203,0,2,0,288,1,18,26,69
1976,25,1,128,660,23,13,0,3,29,0,1,20,1,62,0,11,0,0,60,15,0,719,0,2,9,11,4,208,6,0,0,105,129,38,22,2,34,0,3,3,0,2,0,0,0,211,0,2,0,323,1,18,19,68
1977,24,1,121,639,21,16,0,2,23,0,1,21,1,64,0,11,0,0,56,15,0,720,0,2,9,9,3,218,6,0,0,109,142,31,14,2,41,0,3,2,0,2,1,0,0,207,0,3,0,318,1,22,23,70
1978,28,1,124,679,29,16,0,2,35,0,1,20,1,63,0,11,0,0,54,15,0,681,0,2,6,11,3,241,5,0,0,106,142,32,27,2,40,0,3,3,0,2,1,0,0,198,0,2,0,319,1,20,21,72
1979,32,1,130,688,27,16,0,2,33,0,1,23,1,75,0,10,0,0,55,15,0,686,0,2,8,15,3,238,6,0,0,102,144,32,23,2,37,0,3,3,0,2,1,0,0,210,0,3,0,335,1,20,20,72
1980,16,1,127,725,27,18,0,2,33,0,1,20,1,74,0,11,0,0,58,15,0,714,0,2,9,12,4,236,6,0,0,86,149,36,17,2,34,0,3,4,0,2,1,0,0,208,0,2,0,292,1,19,21,73
1981,24,1,126,729,24,19,0,2,37,0,2,22,0,69,0,19,0,0,58,15,0,648,0,2,10,11,1,240,8,0,0,86,172,35,18,1,29,0,4,3,0,1,0,0,0,179,0,3,0,291,1,18,18,69
1982,24,1,109,761,25,17,0,2,36,0,2,24,0,68,0,13,0,0,56,6,0,694,0,2,10,6,2,227,7,0,0,87,213,34,18,1,29,0,3,3,0,2,1,0,0,193,0,3,0,291,1,20,19,71
1983,24,1,107,769,29,17,0,2,37,0,1,24,0,74,0,13,0,0,50,7,0,691,1,1,6,8,2,245,7,0,0,83,191,26,16,1,35,0,4,4,0,1,1,0,0,186,0,2,0,274,1,17,19,68
1984,23,1,106,778,25,17,0,2,36,0,1,20,0,76,0,13,0,0,49,7,0,708,0,2,3,9,3,259,9,2,0,71,196,30,16,1,32,0,4,3,0,1,1,0,0,205,0,2,0,245,1,21,21,71
1985,24,1,108,763,27,15,0,2,34,0,3,26,0,79,0,14,0,0,52,8,0,708,0,2,3,11,3,260,13,2,0,72,200,38,16,1,33,0,5,4,0,1,1,0,0,198,0,2,0,271,1,22,20,70
1986,23,1,104,761,21,18,0,2,35,0,3,25,1,83,0,14,0,0,55,7,0,673,0,16,15,12,3,259,19,1,0,53,192,36,19,1,35,0,6,4,0,2,0,0,0,191,0,2,0,253,2,21,19,69
1987,23,1,102,785,25,17,0,2,37,0,4,35,1,88,0,16,0,1,58,9,0,678,1,3,15,11,2,281,22,3,0,57,194,36,19,0,45,0,8,4,0,2,0,0,0,196,0,2,0,260,1,20,19,70
1988,23,1,96,814,26,15,0,2,37,0,3,35,2,94,0,17,0,1,55,10,0,690,1,7,12,12,1,282,19,2,0,60,241,32,20,0,40,0,10,4,1,2,1,0,0,180,0,2,0,256,1,20,22,79
1989,23,1,92,812,22,15,0,2,41,0,3,49,3,99,0,18,0,1,53,10,0,678,1,15,6,13,1,269,9,6,0,81,216,39,18,0,32,0,10,4,1,1,1,0,0,202,0,2,0,254,1,18,24,84
1990,22,1,97,829,20,15,0,2,42,0,3,43,2,100,0,18,0,1,64,13,0,670,1,19,8,10,0,272,10,6,0,84,217,40,17,1,30,0,10,5,1,3,1,0,0,198,0,2,0,265,1,20,28,84
1991,22,1,96,872,21,14,0,2,38,0,3,42,3,95,0,21,0,1,67,13,0,669,0,10,11,11,0,290,20,15,0,89,243,40,21,1,34,0,10,5,1,3,1,0,0,201,0,2,0,262,1,22,22,78
1992,22,1,91,857,35,14,0,2,50,0,4,39,3,88,0,22,0,1,69,4,0,658,0,10,14,10,0,291,12,16,0,74,254,39,20,1,35,0,10,5,1,4,1,0,0,201,0,2,0,273,1,19,20,78
1993,20,1,87,868,29,15,0,2,47,0,4,35,3,89,0,27,0,1,69,4,0,674,0,6,10,10,0,287,0,13,0,83,264,35,18,1,34,0,12,5,0,3,1,0,0,165,0,2,0,267,1,18,20,70
1994,20,1,84,882,24,16,0,2,39,0,3,35,3,92,0,22,0,1,68,8,0,660,0,2,12,13,3,285,2,14,0,101,223,37,19,1,38,0,8,5,1,3,1,0,0,156,0,2,0,277,0,19,22,68
1995,20,1,75,877,25,16,0,2,33,0,3,24,3,92,0,21,0,1,69,8,0,653,0,3,11,12,2,284,0,17,1,105,244,34,19,1,34,0,8,5,1,1,1,0,0,155,0,1,0,295,1,18,19,62
