year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,32,0,2,212,0,46,0,0,15,1,2,2,0,6,5,28,0,0,114,0,0,480,3,129,4,19,84,0,0,0,0,0,0,1,0,0,18,0,7,1,1,0,13,0,43,3,164,22,40,308,0,2,0,3
1962,33,0,2,213,0,48,0,0,17,1,2,2,0,3,5,27,0,0,148,0,0,531,3,150,12,18,92,0,0,0,0,0,0,1,0,0,19,0,7,1,1,0,14,0,26,4,174,22,40,363,0,2,0,3
1963,29,0,2,212,0,49,0,0,18,1,2,2,0,4,5,28,0,0,111,0,0,480,3,150,2,18,102,0,0,0,0,0,0,1,0,0,19,0,8,1,1,0,15,0,28,4,170,23,40,321,0,2,0,3
1964,26,0,2,212,0,48,0,0,19,1,2,2,0,4,5,27,0,0,152,0,0,478,3,158,4,18,101,0,0,0,0,0,0,1,0,0,19,0,9,1,1,0,16,0,30,4,173,22,39,382,0,2,0,3
1965,34,0,2,215,0,50,0,0,20,1,2,2,0,3,5,27,0,0,130,0,0,552,3,158,5,18,92,0,0,0,0,0,0,1,0,0,19,0,10,1,1,0,17,0,35,4,166,22,39,367,0,2,0,3
1966,38,0,2,227,0,49,0,0,20,1,2,3,0,4,6,28,0,0,136,0,0,548,3,256,5,18,50,0,0,0,0,0,0,1,0,0,21,0,12,2,1,0,17,0,33,4,182,23,43,369,0,2,0,3
1967,35,0,2,231,0,49,0,0,21,1,2,3,0,4,6,29,0,0,157,0,0,461,3,255,4,20,47,0,0,0,0,0,0,1,0,0,22,0,11,2,1,0,18,0,41,5,183,26,51,377,0,2,0,3
1968,29,0,2,247,0,52,0,0,20,1,2,3,0,5,4,28,0,0,155,0,0,515,3,258,2,19,43,0,0,0,0,0,0,1,0,0,23,0,11,2,1,0,20,0,46,5,174,25,55,384,0,2,0,3
1969,36,0,2,270,0,53,0,0,21,1,2,3,0,10,4,28,0,0,158,0,0,503,3,261,2,18,42,0,0,0,0,0,0,1,0,0,24,0,13,1,0,0,21,0,50,6,190,25,49,391,0,2,0,3
1970,36,0,1,291,1,55,0,0,21,1,2,3,0,15,5,31,0,0,158,0,0,536,3,261,2,17,43,0,0,0,0,0,0,1,0,0,26,0,12,1,1,0,21,0,33,6,187,20,42,413,0,1,0,4
1971,38,0,2,315,0,57,0,0,21,1,2,2,0,15,5,28,0,0,141,0,0,535,2,263,0,18,38,0,0,0,0,0,0,0,0,0,27,0,16,2,1,0,21,0,32,7,199,18,54,424,5,2,0,4
1972,34,0,1,302,0,58,0,0,20,1,2,2,0,15,6,24,0,0,141,0,0,577,0,259,0,17,45,0,0,0,0,0,0,0,0,0,31,0,16,2,1,0,21,0,32,8,205,16,59,415,2,2,0,2
1973,35,0,1,268,1,61,0,0,21,1,2,2,0,15,7,24,0,0,150,0,0,537,2,255,0,19,71,0,0,0,0,0,0,0,0,0,26,0,25,2,0,0,20,0,32,7,206,15,66,383,2,2,0,2
1974,37,0,1,260,0,64,0,0,21,1,2,2,0,12,7,32,0,0,138,0,0,538,2,263,0,5,60,0,0,0,0,0,0,0,0,0,28,0,25,3,0,0,19,0,37,1,212,13,40,316,2,1,0,4
1975,39,0,2,246,0,64,0,0,20,1,1,3,0,13,4,24,0,0,128,0,0,503,2,258,0,14,74,0,0,0,0,0,0,0,0,0,24,0,19,2,1,0,20,0,39,3,216,13,30,445,2,1,0,7
1976,38,0,2,259,0,65,0,0,22,1,1,3,0,11,6,24,0,0,144,0,0,505,2,260,0,18,59,0,0,0,0,0,0,0,0,0,21,0,17,1,0,0,27,0,38,2,206,10,34,458,4,1,0,6
1977,40,0,2,266,1,63,0,0,22,1,3,3,0,11,6,25,0,0,199,0,0,505,2,264,0,8,65,0,0,0,0,0,0,0,0,0,26,0,19,2,0,0,26,0,37,4,217,10,28,403,3,1,0,6
1978,38,0,2,268,2,65,0,0,23,1,3,3,0,11,7,25,0,0,139,0,0,559,2,265,0,3,63,0,0,0,0,0,0,0,0,0,24,0,16,2,0,0,26,0,37,6,199,8,53,373,3,1,0,7
1979,38,0,5,266,2,66,0,0,18,1,3,2,0,12,9,26,0,0,138,0,0,683,2,250,0,4,73,0,0,0,0,0,0,0,0,0,29,0,16,2,0,0,27,0,36,7,198,5,51,376,4,2,0,8
1980,49,0,9,258,2,73,0,0,16,1,3,2,0,14,6,29,0,0,144,0,0,699,4,260,0,1,65,0,0,0,0,0,0,0,0,0,26,0,19,2,1,0,14,0,36,8,196,6,54,394,4,2,0,11
1981,65,0,4,254,2,68,0,0,18,1,3,3,0,12,2,59,0,0,127,0,0,748,4,241,0,14,86,0,0,0,0,0,0,0,0,0,31,0,19,2,1,0,4,0,34,7,191,6,55,399,5,1,0,9
1982,54,0,2,296,2,65,0,0,16,1,3,3,0,14,1,86,0,0,154,0,0,610,1,257,0,11,58,0,0,0,0,0,0,0,0,0,36,0,15,2,1,0,3,0,31,10,189,10,63,410,4,2,0,9
1983,45,0,1,287,1,66,0,0,22,1,3,1,0,12,13,110,0,0,157,0,0,619,7,245,0,2,81,0,0,0,0,0,0,0,0,0,38,0,18,2,1,0,3,0,28,12,140,2,63,407,5,2,0,11
1984,48,0,1,329,5,68,0,0,15,1,2,2,0,12,5,145,0,0,207,0,0,516,6,227,0,3,77,0,0,0,0,0,0,0,0,0,34,0,20,2,1,0,1,0,26,13,166,2,62,404,5,2,0,12
1985,70,0,1,330,1,73,0,0,11,1,2,2,0,6,21,145,0,0,188,0,0,522,6,215,0,1,103,0,0,0,0,0,0,0,0,0,37,0,22,2,1,0,3,0,23,15,119,10,62,403,4,2,0,13
1986,71,0,1,333,4,70,0,0,16,1,2,2,1,6,1,151,0,0,200,0,0,474,6,213,0,7,79,0,0,0,0,6,0,0,0,0,36,0,22,2,1,0,4,0,20,17,198,10,24,410,5,2,0,13
1987,59,0,1,398,4,66,0,0,23,1,2,1,1,3,11,158,0,0,209,0,0,386,8,189,0,8,102,0,0,0,0,1,0,0,0,0,47,0,22,2,0,0,4,0,17,9,206,10,23,407,7,3,0,15
1988,59,0,2,376,9,56,0,0,20,1,3,2,1,2,1,167,0,0,221,0,0,416,10,223,0,12,68,0,0,0,0,1,0,0,0,0,50,0,20,2,0,0,7,0,15,14,175,7,23,407,5,3,0,19
1989,75,0,1,402,9,58,0,0,21,1,3,1,1,2,1,150,0,0,202,0,0,357,10,202,0,12,75,0,0,0,0,1,0,0,0,0,38,0,21,2,0,0,5,0,12,15,163,7,26,411,2,2,0,18
1990,76,0,1,436,8,62,0,0,21,1,3,2,1,1,1,325,0,0,138,0,0,220,12,204,0,14,111,0,0,0,0,19,0,0,0,0,52,0,24,2,0,0,6,0,11,14,122,5,26,412,4,1,0,18
1991,73,0,2,433,6,50,0,0,20,2,2,6,1,3,1,320,0,0,154,0,0,241,12,218,0,14,107,0,0,0,0,4,0,0,0,0,41,0,21,3,1,0,8,0,2,10,136,9,26,417,4,2,0,18
1992,78,0,2,468,7,61,0,0,18,2,2,5,0,4,1,318,0,0,133,0,0,283,10,218,0,12,97,0,0,0,0,11,0,0,0,0,26,0,23,2,1,0,8,0,2,8,69,9,26,422,8,1,0,17
1993,71,0,1,432,8,54,0,0,19,2,3,7,0,6,1,389,0,0,55,0,0,375,10,218,0,13,87,0,0,0,0,17,0,0,0,0,30,0,26,2,1,0,9,0,3,8,140,9,18,417,9,2,0,18
1994,76,0,2,429,8,54,0,0,14,1,3,4,0,3,1,355,0,0,68,0,0,424,10,92,0,12,82,0,0,0,0,13,0,0,0,0,25,0,21,2,1,0,14,0,3,5,142,10,15,415,5,0,0,19
1995,66,0,2,454,8,72,0,0,12,1,3,8,1,4,1,344,0,0,40,0,0,460,10,95,0,24,94,0,0,0,0,12,0,0,0,0,24,0,25,2,0,0,13,0,3,3,103,10,10,419,6,0,0,20
