year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,50,0,17,1024,45,2,8,0,24,14,107,0,415,22,9,0,0,27,0,0,13,1,1,119,0,3,49,0,1,134,0,37,0,13,5,5,0,0,0,0,1,0,185,0,0,0,5,13,0,448,1,3,1,19
1962,51,0,18,994,44,0,10,0,23,15,85,0,450,33,9,0,0,30,0,0,13,2,2,62,9,6,51,0,6,124,0,76,0,15,4,5,0,0,0,0,1,0,183,0,0,0,4,14,0,438,0,4,1,18
1963,46,0,16,967,48,1,12,0,23,13,119,0,471,29,9,0,0,30,0,0,12,1,2,99,18,6,61,0,0,54,0,100,0,12,5,4,0,0,0,0,1,0,181,0,0,0,4,14,0,417,0,4,1,19
1964,52,0,18,953,60,6,13,0,22,14,158,0,431,36,9,0,0,31,0,0,14,1,2,96,19,6,46,0,8,101,0,94,0,16,4,5,0,0,0,0,1,0,179,0,0,0,4,15,0,424,0,3,2,20
1965,54,0,19,974,58,4,12,0,22,16,157,0,398,25,11,0,0,31,0,0,15,1,2,116,0,6,51,0,0,161,0,27,0,17,5,4,0,0,0,0,1,0,176,0,0,0,5,15,0,450,0,4,2,19
1966,54,0,17,959,62,7,12,0,21,14,125,0,462,27,12,0,0,25,0,0,15,1,3,108,19,13,21,1,10,52,0,122,0,16,5,9,0,0,1,0,1,0,172,0,0,0,6,15,0,457,0,3,2,24
1967,55,0,18,932,65,8,12,0,20,16,114,0,455,34,13,0,0,26,0,0,14,1,4,115,4,5,25,1,5,178,0,29,12,16,4,5,0,0,0,0,1,0,169,0,0,0,6,16,0,450,0,3,2,22
1968,50,0,20,932,75,0,12,0,20,15,127,0,435,31,15,0,0,25,0,0,15,1,4,64,0,23,38,1,2,156,0,58,32,16,6,4,0,0,0,0,1,0,160,0,0,0,7,17,0,433,1,3,2,17
1969,51,0,19,922,84,0,12,0,20,14,125,0,432,26,14,0,0,25,0,0,16,2,5,29,14,12,15,1,12,81,0,190,18,16,4,7,0,0,0,0,1,0,159,0,0,0,7,16,0,433,1,3,3,16
1970,53,0,20,930,82,0,11,0,21,16,122,0,438,30,13,0,1,27,0,0,17,2,5,64,15,10,17,1,16,126,0,121,33,16,6,3,0,0,0,0,1,0,159,0,0,0,8,16,0,446,1,2,3,20
1971,51,0,22,922,81,0,13,0,19,18,128,0,442,30,15,0,0,25,0,0,16,2,4,94,32,9,16,1,17,131,0,113,12,16,4,3,0,0,0,0,1,0,157,0,0,0,7,16,0,461,1,3,3,20
1972,53,0,24,891,81,2,13,0,18,21,127,0,415,28,15,0,0,27,0,0,16,3,4,102,45,11,31,1,24,90,0,113,5,16,6,4,0,0,1,0,1,0,157,0,0,0,7,16,0,465,2,3,3,19
1973,54,0,20,901,81,2,14,0,19,20,122,0,433,27,16,0,0,26,0,0,16,3,5,83,37,7,20,1,13,100,0,141,7,17,5,3,0,0,1,0,2,0,155,0,0,0,6,17,0,459,2,3,3,18
1974,59,0,22,945,85,0,14,0,20,20,116,0,438,26,15,0,0,28,0,0,15,2,4,58,49,6,23,1,10,107,0,134,8,17,3,4,0,0,1,1,1,0,154,0,0,0,6,15,0,445,2,3,3,23
1975,59,0,24,971,85,0,17,0,18,18,116,0,434,32,14,0,0,27,1,0,15,2,4,66,31,4,19,0,43,97,0,146,6,19,3,3,0,0,1,1,1,0,151,0,0,0,5,17,0,448,2,3,3,21
1976,63,0,24,1025,82,15,17,0,20,24,118,0,450,30,14,0,0,29,1,0,17,3,4,70,35,4,29,1,30,101,0,109,8,20,5,3,0,0,1,1,1,0,150,0,0,0,7,17,0,445,3,3,3,22
1977,62,0,26,1031,76,1,15,0,20,29,114,0,452,29,14,0,0,26,1,0,16,2,4,49,30,4,23,0,63,108,0,111,10,20,3,4,0,0,1,1,1,0,151,0,0,0,7,10,0,414,4,3,5,22
1978,61,0,25,1037,71,0,16,0,21,20,116,0,436,26,15,0,0,26,1,0,14,2,3,60,30,3,21,1,55,40,0,173,10,19,5,1,0,0,1,1,1,0,157,0,0,0,5,14,0,411,2,3,5,22
1979,62,0,26,1052,69,1,17,0,19,19,115,0,447,34,14,0,0,27,1,0,15,2,3,15,27,2,24,1,70,106,0,123,13,22,4,5,0,0,1,1,1,0,140,0,0,0,6,15,0,429,1,3,5,22
1980,56,0,26,1066,68,3,17,0,19,23,120,0,461,25,13,0,0,28,1,0,15,2,3,34,16,2,23,1,50,94,0,151,11,22,3,8,0,0,1,1,1,0,135,0,0,0,6,14,0,429,2,3,5,23
1981,54,1,26,1078,66,0,16,0,18,24,115,0,447,31,14,0,0,28,1,0,14,3,3,4,23,4,20,1,46,88,0,180,13,23,2,5,0,0,1,1,1,0,132,0,0,0,4,16,0,425,3,3,5,24
