"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,1,0,23,166,117,19,0,0,0,11,0,3,1164,2,1,0,16,24,0,1,5,0,1,0,0,1,7,157,0,0,4,34,0,7,0,0,23,0,1,6,9,0,23,0,0,0,0,1,1,213,5,2,5,38
1962,1,0,29,161,130,18,0,0,0,8,0,6,1160,1,1,0,10,23,0,1,6,0,1,0,0,1,8,211,0,0,4,32,0,6,0,0,36,0,1,6,9,0,17,0,0,0,0,1,1,217,4,2,7,40
1963,1,0,25,157,126,31,0,0,0,6,0,7,1160,2,1,0,21,22,0,1,4,0,1,0,0,0,29,223,0,0,5,53,0,7,0,0,25,0,1,5,10,0,18,0,0,0,0,1,1,214,4,2,6,42
1964,1,0,23,168,124,35,0,0,0,0,0,9,1161,1,1,0,26,19,0,1,6,0,1,0,0,1,34,210,0,0,2,55,0,6,0,0,24,0,1,6,12,0,19,0,0,0,0,1,1,216,4,2,7,37
1965,1,0,24,173,122,53,0,0,0,0,0,8,1181,2,0,0,30,23,0,1,4,0,0,0,0,0,55,227,0,0,2,83,0,6,0,0,33,0,1,6,13,0,20,0,0,0,0,1,1,163,3,3,10,42
1966,1,0,19,184,117,23,0,0,0,2,0,8,1163,1,0,0,25,27,0,0,4,0,1,0,0,0,43,214,0,0,2,88,0,7,0,0,27,0,1,6,10,0,23,0,0,0,0,1,1,153,3,3,11,47
1967,1,0,17,187,102,24,0,0,0,4,0,11,1211,2,1,0,27,28,0,1,6,0,1,0,0,0,78,235,0,0,2,88,0,5,0,0,36,0,0,6,8,0,23,0,0,0,0,1,1,197,3,6,8,43
1968,1,0,17,179,91,38,0,0,0,4,0,10,1214,2,0,0,26,22,0,1,4,0,1,0,0,0,76,237,0,0,2,102,0,9,2,0,35,0,1,5,8,0,20,0,0,0,0,0,1,192,2,4,7,43
1969,1,0,16,184,112,15,0,0,0,0,0,9,1166,2,1,0,19,19,0,1,5,0,1,0,0,1,84,211,0,0,2,100,0,5,3,0,37,0,1,6,11,0,21,0,0,0,0,1,1,178,3,4,13,48
1970,1,0,14,165,96,14,0,0,0,3,0,10,1221,2,1,0,22,17,0,1,7,0,1,0,0,1,72,230,0,0,1,103,0,8,2,0,23,0,1,6,8,0,20,0,0,0,0,1,1,199,3,2,13,50
1971,1,0,17,174,100,14,0,0,0,4,0,10,1276,2,1,0,22,20,0,1,4,0,0,0,0,0,53,212,0,0,3,102,0,13,3,0,48,0,1,6,13,0,24,0,0,0,0,1,1,203,3,4,13,54
1972,1,0,15,180,86,12,0,0,0,5,0,13,1378,2,1,0,21,21,1,1,9,0,0,0,0,0,34,200,0,0,4,155,0,16,2,0,47,0,1,5,12,0,31,0,0,0,1,1,1,228,4,4,13,53
1973,1,0,16,198,82,16,0,0,0,5,0,9,1389,2,2,0,21,20,0,1,5,0,0,0,0,0,28,186,0,47,5,140,0,17,1,0,49,0,1,5,11,0,23,0,0,0,0,1,1,193,3,4,16,54
1974,1,0,17,214,77,4,0,0,0,4,0,9,1402,2,1,0,21,21,0,1,7,0,0,0,0,0,42,199,0,21,6,145,0,20,1,0,50,0,1,5,12,0,26,0,0,0,0,1,1,239,5,5,17,60
1975,1,0,14,234,69,4,0,0,0,4,0,9,1365,3,1,0,24,22,0,1,11,0,1,0,0,0,47,204,0,42,4,137,1,21,1,0,60,0,1,6,11,0,30,0,0,0,0,1,1,212,3,3,17,57
1976,0,0,14,253,67,11,0,0,0,3,0,9,1345,3,2,0,26,23,1,1,11,0,1,0,0,7,6,230,0,0,7,92,1,23,2,0,54,0,1,6,11,0,30,0,0,0,0,1,1,237,3,4,18,67
1977,1,0,17,270,65,11,0,0,0,4,0,9,1462,2,2,0,25,24,0,2,13,0,0,0,0,3,6,210,0,3,5,81,1,29,3,0,43,0,1,6,11,0,29,0,0,0,0,0,1,249,3,4,16,60
1978,0,0,13,236,64,4,0,0,0,6,0,7,1551,2,1,0,24,24,2,2,13,0,1,0,0,2,7,159,0,0,6,140,1,31,2,0,54,0,1,9,12,0,35,0,0,0,0,1,1,245,3,5,20,63
1979,0,0,15,231,65,4,0,0,0,3,0,7,1519,4,0,0,21,26,2,1,12,0,1,0,0,2,9,178,0,0,5,179,1,29,1,0,55,0,1,6,11,0,35,0,0,0,0,1,2,242,3,3,23,63
1980,0,0,16,236,66,15,0,0,0,5,0,8,1562,4,2,0,21,25,2,1,11,0,0,0,0,0,12,164,0,0,7,219,2,33,5,0,78,0,1,3,12,0,32,0,0,0,0,1,1,251,3,3,20,61
1981,1,0,17,262,68,17,0,0,0,3,0,5,1483,4,4,0,18,25,1,2,14,0,0,0,0,0,13,152,0,19,5,180,2,36,0,1,61,0,1,6,10,0,39,0,0,0,0,1,2,257,6,3,24,60
1982,1,0,14,240,69,4,0,0,0,3,0,5,1457,4,3,1,21,23,1,1,12,0,0,0,0,0,17,165,0,18,8,243,2,37,1,1,56,0,1,13,11,0,27,0,0,0,1,0,1,256,1,3,21,51
1983,1,0,15,259,67,3,0,0,0,3,0,4,1546,8,0,1,26,26,2,1,10,0,1,0,0,0,12,169,0,26,7,243,3,38,0,1,45,0,1,7,10,0,40,0,0,0,1,1,2,258,1,3,26,60
1984,1,0,13,264,67,3,0,0,0,5,0,8,1591,4,3,2,26,27,2,2,14,0,0,0,0,0,13,148,0,31,8,258,3,38,3,2,50,0,1,5,13,0,37,0,0,0,0,1,2,248,3,5,26,58
1985,1,0,16,271,81,4,0,0,0,8,0,8,1589,5,0,2,24,29,2,1,11,0,1,0,0,0,14,124,0,104,5,186,3,40,7,1,65,0,1,5,13,0,36,0,0,0,1,1,2,243,3,7,28,60
1986,1,0,12,283,82,3,0,0,0,10,0,5,1612,6,0,3,30,29,2,1,15,0,1,0,0,0,11,147,0,222,3,92,4,45,2,2,54,0,1,5,13,0,38,0,0,0,0,1,2,246,3,6,24,61
1987,1,0,17,279,83,4,0,0,0,10,0,5,1613,6,0,3,26,28,3,1,14,0,0,0,0,0,11,138,0,166,9,121,4,37,3,2,67,0,1,5,11,0,41,0,0,0,0,1,1,250,3,6,25,63
1988,1,0,22,295,83,2,0,0,0,10,0,4,1656,6,0,3,21,24,3,1,12,0,1,0,0,0,15,141,0,116,5,192,4,35,3,3,35,0,1,5,16,0,46,0,0,0,0,1,2,264,4,6,18,54
1989,1,0,15,286,79,1,0,0,0,9,0,10,1639,7,0,4,21,30,3,1,15,0,1,1,0,0,9,87,10,140,5,238,5,33,1,5,52,0,1,5,13,0,40,0,0,0,1,1,1,256,5,6,21,52
1990,1,0,13,271,79,1,0,0,0,8,0,10,1629,6,0,4,23,31,3,1,13,0,0,1,0,0,6,99,3,136,5,243,5,45,2,5,50,0,1,5,12,0,44,0,0,0,1,1,2,265,4,5,26,63
1991,1,0,14,262,80,3,0,0,0,11,0,2,1634,6,0,4,19,36,3,1,12,0,0,3,0,0,6,92,9,138,7,174,5,35,4,10,75,0,1,5,13,0,48,0,0,0,1,1,2,268,4,9,26,66
1992,1,0,15,286,81,2,0,0,0,11,0,2,1587,8,1,3,20,39,2,1,10,0,0,4,0,0,7,76,9,98,5,270,5,40,2,8,74,0,1,5,12,0,42,0,0,0,1,1,2,295,4,9,22,68
1993,1,0,18,282,82,1,0,0,0,10,0,3,1622,10,1,4,24,42,3,1,16,0,0,2,0,4,7,84,16,48,7,298,6,40,3,7,74,0,1,5,13,0,47,0,0,0,1,1,1,283,4,10,20,60
1994,1,0,17,282,76,1,0,0,0,15,0,2,1612,8,3,4,17,39,3,1,11,0,0,4,0,7,7,52,15,64,7,332,6,42,5,3,47,0,1,5,11,0,46,0,0,0,1,1,2,277,4,10,24,59
1995,1,0,16,289,77,1,0,0,0,12,0,3,1648,9,6,3,14,34,2,1,10,0,0,5,0,8,6,57,14,52,12,309,6,36,6,4,49,0,1,5,14,0,53,0,0,0,1,1,1,275,4,10,31,54
1996,0,0,15,283,79,1,0,0,0,17,0,1,1669,10,3,3,17,41,3,1,11,0,0,5,0,8,4,149,24,20,11,257,6,38,7,12,54,0,1,5,13,0,53,0,0,0,1,1,1,287,5,9,30,61
1997,1,0,16,303,71,2,0,0,0,13,0,1,1674,10,3,4,26,41,3,1,11,0,0,8,0,14,3,156,22,60,11,248,7,43,4,5,46,0,1,6,9,0,56,0,0,0,1,2,1,285,5,14,29,59
1998,1,0,14,313,41,1,3,0,0,12,0,1,1706,11,2,4,25,44,3,1,12,0,0,7,0,25,5,164,24,28,11,288,7,44,6,5,41,0,1,5,15,0,61,0,0,0,1,1,1,286,5,15,31,61
1999,0,0,22,338,42,4,3,0,0,22,0,1,1651,12,2,4,27,45,3,1,11,0,0,9,0,33,5,201,34,26,11,303,8,43,7,4,55,0,0,4,11,0,59,0,0,0,1,2,1,293,4,13,31,60
2000,0,0,23,353,42,4,0,0,0,14,0,1,1608,13,3,4,28,45,3,1,11,0,0,8,0,37,4,101,24,41,12,279,7,45,6,4,48,0,0,5,15,0,56,0,0,0,2,2,1,273,4,14,33,59
2001,0,0,22,357,42,2,11,0,0,10,0,1,1652,13,2,5,20,41,3,1,11,0,0,9,0,41,3,99,39,29,17,315,7,28,7,5,43,0,1,4,15,0,62,0,0,0,2,2,1,272,4,12,22,61
2002,0,0,16,362,56,3,3,0,0,12,0,3,1583,12,3,5,26,44,3,1,11,0,0,8,0,4,4,94,44,29,15,285,8,28,7,5,47,0,0,3,16,0,60,0,0,0,2,2,1,308,2,12,29,65
2003,0,0,15,352,54,3,7,0,0,18,0,2,1584,12,2,5,27,46,3,1,9,0,0,11,0,8,5,98,54,4,13,259,12,36,7,7,74,0,0,2,16,0,58,0,0,0,2,1,1,345,3,11,36,67
2004,0,0,15,345,55,4,12,0,0,14,0,2,1565,16,8,5,23,47,3,1,9,0,1,9,0,11,5,92,37,10,15,311,8,36,5,9,70,0,0,1,14,0,69,0,0,0,7,2,1,341,2,8,34,68
2005,0,0,15,342,53,4,15,0,0,17,0,2,1648,12,3,5,14,44,3,1,9,0,1,8,0,12,5,84,34,3,15,260,11,33,7,10,61,0,0,2,14,0,56,0,0,0,2,2,1,328,2,12,31,70
2006,1,0,18,355,53,6,15,0,0,24,0,2,1566,14,3,5,33,47,4,1,11,0,1,7,0,11,5,88,32,3,12,304,26,45,6,9,60,0,0,1,15,0,63,0,0,0,11,2,0,336,4,12,29,73
2007,1,0,15,363,53,7,17,0,0,17,0,3,1601,12,6,5,12,42,3,1,10,0,1,9,0,11,4,89,96,5,17,215,24,44,8,10,68,0,0,0,15,0,71,0,0,0,4,2,1,335,5,15,34,75
2008,0,0,16,356,54,9,18,0,0,19,0,4,1584,13,5,5,21,45,4,2,12,0,1,8,0,11,5,25,72,11,16,366,17,40,7,10,68,0,1,0,13,0,60,0,0,0,3,2,1,313,5,12,31,76
2009,0,0,16,348,53,8,15,0,0,9,0,3,1644,12,5,6,23,45,4,2,11,0,2,9,0,9,7,39,73,3,17,221,39,45,8,12,65,0,1,0,16,0,62,0,0,0,2,2,1,342,6,11,35,78
