year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,3,209,0,147,0,299,0,0,5,0,0,0,0,2,0,145,299,0,12,0,106,23,0,10,17,119,4,0,2,0,67,1,1,0,111,11,73,0,0,0,1,3,0,0,342,20,0,158,0,109,0,1,0,12
1962,3,208,0,140,0,303,0,0,5,0,0,0,0,2,0,137,294,0,10,0,101,23,0,11,13,127,4,0,1,0,64,1,1,0,112,6,78,0,0,0,1,3,0,0,306,21,0,170,0,114,0,1,0,12
1963,5,211,0,142,0,319,0,0,5,0,0,0,0,2,0,122,286,0,8,0,98,13,0,6,18,132,4,0,1,0,64,0,1,0,120,9,71,0,0,0,1,3,0,0,322,20,0,181,0,122,0,2,0,12
1964,4,211,0,135,0,321,0,0,4,0,0,0,0,2,0,145,274,0,10,0,96,33,0,10,15,123,5,0,2,0,53,1,1,0,126,8,82,0,0,0,0,3,0,0,266,22,0,176,0,119,0,1,0,12
1965,4,170,0,139,0,318,0,0,4,0,0,0,0,3,0,157,281,0,15,0,89,29,0,9,21,124,6,0,2,0,51,1,1,0,134,8,62,0,0,0,0,3,0,0,339,21,0,167,0,142,0,1,0,12
1966,3,178,0,134,0,297,0,0,4,0,0,0,0,3,0,144,314,0,14,0,88,33,0,5,24,133,7,0,2,0,56,1,1,0,130,6,30,0,0,0,0,3,0,0,228,22,0,140,0,161,1,1,0,12
1967,4,199,0,136,0,371,0,0,4,0,0,0,0,3,0,167,313,0,17,0,85,27,0,3,20,152,7,0,1,0,21,1,1,0,134,6,85,0,0,0,0,3,0,0,261,21,0,172,0,143,0,1,0,12
1968,3,208,0,132,0,409,0,0,4,0,0,0,0,3,0,142,326,0,3,0,80,23,0,5,13,159,8,0,5,0,28,7,1,0,151,9,85,0,0,0,0,3,0,0,218,22,0,166,0,157,1,1,0,11
1969,3,211,0,142,0,343,0,0,4,0,0,0,0,3,0,200,322,0,8,0,71,19,0,5,16,189,7,0,5,0,27,3,1,0,98,9,99,0,0,0,0,3,0,0,204,21,0,195,0,133,1,1,0,11
1970,2,259,0,145,0,280,0,0,4,0,0,0,0,3,0,167,297,0,10,0,89,26,0,6,14,214,7,0,4,0,19,3,1,0,131,4,81,0,0,0,1,3,0,0,187,22,0,288,0,132,1,1,0,11
