year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,81.3,0,0,0.1,0,0.1,0.1,1.1,0,2.6,0.5,0,0,0,0.3,0,0,0,0,0,4.9,0,3.4,7.6,0.4,0.2,1.5,0,0,4.2,1.5,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0.4
1962,0,0,0,83.3,0,0,0.1,0,0.1,0.1,1.2,0,2.6,0.6,0,0,0,0.2,0,0,0,0,0,4.2,0,3.6,7.3,0.3,0.3,2.6,0,0.1,5,1.4,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0.3
1963,0,0,0,83,0,0,0.1,0,0.1,0.1,1.1,0,2.7,0.5,0,0,0,0.2,0,0,0,0,0,4,0.3,3.7,5.5,0.2,0.4,2.5,0,2.7,8.6,1.4,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0.4
1964,0,0,0,83.6,0,0,0.1,0,0.1,0.1,1,0,2.8,0.5,0,0,0,0.2,0,0,0,0,0,4.6,1.1,3.3,4.3,0.2,0.2,2.6,0,3.7,9.8,1.5,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0.4
1965,0,0,0,82.8,0,0,0.1,0,0.1,0.1,1.1,0,2.7,0.3,0,0,0,0.2,0,0,0,0,0,3.8,1.6,3.3,5.4,0.1,0.1,3.3,0,3.4,9.2,1.3,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.9,0,0,0,0,0,0,0.4
1966,0,0,0,80.7,0,0,0.1,0,0.1,0.1,1.1,0,2.7,0.4,0,0,0,0.2,0,0,0,0,0,4.8,1,2.9,5.1,0.2,0,4.3,0,1.5,12.4,1.5,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.9,0,0,0,0,0,0,0.4
1967,0,0,0,81.1,0,0,0.1,0,0.1,0.1,1,0,2.7,0.4,0,0,0,0.2,0,0,0,0,0,4.4,0.6,2.4,6.4,0.1,0,1,0,0.6,16.5,1.5,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0.4
1968,0,0,0,81.2,0,0,0.1,0,0.2,0.1,0.9,0,2.6,0.3,0,0,0,0.3,0,0,0,0,0,2.7,0,2.8,6.5,0.1,0,2.9,0,0.6,17,1.9,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0.4
1969,0,0,0,81.8,0,0,0.1,0,0.1,0.1,0.9,0,2.6,0.4,0,0,0,0.2,0,0,0,0,0,2.7,0,2.6,5.8,0.1,0,4.5,0,0.8,16.3,1.8,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0.3
1970,0,0,0,82.2,0,0,0.1,0,0.1,0.1,0.9,0,2.6,0.3,0,0,0,0.3,0,0,0,0,0,2.5,0.2,1.9,7.3,0.1,0.6,7.6,0,2.2,12.2,1.9,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0.3
1971,0,0,0.1,84,0,0,0.1,0,0.1,0.1,0.9,0,2.5,0.2,0,0,0,0.2,0,0,0,0,0,3.7,0,2,7.9,0.1,1,8.2,0,2.6,10.2,1.8,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0.6,0,0,0,0,0,0,0.4
1972,0,0,0,85.2,0,0,0.1,0,0.1,0.1,0.8,0,2.5,0.2,0,0,0,0.2,0,0,0,0,0,2.9,0.3,2,7.5,0.1,0.4,9.1,0,3.6,10.3,1.8,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1,0,0,0,0,0,0,0.4
1973,0,0,0,85.5,0,0,0.1,0,0.1,0,0.8,0,2.5,0.3,0,0,0,0.3,0,0,0,0,0,3.6,0.5,2.1,8.3,0.1,0.3,7,0,3.3,13.4,2.3,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1.1,0,0,0,0,0,0,0.4
1974,0,0,0,85.1,0,0,0.1,0,0.1,0.1,0.7,0,2.3,0.3,0,0,0,0.2,0,0,0,0,0,2.3,1.7,1.5,8.7,0.1,0.7,3.5,0,5.5,11.8,1.8,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1.2,0,0,0,0,0,0,0.4
1975,0,0,0.1,84.8,0,0,0.1,0,0.1,0.1,0.7,0,2.3,0.3,0,0,0,0.2,0,0,0.1,0,0,6.3,0.1,1.4,8,0.1,1.2,2.7,0,8.4,7.8,2.3,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1.1,0,0,0,0,0,0,0.4
1976,0,0,0,89.9,0,0,0.1,0,0.1,0.1,0.7,0,2.3,0.3,0,0,0,0.2,0,0,0.1,0,0,4.9,0.4,1.2,8,0.1,1.3,3.7,0,8.9,10.2,2.1,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1.5,0,0,0,0,0,0,0.3
1977,0,0,0,89.7,0,0,0.1,0,0.1,0.1,0.7,0,2.2,0.3,0,0,0,0.2,0,0,0.1,0,0,3.1,0.3,1.3,8.3,0.1,1.3,2.3,0,9.4,11.2,2.2,0,0,0,0,0,0.2,0.1,0,0.2,0,0,0,1.8,0,0,0,0,0,0,0.4
1978,0,0,0.1,90.3,0,0,0.1,0,0.1,0.1,0.6,0,2.1,0.3,0,0,0,0.2,0,0,0.1,0,0,3.5,0,1.3,7.9,0.1,1.1,2.9,0,10,11.1,2.8,0,0,0,0,0,0.2,0.1,0,0.2,0,0,0,1.8,0,0,0,0,0,0,0.4
1979,0,0,0.1,92.4,0,0,0,0,0.1,0.1,0.6,0,2.1,0.3,0,0,0,0.2,0,0,0.1,0,0,2.5,0,1.3,9.2,0.1,1.2,3.9,0,9.6,11.9,3.1,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,1.8,0,0,0,0,0,0.1,0.4
