year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,11.6,0,0,0,0.1,0,0,0,0,0,0,0,6.2,0,0,0.5,0,0.7,3.5,0,0.3,12.2,0.4,0,0.2,0,0,1,0.4,0,0.1,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.3
1962,0,0,0,11.6,0,0,0,0.1,0,0,0,0.1,0,0,0,6.2,0,0,0.5,0,0.7,3.7,0,0.1,12.5,1.3,0,0.1,0,0,1.4,1.4,0,0.1,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3
1963,0,0,0,11.2,0,0,0,0.1,0,0,0,0.1,0,0,0,6.2,0,0,0.5,0,0.7,3.8,0,0.3,12.6,1.1,0,0.1,0,0,1.6,1.4,0,0.1,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3
1964,0,0,0,11.3,0,0,0,0.1,0,0,0,0.1,0,0,0,6.4,0,0,0.5,0,0.7,3.8,0,0.1,11.2,1.1,0,0.2,0,0,1.1,1.1,0,0.1,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3
1965,0,0,0,11.3,0,0,0,0.1,0,0,0,0.1,0,0,0,6.5,0,0,0.5,0,0.7,3.8,0,0.1,13.9,1.2,0,0.1,0,0,1,1.6,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1966,0,0,0,11.4,0,0,0,0.1,0,0,0,0.1,0,0,0,6.6,0,0,0.5,0,0.7,3.9,0,0.1,14.4,0.9,0,0.1,0,0,0.8,1.3,1,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.3
1967,0,0,0,11,0,0,0,0.1,0,0,0,0.1,0,0,0,6.6,0,0,0.5,0,0.7,4,0,0.1,13,0.6,0,0.1,0,0,1,2.7,1.4,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.3
1968,0,0,0,12.5,0,0,0,0.1,0,0,0,0.1,0,0,0,6.6,0,0,0.5,0,0.7,3.9,0,0.2,12.3,0.5,0,0.1,0,0,0.8,3.3,1.6,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1969,0,0,0,12.3,0,0,0,0.1,0,0,0,0.1,0,0,0,6.5,0,0,0.5,0,0.7,3.9,0,0.3,12.9,0.6,0,0.1,0,0,1,3.4,2,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.3
1970,0,0,0,12.1,0,0,0,0.1,0,0,0,0.1,0,0,0,6.4,0,0,0.5,0,0.7,3.8,0,0.5,14,0.4,0,0.1,0,0,1.5,2.8,1.9,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1971,0,0,0,12.4,0,0,0,0.1,0,0,0,0.1,0,0,0,6.3,0,0,0.5,0,0.7,3.8,0,0.1,14,0.3,0,0.1,0,0,1.1,2.6,2,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.3
1972,0,0,0,12.3,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.2,0,0,0.6,0,0.6,3.8,0,0.1,16.6,0.3,0,0.1,0,0,1.4,2,2,0,0,0,0.4,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1973,0,0,0,12.2,0,0,0,0.1,0,0,0,0.1,0,0,0,6.2,0,0,0.6,0,0.6,4.1,0,0.1,17.5,0.3,0,0.1,0,0,1.2,2.1,1.7,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1974,0,0,0,12.6,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.4,0,0,0.6,0,0.6,4.1,0,0.3,19,0.4,0,0.2,0,0,1.3,2.1,1.7,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1975,0,0,0,12.8,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.5,0,0,0.6,0,0.5,4.1,0,0.2,20.5,0.4,0,0.1,0,0,0.9,2.3,1.5,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1976,0,0,0.1,13.8,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.6,0,0,0.6,0,0.4,4.3,0,0.3,21.5,0.4,0.1,0.1,0,0,1.1,2.5,2.3,0.1,0,0,0.4,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1977,0,0,0,14.6,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.4,0,0,0.6,0,0.4,4.5,0,0.1,22,0.3,0.2,0,0,0,1.2,2.8,2.4,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.3
1978,0,0,0,15.5,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.3,0,0,0.6,0,0.4,5,0,0.1,22.8,0.2,0.2,0,0,0,0.7,2.8,2.8,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1979,0,0,0,16,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.3,0,0,0.6,0,0.3,5.3,0,0.1,23.8,0.4,0.1,0.2,0,0,0.8,3.2,3.3,0.1,0,0,0.3,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1980,0,0,0,17.2,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.5,0,0,0.6,0,0.3,5.5,0,0.1,23.4,0.2,0.1,0,0,0,0.7,3.6,3.1,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1981,0,0,0,18.5,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.8,0,0,0.5,0,0.2,6,0,0.1,24.6,0.2,0.2,0,0.1,0,0.8,3.9,2.9,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1982,0,0,0,18.1,0,0,0,0.1,0.1,0,0,0.1,0,0,0,6.7,0,0,0.5,0,0.3,6.1,0,0.2,24.4,0.3,0.3,0.1,0.2,0,0.6,4,2.8,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1983,0,0,0.1,18.2,0,0,0,0.1,0.1,0,0,0.1,0,0,0,7.1,0,0,0.6,0,0.3,6.1,0,0.2,17.5,0.2,0.3,0.2,0.1,0,0.5,4,4,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1984,0,0,0.1,19.1,0,0,0,0.1,0.1,0,0,0.1,0,0,0,7,0,0,0.6,0,0.3,6.1,0,0.3,14.7,0.3,0.5,0.1,0.2,0,0.4,4.2,3.9,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.3,0.3
1985,0,0,0.1,19.5,0,0,0,0.1,0.1,0,0,0.1,0,0,0,7,0,0,0.5,0,0.3,6.2,0,0.1,13.4,0.4,0.4,0.1,0.2,0,0.3,4,5.5,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.4,0.3
1986,0,0,0.1,19.6,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7,0,0,0.5,0,0.3,6.1,0,0,11.7,0.3,0.8,0.2,0.3,0,0.5,3.8,7.5,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.4,0.3
1987,0,0,0.1,19.3,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7,0,0,0.5,0,0.3,6.5,0,0.1,10,0.4,0.4,0.2,0.2,0,0.6,3.6,8.3,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0.5,0.3
1988,0,0,0.1,18.2,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7.3,0,0,0.5,0,0.3,6.5,0,0,9.6,0.5,0.4,0.2,0.4,0,0.7,3.4,9,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0.4,0.3
1989,0,0,0.1,17.7,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7.1,0,0,0.6,0,0.3,6.3,0,0.1,9.5,0.4,0.4,0.2,0.4,0,0.8,2.6,9.6,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.4,0.3
1990,0,0,0.1,16.5,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7.6,0,0,0.6,0,0.3,6.4,0,0.1,8.8,0.3,0.4,0.3,0.4,0,0.9,1,9.4,0.1,0,0,0.3,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.4,0.3
1991,0,0,0.1,15.9,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,7.6,0,0,0.7,0,0.3,6.2,0,0.4,8.8,0.4,0.4,0.4,0.4,0,1,1,9.1,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.3,0.3
1992,0,0,0.1,15.7,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,7.6,0,0,0.7,0,0.3,6.2,0,0.4,8.9,0.4,0.5,0.8,0.5,0,1.1,0.9,7.9,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.2
1993,0,0,0.1,15.7,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,8,0,0,0.8,0,0.4,6.1,0,0.5,8.5,1,0.4,0.8,0.5,0,1.1,1.5,7.1,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.2
1994,0,0,0.1,16.3,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,7.7,0,0,0.8,0,0.4,6.4,0,0.4,7.3,1.1,0.4,1,0.6,0,1.3,2.5,6.5,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.2
1995,0,0,0.1,16.4,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,8,0,0,0.9,0,0.4,6.4,0,0.4,7.1,1.3,0.4,1.3,0.6,0,1.5,3.3,5.9,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.3
1996,0,0,0.1,16.6,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,7.7,0,0,0.9,0,0.4,6.5,0,0.4,5.1,1.4,0.4,1.2,0.6,0,1.7,3.6,5.8,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.3
1997,0,0,0.1,17,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,8.1,0,0,0.8,0,0.4,6.5,0,0.4,3.7,1.8,0.5,1.2,0.6,0,1.7,2.8,6.1,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.3
1998,0,0,0.1,17.6,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,8.5,0,0,0.8,0,0.4,6.2,0,0.5,2.8,2.1,0.3,1.1,0.6,0,1.4,3.6,6.2,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.4,0.3
1999,0,0,0.1,18.1,0,0.1,0,0.1,0.1,0,0,0.2,0,0,0,8.5,0,0,0.8,0,0.5,5.9,0,0.5,2.5,2.2,0.4,1.6,0.7,0,1.7,3.6,5.9,0.1,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0.5,0.4
2000,0,0,0.1,18.4,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,8.5,0,0,0.8,0,0.5,5.8,0,0.6,2.5,2.3,0.2,1.6,0.6,0,2.1,3.7,5.6,0.4,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.4
2001,0,0,0.1,17.8,0,0.2,0,0.2,0.1,0,0,0.1,0,0,0,8.2,0,0,0.8,0,0.3,6.2,0,0.5,2.1,2.3,0.3,2.1,0.6,0,1.8,3.9,5.2,0.5,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.4
2002,0,0,0.1,18.1,0,0.2,0,0.2,0.1,0,0,0.2,0,0,0,8.4,0,0,0.9,0,0.4,5.9,0,0.6,2.5,2.1,0.4,2.3,0.7,0,1.7,4.4,5,0.5,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.4
2003,0,0,0.1,19.9,0,0.2,0,0.2,0.1,0,0,0.2,0,0,0,8.6,0,0,0.9,0,0.4,5.7,0,0.5,2.2,2.2,0.6,1.6,0.6,0,1.7,4.8,4.8,0.4,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.4
2004,0,0,0.1,17.5,0,0.1,0,0.2,0.1,0,0,0.2,0,0,0,8.2,0,0,0.8,0,0.3,5.8,0,0.5,2.3,2,0.4,1.9,0.9,0,1.7,4,4.6,0.4,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0.5,0.4
2005,0,0,0.1,18,0,0.2,0,0.2,0.1,0,0,0.2,0,0,0,9,0,0,0.8,0,0.2,6.2,0,0.6,2.3,2,0.3,1.8,1.5,0,0.9,4.2,4.2,0.4,0,0,0.4,0,0.1,0,0,0.1,0.1,0,0,0.2,0,0,0,0.1,0,0.1,0.5,0.4
2006,0,0,0.1,17.9,0,0.1,0,0.2,0.2,0,0,0.2,0,0,0,8.1,0,0,0.8,0,0.3,6.1,0,0.3,2,1.9,0.3,2.7,1.4,0,0.9,4.3,4.1,0.4,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0.6,0.4
2007,0,0,0.1,21.3,0,0.2,0,0.2,0.2,0,0,0.2,0,0,0,8,0,0,0.8,0,0.2,6.1,0,0.5,1.8,2.3,0.3,2.7,0.5,0,0.9,6.6,4.3,0.4,0,0,0.3,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0.5,0.4
2008,0,0,0.1,21.6,0,0.2,0,0.2,0.2,0,0,0.2,0,0,0,8.5,0,0,0.9,0,0.3,6.2,0,0.3,1.1,2,0.8,2.6,0.5,0,0.9,6.9,4.2,0.5,0,0,0.2,0,0.1,0,0,0.1,0.1,0,0,0.2,0,0,0,0.1,0,0.1,0.6,0.4
2009,0,0,0.1,20.5,0,0.2,0,0.2,0.2,0,0,0.1,0,0,0,8.8,0,0,0.8,0,0.2,6.2,0,0.3,1.1,1.6,0.8,2.4,0.5,0,1,5,4.1,0.4,0,0,0.2,0,0.1,0,0,0.1,0.1,0,0,0.2,0,0,0,0.1,0,0.1,0.6,0.4
