"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,0,0,0.1,11.2,0.5,0.1,0,0,0,0,0,0,4.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.8,17.7,0,0,0.3,3.8,0,0.6,0,0,0.2,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1962,0,0,0.1,10.9,0.5,0.1,0,0,0,0,0,0,4.2,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0.1,0.9,23.8,0,0,0.3,3.6,0,0.6,0,0,0.3,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1963,0,0,0.1,10.8,0.5,0.1,0,0,0,0,0,0.1,4.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3.3,25.1,0,0,0.4,5.9,0,0.6,0,0,0.2,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1964,0,0,0.1,11.6,0.5,0.1,0,0,0,0,0,0.1,4.2,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0.1,3.8,23.7,0,0,0.2,6.2,0,0.5,0,0,0.2,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1965,0,0,0.1,11.4,0.5,0.2,0,0,0,0,0,0.1,4.2,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,6.2,25.6,0,0,0.2,9.4,0,0.6,0,0,0.2,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1966,0,0,0,12.4,0.5,0.1,0,0,0,0,0,0.1,4.2,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,4.9,24.2,0,0,0.2,10,0,0.6,0,0,0.2,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5
1967,0,0,0,12.3,0.4,0.1,0,0,0,0,0,0.1,4.3,0,0,0,0.1,0.3,0,0,0.1,0,0,0,0,0,8.9,26.5,0,0,0.1,9.9,0,0.4,0,0,0.3,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1968,0,0,0,11.4,0.4,0.1,0,0,0,0,0,0.1,4.3,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,8.6,26.8,0,0,0.2,11.5,0,0.8,0,0,0.2,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4
1969,0,0,0,12.1,0.5,0,0,0,0,0,0,0.1,4.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,9.6,24,0,0,0.1,11.3,0,0.4,0,0,0.3,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5
1970,0,0,0,10.7,0.4,0,0,0,0,0,0,0.1,4.4,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,8.2,25.9,0,0,0.1,11.6,0,0.7,0,0,0.2,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5
1971,0,0,0.1,11.4,0.4,0,0,0,0,0,0,0.1,4.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6,24,0,0,0.2,11.5,0,1.1,0,0,0.3,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6
1972,0,0,0,11.6,0.3,0,0,0,0,0,0,0.1,4.9,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,3.8,22.5,0,0,0.4,17.5,0,1.4,0,0,0.3,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5
1973,0,0,0.1,12.8,0.3,0.1,0,0,0,0,0,0.1,5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3.2,21,0,5.3,0.4,15.8,0,1.5,0,0,0.4,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
1974,0,0,0.1,13.6,0.3,0,0,0,0,0,0,0.1,5,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,4.8,22.4,0,2.4,0.5,16.3,0,1.7,0,0,0.4,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
1975,0,0,0,15.4,0.3,0,0,0,0,0,0,0.1,4.9,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0,5.3,23,0,4.7,0.4,15.5,0.1,1.9,0,0,0.4,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6
1976,0,0,0.1,16.4,0.3,0,0,0,0,0,0,0.1,4.8,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0.8,0.6,25.9,0,0,0.6,10.4,0.1,2.1,0,0,0.4,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7
