year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,90.6,0,0,0,0,0.1,0.1,0,0,1.9,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0,1.8,0,0.3,0,0,0,0.2,14.4,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1962,0,0,0.1,86.1,0,0,0,0,0.1,0.1,0,0,1.9,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,1.2,0,0.2,0,0,0,0.2,15.8,0.1,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1963,0,0,0,86.8,0,0,0,0,0.1,0.1,0,0,2,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0,1,0,0.2,0,0,0,0.2,15.7,0.2,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1964,0,0,0,92.2,0,0,0,0,0.1,0.1,0,0,2.3,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0,1.1,0,0.2,0,0,0,0.2,14.8,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1965,0,0,0,85.5,0,0,0.1,0,0.1,0.1,0,0,2.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.7,0,0.2,0,0,0,0.2,14.9,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1966,0,0,0.1,83.7,0,0,0.1,0,0.1,0.1,0,0,2.2,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.9,0,0.2,0,0,0,0.5,14.1,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1967,0,0,0,79.3,0,0,0.2,0,0,0.1,0,0,2.2,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.9,0,0.2,0,0,0,0.2,14.7,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1968,0,0,0,91.2,0,0,0.1,0,0.1,0.1,0,0,2.3,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.8,0,0.3,0,0,0,0.2,14.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1969,0,0,0,93.5,0,0,0.1,0,0.1,0.1,0,0,2.3,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.7,0,0.3,0,0,0,0.1,13.2,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
1970,0,0,0,98.7,0,0,0.1,0,0.1,0.1,0,0,2.3,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.8,0,0.3,0,0,0,0.2,13.8,0.1,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1
