"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,0,0,0,68.8,0.5,0,0.3,1.9,0,465.8,0,0,23.3,0,21.4,0,0,33.7,0,0,0.8,0.8,0,0.8,0.3,0.3,0.3,0,0,3.6,0.5,0.8,0,3.3,2.5,1.4,8.8,0,0,2.5,7.4,0,13.4,0,15.9,0,0,0,0.5,29.3,6.6,6.8,2.5,34.5
1962,0,0,0,70.4,0.5,0,0.3,1.9,0,463.3,0,0,18.9,0,23.8,0,0,33.2,0,0,1.1,1.1,0,0.5,0.3,0.3,0.3,0,0,3.6,0.5,0.5,0,2.7,2.2,1.4,8.8,0,0,2.5,6,0,12.6,0,16.2,0,0,0,0.3,31.5,6.6,6.3,2.2,32.9
1963,0,0,0,71.5,0.5,0,0.5,1.9,0,465.8,0,0,29.6,0,21.4,0,0,33.4,0,0,1.1,1.6,0,0.8,0,0.3,0.3,0,0,3,0.5,1.9,0,2.7,2.2,1.4,8.2,0,0,2.5,5.2,0,14,0,16.7,0,0,0,0.3,31.8,6.6,6.6,2.2,32.6
1964,0,0,0,76.2,0.3,0,0,1.6,0,457.3,0,0,32.1,0,25.2,0,0,32.9,0,0.3,1.4,1.9,0,0.8,0,0.3,0,0,0,3.3,0.5,1.6,0,2.7,2.2,1.6,8.8,0,0,2.5,4.9,0,11.8,0,17.5,0,0,0,0.3,33.4,6.6,6,2.2,33.2
1965,0,0,0,78.1,0.3,0,0,2.5,0,449.3,0,0,24.9,0,26.6,0,0,30.7,0,0,1.1,1.9,0,1.1,0.3,0,0.3,0,0,2.5,0.5,2.7,0,2.2,1.9,1.6,8.2,0,0,2.5,3.3,0,14.5,0,18.9,0,0,0,0.3,36.4,6.8,6.6,2.5,34.5
1966,0,0,0,72.1,0.3,0,0,2.2,0,440,0,0,25.2,0,31.5,0,0,29.9,0,0.3,0.5,2.5,0,1.1,0,0.3,0.3,0,0,2.7,0.5,1.9,0,1.1,2.5,1.6,8.2,0,0,2.2,3.3,0,17.3,0,18.6,0,0,0,0.3,43.3,7.4,6.6,2.5,38.1
1967,0,0,0,71,0.3,0,0.3,1.9,0,397,0,0,27.7,0,29.6,0,0,32.3,0,0.3,0.5,3.6,0,1.1,0,0.8,0.3,0,0,2.7,0.5,0.5,0,1.1,2.2,1.6,7.7,0,0,2.5,3.3,0,20.8,0,29.3,0,0,0,0.3,44.4,7.9,8.2,2.5,38.4
1968,0,0,0,72.3,0.3,0,0,2.7,0,432.6,0,0,19.7,0,29.6,0,0,33.7,0,0.3,0.5,3.8,0,1.1,0,0.8,0.3,0,0,3,0.5,0.5,0,1.1,2.5,1.9,7.4,0,0,2.5,2.7,0,24.1,0,29.9,0,0,0,0.3,40,9.6,8.2,2.7,38.9
1969,0,0,0,72.3,0.5,0,0.3,2.7,0,428.8,0,0,37.8,0,27.9,0,0,28.5,0,0.3,0.5,4.1,0,0.8,0,0.8,0,0,0,2.7,0.5,1.4,0,1.1,2.5,1.9,9,0,0,2.5,3.8,0,26.6,0,30.4,0,0,0,0.3,40.8,10.4,7.4,3,37
1970,0,0,0,75.6,0.5,0,0,2.5,0,450.4,0,0,41.4,0,21.9,0,0,25.8,0,0.3,0.5,3.6,0,0.5,0,0.8,0,0,0,2.7,0.5,1.6,0,1.1,2.2,1.9,9.3,0,0,2.5,3.6,0,28.5,0,31.5,0,0,0,0,38.9,7.7,7.1,2.7,37.3
1971,0,0,0,75.9,0.5,0,0,1.9,0,411,0,0,41.9,0,21.6,0,0,25.2,0,0.3,0.5,3.3,0,0.5,0,0.5,0,0,0,3,0.5,1.4,0,0.8,2.2,2.2,9.3,0,0,2.5,3.6,0,28.2,0,30.1,0,0,0,0.3,37.5,7.4,6.8,2.7,36.2
