year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,2.2,0,4.1,155.3,17.5,6.3,95.1,0,3,19.7,0,0,142.2,12.3,84.4,0,0,26.3,0,10.1,39.7,1.9,0,0,0.3,5.8,0,0,0,0,0,0.5,0,0,1.1,1.6,2.7,0,0,0,0,80.3,255.3,21.6,6.6,0,0.8,2.2,0.3,52.3,0,18.9,32.6,107.1
1962,2.2,0,4.1,155.1,18.6,7.4,94.8,0,2.7,24.1,0,0,142.2,12.1,98.6,0,0,26,0,10.4,40.3,2.2,0,0,0.3,5.2,0.3,0,0,0,0,0.3,0,0,1.1,1.6,2.5,0,0,0,0,72.3,258.6,20.8,6.8,0,0.8,2.2,0.3,54.2,0,18.6,31.2,111.8
1963,3.8,0,4.1,182.7,19.7,9,90.7,0,3,20.5,0,0,152.9,11.8,111.2,0,0,25.8,0,10.4,40.5,2.2,0,0,0.3,4.9,1.1,0,0,0,0,0.3,0,0,1.6,1.6,2.7,0,0,0,0,72.1,260.5,22.5,6.8,0,0.8,2.2,0.3,54.2,0,18.1,31.2,116.2
1964,4.9,0,3.8,160.8,20.5,11.8,74,0,2.7,21.9,0,0,134,11.5,123.6,0,0,25.5,0,10.1,40.5,1.6,0,0,0.3,5.2,1.4,0,0,0,0,1.4,0,0.8,1.9,1.6,2.7,0,0,0,0,71,266,21.9,6.6,0,0.8,3.3,0.3,55.6,0,18.4,29.9,115.3
1965,4.1,0,3.6,163.6,19.5,7.9,82.5,0,3,23.3,0,0,153.2,12.6,129,0,0,25.2,0,10.4,41.4,1.6,0,0,0.3,6,0.3,0,0,0,0,0.8,0,1.1,1.9,1.6,2.5,0,0,0,0,73.4,264.1,22.2,6.3,0,0.8,1.9,0.3,60.5,0,20.3,36.4,126
1966,3.8,0,3.8,169,21.9,7.9,87.7,0,3,24.4,0.3,0,139.2,12.1,135.6,0,0,25.5,0,10.4,41.4,1.9,0,0,0.3,5.8,0.3,0,0,0,0,0.5,0,0.8,1.6,1.6,2.5,0,0,0,0,77.8,246.6,20.8,6.3,0,0.8,2.5,0.3,63.3,0,20.8,38.1,138.1
1967,4.1,0,4.1,182.2,22.5,6.6,84.9,0,2.7,24.7,0.3,0,154.2,11.8,143,0,0,25.5,0,10.7,41.9,2.7,0,0,0.5,6.6,0.3,0,0,0,0,0.5,0,0.8,1.9,1.4,2.5,0,0,0,0,85.2,229.6,22.2,6.3,0,0.8,3.8,0.5,66.6,0,22.2,40.3,137.3
1968,4.7,0,4.1,174,22.2,6.8,82.2,0,3,31,0.3,0,141.6,11.8,147.9,0,0,24.7,0,10.7,42.2,2.7,0,0,0.3,7.1,0,0,0,0,0,0.3,0,0.5,1.6,1.4,2.2,0,0,0,0,92.6,282.5,21.4,5.8,0,0.8,4.7,0.3,68.5,0,21.1,42.2,137
1969,4.4,0,4.1,187.9,24.1,6.3,84.9,0,2.5,27.9,0.3,0,123.3,11.5,150.1,0,0,24.4,0,9.3,34,2.7,0,0,0.5,7.7,0,0,0,0,0,0.5,0,0.5,2.2,1.4,2.7,0,0,0,0,96.2,289.6,21.6,5.8,0,0.8,4.7,0.5,71.5,0,20,26.3,112.1
1970,3.6,0,3.8,198.9,26,7.1,79.7,0,2.7,30.7,0.3,0,143.8,12.1,153.7,0,0,24.1,0,10.4,37.8,3.3,0,0,0.8,6,1.1,0,0,0,0,0.8,0,2.2,0.3,1.4,2.7,0,0,0,0.3,97.5,295.9,23.3,6,0,0.8,4.7,0.8,75.9,0,21.6,26,121.4
1971,3.6,0,4.1,191.2,27.4,9,78.4,0,3,34.2,0.3,0,149.9,12.1,160.8,0,0,25.8,0,10.7,40.8,3.3,0,0,1.6,3.8,0,0,0,0,0,1.4,0,3.3,0.5,1.9,2.7,0,0,0,0.3,100.8,311.5,22.2,6.3,0,1.1,5.5,0.8,80.5,0,21.6,26,118.4
1972,3,0,5.8,201.1,28.2,7.9,78.4,0,1.4,31.2,0.3,0,139.2,11.8,160,0,0,25.8,0,11.2,41.9,3,0,0,3,3.8,0,0,0,0,0,1.4,0,3,0.8,1.9,2.5,0,0,0,0.3,101.4,295.9,24.4,6,0,1.6,4.9,0.8,78.9,0,22.2,25.2,127.7
