"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,207.9,0,42.2,14.5,0,78.4,1.6,0,3,0,3.3,4.4,0,357,0,0,30.4,0,0,0,0,0,0,0,1.1,0,0,1.1,0,0,0.5,0,0,186.6,23.3,1.9,0,0,0,0,237,18.4,86.8,330.4,5.2,0,0,0,0.8,0,0,0,"84.4,"
1962,0,205.8,0,44.4,15.3,0,75.1,1.6,0,3.8,0,3.3,6.6,0,350.7,0,0,30.7,0,0,0,0,0,0,0,0.8,0,0,1.1,0,0,0.5,0,0,183.3,21.1,1.9,0,0,0,0,232.1,17.3,85.5,324.9,5.2,0,0,0,1.4,0,0,0,"83,"
1963,0,212.1,0.3,46.6,15.9,0,72.6,1.6,0,1.6,0,3.3,7.1,0,352.3,0,0,31.8,0,0,0,0,0,0,0,0.8,0,0,1.1,0,0,0.5,0,0,170.4,24.9,1.9,0,0,0,0,228.8,18.6,88.5,319.2,4.9,0,0,0,1.4,0,0,0,"81.6,"
1964,0,223.6,0.3,47.9,17.3,0,85.5,1.6,0,1.6,0,3.3,7.1,0,370.1,0,0,32.9,0,0,0,0,0,0,0,1.4,0,0,1.1,0,0,0.5,0,0,189,26.3,1.9,0,0,0,0,236.7,18.4,91.2,321.9,4.9,0,0,0,0.3,0,0,0,"86.6,"
1965,0,223.3,0.3,59.2,17,0,82.7,1.6,0,2.2,0,3.6,8.2,0,363,0,0,32.9,0,0,0,0,0,0,0,1.4,0,0,1.1,0,0,0.5,0,0,180.8,27.4,1.9,0,0,0,0,232.3,18.1,89.6,315.9,4.9,0,0,0,1.6,0,0,0,"84.9,"
1966,0,224.7,0.3,56.4,16.7,2.5,82.5,1.6,0,1.6,0,3.8,9.6,0,355.9,0,0,34.2,0,0,0,0,0,0,0,1.4,0,0,1.4,0,0,0.5,0,0,176.2,27.4,1.6,0,0,0,0,227.9,17.8,79.5,309.9,4.7,0,0,0,1.9,0,0,0,"83.6,"
1967,0,221.6,0.3,54,17.3,0.8,85.5,1.6,0,0.5,0,3.3,8.8,0,348.5,0,0,35.1,0,0,0,0,0,0,0.3,2.2,0,0,1.4,0,0,0.5,0,0,187.7,26.8,1.6,0,0,0,0,227.4,18.4,81.9,311.5,4.7,0,0,0,2.2,0,0,0,"81.9,"
1968,0,223.8,0.3,57.3,15.3,1.1,87.1,1.6,0,2.7,0,3.3,11.5,0,349,0,0,35.1,0,0,0,0,0,0,0.3,2.5,0,0,1.4,0,0,0.5,0,0,192.3,26.3,1.6,0,0,0,0,223,18.1,84.4,305.5,4.7,0,0,0,2.2,0,0,0,"81.9,"
1969,0,218.6,0,63.6,15.1,0,89.3,1.4,0,1.6,0,3,8.5,0,343.3,0,0,35.9,0,0,0,0,0,0,0.3,2.5,0,0,1.6,0,0,0.5,0,0,183.8,13.7,1.6,0,0,0,0,219.2,16.4,76.7,300.5,4.4,0,0,0,2.2,0,0,0,"82.2,"
1970,0,215.9,0.3,61.4,19.5,0,91.8,1.6,0,2.5,0,3,11.5,0,333.2,0,0,35.3,0,0,0,0,0,0,0.3,1.9,0,0,1.6,0,0,0.5,0,0,191.2,21.1,1.6,0,0,0,0,202.2,16.7,75.1,282.7,4.7,0,0,0,4.7,0,0,0,"82.5,"
