"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,1.9,0,10.4,61.6,5.2,0,270.4,0,0,22.2,0,0,31.2,0,23.6,0,0,64.1,0,0,0,0,0,55.9,0,2.5,0.3,1.4,0,0,0,0,0,0,0,0,32.1,0,0,10.4,0,17.3,36.2,12.6,74.2,0,0,0,0,40.3,0,6.8,1.1,11.5
1962,1.9,0,11.2,62.2,4.9,0,224.9,0,0,11,0,0,32.1,0,22.5,0,0,62.7,0,0,0,0,0,55.9,0,2.5,0.5,1.6,0,0,0,0,0,0,0,0,51.8,0,0,10.1,0,21.1,37.3,13.2,83.6,0,0,0,0,40.8,0,5.5,1.1,11.2
1963,1.9,0,10.7,66,4.9,0,202.7,0,0,12.9,0,0,32.9,0,13.4,0,0,60.8,0,0,0,0,0,54.2,0,2.2,0,1.9,0,0,0,0,0,0,0,0,54.5,0,0,9.9,0,24.9,35.3,12.9,70.7,0,0,0,0,37,0,8.5,1.1,11
1964,1.9,0,12.1,67.1,4.7,0,231.5,0,0,17,0,0,32.1,0,26.8,0,0,59.2,0,0,0,0,0,55.1,0.5,1.1,0.8,1.6,0,0,0,0,0,0,0,0,53.7,0,0,9.6,0,26.3,34,12.6,73.7,0,0,0.3,0,39.7,0,8.2,1.1,10.4
1965,1.9,0,13.2,68.8,4.9,0,225.8,0,0,18.9,0,0,40.5,0,35.9,0,0,62.2,0,0,0,0,0,54.8,0.8,4.4,0.5,1.6,0,0,0,0,0,0,0,0,63,0,0,9.3,0,26.8,35.1,11.5,66.8,0,0,0.3,0,37.8,0,7.1,0.8,10.7
1966,1.6,0,13.4,69.9,4.9,0,233.7,0,0,16.4,0,0,29.6,0,12.6,0,0,59.5,0,0,0,0,0,54.2,0,1.1,0.3,1.6,0,0,0,0,0,0,0,0,57,0,0,9,0,27.4,31.2,12.9,60,0,0,0.8,0,44.1,0,9.3,0.5,9.9
1967,1.9,0,11.5,82.7,6,0,237,0,0,17,0,0,35.9,0,20,0,0,59.2,0,0,0,0,0,54.2,1.1,1.4,1.4,1.9,0,0,0,0,0,0,0,0,43.6,0,0,8.8,0,33.7,31,24.4,67.7,0,0.3,1.6,0,43,0.5,9.3,0.5,9.9
1968,2.5,0,14.5,80.8,6.6,0,244.4,0,0,17.3,0,0,38.6,0.3,10.7,0,0,58.4,0,0,0,0,0,53.7,0.8,1.9,1.1,2.2,0,0,0,0,0,0,0,0,22.5,0,0,8.5,0,27.9,33.2,14.2,30.1,0,0,1.4,0,46.3,0.5,7.9,0.3,9.6
1969,3,0,11.5,87.4,8.5,1.4,232.1,0,0.8,23.3,0,0,41.9,0,32.6,0,0,55.1,0,0,0,0,0,51.2,0.8,2.2,0.8,2.5,0,0,0,0.3,0,0,0,0,24.9,0,0,8.2,0,27.9,25.5,74.8,35.9,0,0.3,1.6,0,54,0.5,6.3,0.8,9.6
1970,3.6,0,10.7,100.3,11.8,0.3,244.9,0,0.3,26.3,0,0,43,0,24.7,0,0,53.4,0,0,0,0,0,49,0,1.4,0.3,1.9,0,0,0,0.8,0,0,0,0,21.1,0,0,8.2,0,19.2,27.9,54.8,21.1,0,0.3,3.3,0,54,0.8,5.5,0.8,9.3
1971,2.5,0,11.8,139.5,14.8,1.6,216.2,0,0,32.6,0,0,52.9,0,13.2,0,0,50.4,0,0,0,0,0,46.6,0,3.6,0.8,2.7,0,0.3,0,0.8,0,0,0,0,26.6,0,0,7.9,0,9.3,21.6,45.8,12.9,0,0.3,5.2,0,53.2,1.4,5.2,0.8,9.6
1972,3.6,0,18.1,124.7,20.3,0.3,226.3,0,0,38.4,0,0,55.3,0.3,11,0,0,49.6,0,0,0,0,0,44.7,0.5,1.6,1.4,2.2,0,0.5,0,0.3,0,0,0,0,44.9,0,0,7.7,0,1.9,19.7,21.6,1.9,0,0.3,3.3,0,53.2,1.6,4.1,0.8,9.9
1973,3,0,19.2,101.1,20,0.8,206.6,0,0,42.5,0,0,67.4,0.3,24.4,0,0,47.9,0,0,0.3,0,0,42.7,0.5,0.8,1.6,2.7,0,0.8,0,0.3,0,0,0,0,50.7,0,0,7.7,0.3,4.4,21.4,31.5,8.8,0,0.3,2.5,0,37.3,1.9,4.7,0.8,9.9
1974,2.2,0,19.5,94.8,31.2,0.5,235.1,0,0,30.4,0,0,38.1,0.3,22.2,0,0,46.6,0,0,0.3,0,0,41.4,0.3,1.4,1.4,1.9,0,0.8,0,0,0,0,0,0,41.9,0,0,7.1,0,14.5,23.6,54.2,9.6,0,0.3,4.9,0,37.8,2.2,4.1,0.8,9.6
