"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,2.5,0,175.3,340.8,43.6,0,6.3,0,3.8,26,1.4,0,354.5,25.5,5.8,0,0,32.1,0,5.8,14.2,0,0,0.3,0,0,0,2.2,0,4.9,0,4.9,4.4,0.5,13.7,1.9,0.8,0,0,0,0,0,227.4,0,2.2,0,0.5,1.6,5.2,74,0,29,38.6,239.2
1962,2.5,0,170.1,374,40.5,0,6.6,0,3.8,18.6,1.6,0,352.6,24.9,8.2,0,0,31.8,0,6,14.8,0.3,0,0.3,0,0,0,2.2,0,3.8,0,7.1,4.4,0.5,15.3,1.6,0.5,0,0,0,0,0,193.7,0,2.5,0,0.3,1.4,5.5,95.1,0,23.8,38.4,238.4
1963,4.4,0,176.4,379.7,42.7,0,6.6,0,2.5,20.3,1.9,0,358.4,23.3,9.9,0,0,32.9,0,4.9,11.8,0.3,0,0.3,0,0,0,2.2,0,6.6,0,5.8,5.2,0.5,14.2,1.1,1.1,0,0,0,0,0,216.2,0,2.7,0,0.5,2.7,6.8,97,0,31.2,38.6,239.7
1964,5.5,0,172.1,364.9,37.5,0,7.4,0,3,21.6,2.5,0,377.3,23.6,8.8,0,0,32.3,0,6.3,12.6,0.3,0,0,0,0,0,2.2,0,7.4,0,2.7,5.8,0.5,12.1,0.8,1.1,0,0,0,0,0,199.2,0,3,0,0.5,2.2,4.9,87.4,0,24.1,38.9,237.8
1965,4.9,0,163.8,384.1,54.5,0,7.9,0,3.3,20.3,2.2,0,380,24.4,8.5,0,0,34.2,0,6.6,12.6,0.3,0,0,0,0,0,1.9,0,7.7,0,0.8,5.5,0.8,12.1,1.1,1.4,0,0,0,0,0,172.3,0,3,0,0.5,2.7,5.8,80.8,0,29,39.2,239.5
1966,4.9,0,162.7,401.4,57.3,0,8.5,0,4.4,23.3,3,0,392.1,24.1,12.6,0,0,34.2,0,6.8,11.5,0.3,0,0,0,0,0,1.9,0,8.2,0,0.8,6.6,0.5,12.6,3.8,1.4,0,0,0,0,0,196.4,0,3.6,0,1.1,3,5.2,97.5,0,38.4,39.5,230.1
1967,4.7,0,165.2,374.5,55.9,0,10.7,0,3.8,22.5,2.2,0,384.7,25.8,15.9,0,0,38.1,0,8.5,11.2,0.3,0,0,0,0.3,0,1.9,0,7.9,0,3.3,5.8,0.5,14.8,1.9,2.2,0,0,0,0,0,168.2,0,3.6,0,0.8,2.2,5.2,99.7,0,21.6,39.7,226.3
1968,4.7,0,156.2,387.9,54.2,0,10.1,0,3.8,21.9,1.9,0,385.8,25.2,20.5,0,0,35.3,0,9.3,12.1,1.4,0,0,0,0,0,1.9,0,6.3,0,3.8,10.7,0.5,13.4,2.7,1.6,0,0,0,0,0,165.5,0,3.8,0,0.3,2.7,5.5,104.7,0,13.4,40,221.4
1969,4.7,0,140,387.4,48.5,0,10.1,0,3,21.1,2.5,0,380.5,27.7,29.3,0,0,36.2,0,9.9,10.7,1.4,0,0.3,0,0,0,1.4,0,8.2,0,4.4,6,0.5,14,1.4,1.9,0,0,0,0,0,135.6,0,3.8,0,0.5,2.7,6.3,101.6,0,17.5,41.1,217
1970,5.2,0,138.4,414.5,55.1,0,11,0,3.3,16.2,2.5,0,374,26.6,20.5,0,0,36.4,0,10.1,11.5,0.8,0,0.3,0,0.3,0,0.8,0,8.8,0,6.3,3,0.5,14,1.6,2.2,0,0,0,0,0,153.4,0,3.8,0,0.5,2.2,5.5,98.9,0,21.1,42.7,210.1
1971,6,0,151,367.9,54.5,2.7,12.3,0,2.7,19.2,3,0,388.5,25.5,20,0,0,38.6,0,10.7,11.5,1.4,0,0.3,0,0.3,0,0.8,0,9.3,0,4.1,3,0.5,13.7,1.9,3,0,0,0,0,0,186.8,0,3.8,0,1.1,3,5.8,105.5,0.3,15.6,44.1,205.5
1972,6,0,147.9,401.9,55.1,0,11.5,0,3.8,19.5,3,0,397.5,17,22.2,0,0.3,38.9,0,12.9,11.5,0.8,0,0,0,0,0,0.5,0,8.8,0,4.9,2.2,0.5,14.2,2.5,4.4,0,0,0,0,0,161.4,0,2.7,0,0.8,2.7,5.2,109.3,0,22.5,41.4,198.9
1973,3.8,0,149.9,371.5,56.7,0,13.4,0,3.8,16.7,3,0,416.2,18.9,11.5,0,0,41.1,0,14.5,11.5,0,0,0,0,0,0,0.5,0,5.8,0,6.8,1.9,0.5,12.9,1.9,2.7,0,0,0,0,0,119.5,0,2.2,0,0.8,2.5,4.1,87.1,0.3,21.4,36.7,191.8
1974,4.7,0,150.7,412.1,45.5,0,12.9,0,3.3,24.9,4.1,0,411.2,17.8,15.3,0,0,47.7,0,15.6,12.1,0,0,0,0,0,0,0.5,0,4.7,0,7.7,1.9,0.5,13.4,1.9,1.9,0,0,0,0,0,171.8,0,2.2,0,0.5,3,5.5,87.4,0.3,27.4,29.9,189.3
1975,5.5,0,144.4,357,40.3,0,11.5,0,2.7,18.4,3.8,0,382.2,17,9.6,0,0,46.6,0,15.6,11.5,0.3,0,0,0,1.1,0,0.5,0,8.2,0,5.2,1.9,0.5,10.7,0.3,1.6,0,0,0,0,0,156.7,0,1.9,0,0.3,1.4,3.3,82.2,0,31,30.7,193.4
1976,7.7,0,149,354.2,39.7,0,11.5,0,3.3,18.1,3.6,0,402.7,12.1,6.8,0,0,35.9,0,14.8,11.8,0.3,0,0.3,0,0,0,0.3,0,10.1,0,7.9,2.7,0.5,13.4,0.8,1.6,0,0,0,0,0,145.8,0,1.9,0,0.3,1.6,4.4,92.9,0.3,23.3,31.8,197.3
1977,5.8,0,146,359.5,40.5,0,12.3,0,3.3,20.5,3.6,0,373.2,15.3,6.8,0,0,34.5,0,15.6,12.6,0.3,0,0.3,0,0,0,0.5,0,9.6,0,9.3,0.5,0.3,11.8,2.5,2.2,0,0,0,0,0,185.8,0,1.9,0,0.5,1.1,4.4,97.3,0.3,10.1,32.9,207.7
1978,6.8,0,147.4,376.4,41.4,0.5,12.3,0,2.7,20.8,2.5,0,354.5,11,15.9,0,0,30.7,0,14,13.2,0.3,0,0.3,0,0,0,0.5,0,9,0,13.2,3,0.3,10.4,2.7,0.5,0,0,0,0,0,199.2,0,1.6,0,0.5,1.4,4.7,102.7,0.3,50.1,51,220.3
1979,7.1,0,143,407.9,44.7,0,12.1,0,2.5,20.3,1.9,0,378.9,16.4,26.8,0,0,32.1,0,13.7,13.4,0.8,0,0.3,0,0.3,0,0.5,0,8.2,0,11.2,3.3,0.5,11,2.2,2.7,0,0,0,0,0,146.3,0,1.6,0,0.8,3,5.8,102.5,0.3,54.5,74.5,238.1
1980,6.3,0,138.1,422.7,47.9,0,9,0,2.5,23.6,2.2,0,374,12.6,19.7,0,0,28.8,0,13.2,14,1.9,0,0.8,0,0.3,0,0.5,0,8.5,0,11.2,4.4,0.5,9.3,2.7,3.8,0,0,0,0.3,0,172.6,0,1.6,0,1.1,1.6,5.8,103.3,0.5,49.6,63.6,234
1981,6.3,0,136.4,438.1,49,0,9.3,0,1.9,23,1.9,0,375.1,15.6,27.1,0,0,29.3,0,14.2,14,1.1,0,0.8,0,0.3,0,0.5,0,1.9,0,16.7,1.9,0.8,12.6,2.2,2.5,0,0,0,0,0,198.1,0,1.6,0,1.1,2.5,3.8,101.1,0.3,56.2,67.7,235.9
1982,5.2,0,132.3,412.9,46.6,0,10.1,0,2.2,24.9,1.1,0,366.8,21.1,21.4,0,0,39.7,0,14.5,15.6,0.8,0,0.8,0,0.3,0,0.8,0,1.4,0,17.3,2.5,0.5,12.9,1.4,2.7,0,0,0,0,0,162.2,0,1.6,0,0.8,1.6,4.4,95.1,0.5,51.8,65.5,226.6
1983,4.9,0,120.8,387.7,46.3,0,12.3,0,1.6,23.8,0.8,0,360.3,27.1,10.4,0,0,40.5,0,14.2,14.8,0.8,0,0.3,0,0.3,0,0.5,0,0.5,0,20.5,1.9,0.8,12.3,1.1,1.9,0,0,0,0,0,120,0,1.6,0,0.8,1.6,4.9,91.8,0.3,58.4,59.5,211.2
1984,4.4,0,122.2,374.5,45.8,0,13.4,0,1.9,24.7,0.8,0,352.1,27.7,8.8,0,0,37.5,0,11.8,15.3,0.3,0,0.3,0,0.3,0,0.5,0,0.8,0,18.1,2.2,0.8,12.9,1.1,3.6,0,0,0,0,0,200,0,1.6,0,0.8,1.6,3.6,98.4,0.3,61.4,56.2,198.9
1985,4.7,0,120.8,383.3,46,0,12.9,0,1.6,23,2.5,0,346.3,31.2,6.8,0,0,36.4,0,11.5,15.6,0.3,0,0.5,0,0.3,0,0.5,0,3,0,16.7,3.3,0.8,9.9,1.6,3,0,0,0,0,0,173.4,0,1.4,0,0.8,1.4,4.4,91,0.3,41.4,46.8,151.5
1986,4.4,0,89.3,378.6,45.8,0,12.9,0,1.9,23.6,1.6,0,370.7,24.9,7.7,0,0,26.3,0,13.2,15.9,0.5,0,0.3,0,0.5,0,0.3,0,8.8,0,7.9,5.5,0.3,6.6,0.8,3,0,0,0,0,0,144.1,0,1.4,0,0.8,0.8,3.6,98.1,0.3,41.1,50.4,151
1987,4.7,0,87.1,396.7,55.3,0.3,12.9,0,1.6,22.2,0.8,0,373.7,24.4,9.3,0,0,27.7,0,12.9,17,0.5,0,0.3,0,0.5,0,0.3,0,8.5,0,6.8,4.1,0.5,4.7,1.1,3.8,0,0,0,0,0,127.7,0,1.4,0,1.1,1.1,4.1,102.5,0.3,38.6,55.3,156.7
1988,3.6,0,79.2,401.9,56.4,1.4,9.9,0,2.7,21.9,0.5,0,351.5,26.3,10.7,0,0,34.2,0,11.2,18.9,0.5,0,0.8,0,0.5,0,0.3,0,8.5,0,6.3,4.9,0.3,3.8,0.8,3.3,0,0,0,0,0,165.8,0,1.4,0,1.1,1.6,3.6,100.3,0.3,40,53.7,173.2
1989,3.6,0,77,435.1,57.3,0.3,12.1,0,2.2,20,1.6,0,339.7,32.9,11.2,0,0,47.4,0,13.2,18.9,0.8,0,0.5,0,0.5,0,0.3,0,7.7,0,6,4.4,0.3,3,1.1,3,0,0,0,0,0,155.6,0,1.4,0,1.1,1.1,3.6,105.2,0.3,49.6,43,178.1
1990,3.6,0,83,460.8,54,0.3,13.7,0,2.7,19.7,1.1,0,346,33.7,12.3,0,0,46.8,0,15.6,18.4,0.8,0,0.5,0,0.5,0,0.3,0,6.6,0,11,4.7,0.3,3,1.1,3,0,0,0,0,0,141.1,0,1.4,0,1.1,1.4,3.6,105.5,0.5,35.6,44.7,172.3
1991,3.6,0,57,461.4,55.1,0,11.2,0,1.9,21.4,1.6,0,348.2,28.8,11.5,0,0,35.6,0,15.1,18.1,0.8,0,0.8,0,0.5,0,0.3,0,6.8,0,12.9,6,0.3,4.7,1.1,3.6,0,0,0,0,0,140.8,0,1.4,0,1.6,1.6,3.8,105.8,0.3,35.1,49.6,192.9
1992,3.6,0,62.7,520.3,65.2,0,15.3,0,1.9,20.8,1.4,0,342.7,24.7,15.6,0,0,39.5,0,16.2,19.2,1.1,0,1.1,0,0.8,0,0.5,0,4.9,0,15.1,6.8,0.5,4.1,1.9,4.1,0,0,0,0,0,170.7,0,1.6,0,1.1,2.5,3.8,117.8,0.3,36.7,27.9,183.6
1993,3.6,0,61.4,551.8,68.8,0,18.9,0,1.1,18.6,0.5,0,330.1,34.5,23.6,0,0,50.7,0,16.4,20,1.6,0,0.8,0,0.8,0,0.5,0,1.9,0,15.9,8.2,0.8,3.3,1.1,4.4,0,0,0,0,0,151.2,0,1.4,0,1.4,1.9,3.6,117.5,0.3,39.2,67.9,191
1994,3.6,0,59.7,555.1,61.4,0,21.9,0,1.4,21.4,0,0,326.8,32.1,26.8,0,0,55.3,0,16.4,20,1.4,0,1.1,0,0.8,0,0.3,0,1.9,0,15.9,9.3,0.3,2.5,1.4,4.4,0,0,0,0,0,145.2,0,1.4,0,1.9,1.4,3.8,118.9,0.3,42.7,81.6,200
1995,3.8,0,64.9,575.3,65.5,0,22.7,0,0.8,17.3,0.3,0,320.8,17.3,25.8,0,0,58.6,0,17.5,18.9,1.9,0,1.4,0,0.8,0,0.5,0,1.9,0,15.3,10.1,0.5,3,1.4,4.7,0,0,0,0,0,137.5,0,1.4,0,1.9,1.9,3.8,120.8,0.8,44.7,71.8,200.3
1996,3.8,0,69.6,597.5,64.7,0,18.9,0,0.8,20,0.3,0,310.4,23.8,26.6,0,0,65.8,0,16.4,21.6,2.2,0,0.8,0,0.8,0,0.3,0,2.2,0,15.3,10.1,1.4,4.7,1.6,5.2,0,0,0,0.3,0,126.3,0,1.1,0,2.2,1.9,3.6,122.7,1.9,57.5,92.6,179.2
1997,4.4,0,62.5,571.2,66.6,0,43,0,0.8,19.7,0.8,0,297.8,8.8,25.2,0,0,54,0,18.6,16.2,2.5,0,0.8,0,1.1,0,0.8,0,2.7,0,12.3,10.4,1.1,4.9,1.1,3.8,0,0,0,0.3,0,158.9,0,1.6,0,2.2,1.6,3.3,124.7,1.6,28.8,64.1,159.2
1998,4.1,0,80,576.2,65.8,0,39.5,0,0.8,17.8,0.5,0,303.8,8.2,24.4,0,0,44.4,0,17.5,18.1,1.9,0,0.5,0,1.1,0,0.5,0,2.7,0,12.3,10.4,1.4,4.4,1.4,3.6,0,0,0,0,0,138.6,0,1.1,0,2.5,1.9,3.6,126.8,1.4,31.8,61.6,163.6
1999,3.6,0,81.4,553.4,64.1,0,42.5,0,1.1,18.4,0.5,0,304.9,11.5,26.3,0,0,45.2,0,15.3,15.6,1.9,0,0.8,0,0.8,0,1.1,0,3,0,12.9,10.7,1.1,4.4,1.4,3.8,0,0,0,0,0,152.1,0,1.4,0,2.2,1.4,3.3,126.8,2.7,35.1,57.8,162.7
2000,4.9,0,81.4,564.1,56.4,0,42.7,0,1.1,18.6,0.3,0,305.2,3.3,32.1,0,0,51.8,0,17,16.7,1.9,0,0.8,0,1.1,0,1.4,0,3,0,12.6,12.1,1.1,5.2,1.4,4.1,0,0,0,0.3,0,148.8,0,1.4,0,2.2,1.6,3,121.4,3.3,40,74,158.4
2001,5.8,0,64.4,558.1,64.4,0,43,0,1.4,19.5,0.5,0,314,2.2,19.7,0,0,43.8,0,16.7,16.7,1.4,0,0.8,0,0.8,0,1.4,0,3,0,14.5,10.4,1.4,6.3,1.1,3.6,0,0,0,0,0,183.6,0,1.4,0,1.9,0.5,3,120.3,3,39.5,66.8,159.5
2002,5.5,0,62.2,564.1,62.5,0,34.2,0,1.4,19.5,1.4,0,317,20,23.8,0.3,0,55.6,0,18.9,19.5,2.2,0,0.8,0,1.1,0,1.9,0,3,0,15.3,9.9,1.9,6.3,1.4,4.1,0,0,0,0.3,0,200.3,0,1.4,0,2.5,0.8,3.6,120.5,3.3,42.5,75.1,161.4
2003,4.1,0,47.9,582.7,75.3,0,45.8,0,1.4,20.3,1.9,0,309.6,16.7,25.5,0.3,0,44.4,0,21.9,20,2.2,0,0.8,0,1.1,0,2.2,0,3,0,14.2,9.9,1.6,6.3,1.1,4.4,0,0,0,0,0,163.8,0,1.4,0,2.5,1.6,3.6,121.6,3.3,42.7,95.9,158.9
2004,5.5,0,63.3,564.9,75.3,0,48.2,0,1.4,22.7,1.6,0,311.5,9,25.5,0.3,0,51.5,0,19.2,20.8,3,0,0.8,0,1.4,0,2.7,0,2.7,0,13.7,9.6,1.6,6.8,1.1,4.7,0,0,0,0,0,169.3,0,1.4,0,2.5,1.6,4.4,115.6,3.6,41.9,89.9,157
2005,5.5,0,64.4,568.5,78.6,0.3,55.6,0,1.1,22.7,1.9,0,312.1,7.7,26.6,0.5,0,47.9,0,19.2,20,3,0,1.1,0,1.4,0,2.5,0,2.5,0,14.2,9.6,0.8,6.3,1.1,4.9,0,0,0,0.3,0,164.7,0,1.4,0,2.7,1.6,3.8,115.6,3.6,49.6,81.4,148.8
2006,5.8,0,59.2,588.8,95.9,0.3,57.3,0,0.8,23.8,0.3,0,311,6.8,26,0.5,0,61.9,0,16.2,19.7,3.6,0,1.1,0,1.4,0,2.5,0,3.8,0,12.6,7.4,3.8,5.5,1.1,6.3,0,0,0,0.3,0,182.7,0,1.4,0,3,1.9,4.1,114.8,4.4,52.6,78.6,142.7
2007,6.8,0,55.9,570.1,98.6,1.6,58.1,0,0.8,24.4,0.8,0,305.8,11.2,27.7,0,0,62.7,0,15.3,21.6,4.1,0,1.4,0,1.6,0,3,0,4.7,0,10.4,5.5,3.3,4.4,1.4,4.7,0,0,0,0.3,0,142.7,0,1.4,0,3,2.2,4.1,113.4,4.4,34.2,86.8,133.2
2008,6.8,0,54,598.6,102.5,12.6,60.5,0,4.1,26.3,0.8,0,302.5,7.1,26.8,0.8,0,78.6,0,17.8,20,4.7,0,1.1,0,1.6,0,3.6,0,4.7,0,10.7,3.6,2.5,3.8,1.4,4.7,0,0.3,0,0.3,0,144.1,0,1.6,0,3.3,0.8,4.4,112.9,3.3,28.2,70.7,139.2
2009,8.2,0,51.5,564.4,101.4,27.1,61.6,0,4.1,25.5,1.4,0,298.9,27.1,27.1,0.3,0,85.2,0,17.8,15.6,3.8,0,1.1,0,1.6,0,4.9,0,2.5,0,9.3,3.8,1.6,4.4,1.1,3.3,0,0,0,0.3,0,137.3,0,1.6,0,3,0.3,3.8,111.8,3.8,38.6,50.4,153.2
