"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,17.3,0,3.6,219.2,14,0,7.7,0,1.6,16.7,0,0,172.1,0.8,24.7,0,0,72.1,189.3,110.4,59.5,0,0,49.9,0,0.5,7.9,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.5,13.2,6.6,141.4,5.5,24.4,1.1,1.1,0,123.8,0,5.8,0,114.5
1962,15.1,0,3.6,241.6,14.2,0,8.2,0,1.6,21.9,0,0,191.8,0.8,13.2,0,0,72.9,181.9,152.3,54.8,0,0,48.8,0,0.5,8.2,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.2,13.2,6.6,144.9,5.2,23.6,1.1,1.1,0,118.1,0,5.8,0,112.9
1963,15.3,0,3.6,247.4,14.5,0,8.8,0,1.9,20.3,0,0,195.1,0.8,26,0,0,73.2,195.3,183.8,58.6,0,0,48.2,0,0.5,8.2,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.8,13.2,7.7,147.7,6,24.4,1.4,1.1,0,121.6,0,5.8,0,112.9
1964,15.6,0,3.8,253.4,14.8,0,8.5,0,1.9,19.2,0,0,193.4,0.8,27.9,0,0,73.7,169,154,65.2,0,0,47.7,0,0.5,8.2,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.8,13.2,7.7,147.1,6,24.7,1.4,1.4,0,124.4,0,5.8,0,112.6
1965,18.4,0,3.8,272.3,14.8,0,9,0,2.2,19.5,0,0,198.1,0.8,12.6,0,0,74,174.5,104.4,56.2,0,0,48.8,0,0.5,8.5,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.8,13.2,7.9,148.2,5.5,24.9,1.4,1.4,0,121.4,0,6,0,112.9
1966,18.6,0,4.1,264.9,15.1,0,8.8,0,2.2,21.9,0,0,167.1,0.8,39.5,0,0,76.2,165.8,73.4,58.1,0,0,55.6,0,0.5,8.5,0,0,0,0,0,0,0.5,0,0,2.7,0,0,0,5.8,13.2,7.7,136.7,6.3,25.2,0.8,1.4,0,136.7,0,5.8,0,115.1
1967,19.7,0,3.6,265.2,14.5,0,8.8,0,2.5,14.5,0,0,172.3,0.5,42.2,0,0,77.3,134.5,182.7,57.8,0,0,47.7,0,0.5,8.2,0,0,0,0,0,0,0.5,0,0,2.5,0,0,0,5.5,12.6,7.7,129.9,6.6,24.9,1.1,1.4,0,135.1,0,5.2,0,112.6
1968,21.1,0,3,287.7,17.8,0,8.2,0,2.2,18.6,0,0,193.2,0.8,43.6,0,0,74.5,158.1,166.6,54.8,0,0,47.7,0,0.3,7.9,0,0,0,0,0,0,0.3,0,0,5.8,0,0,0,5.5,12.6,8.2,125.2,5.5,24.9,0.5,1.1,0,137.5,0,6,0,116.2
1969,20.3,0,3,327.4,16.7,0,6.6,0,2.2,16.2,0,0,183.8,0.8,44.9,0,0,73.2,155.9,176.7,55.1,0,0,48.5,0,0.3,8.2,0,0,0,0,0,0,0.3,0,0,7.7,0,0,0,5.2,12.3,9.3,120.5,5.8,25.2,0.5,1.1,0,138.1,0,6.6,0,117.5
1970,21.4,0,3.8,310.4,26,0,6,0,1.6,16.4,0,0,181.9,1.4,48.5,0,0,72.3,152.3,154.2,58.1,0,0,50.4,0,0,7.7,0,0,0,0,0,0,0.3,0,0,9,0,0,0,5.2,12.1,9,116.2,4.4,25.5,0.8,1.1,0,138.6,0,6.6,0,118.6
1971,15.9,0,3.8,315.6,22.2,0,6.3,0,1.4,18.6,0,0,178.9,1.1,50.1,0,0,77.5,150.4,175.1,59.5,0,0,51.2,0,0,7.7,0,0,0,0,0,0,0.3,0,0,7.7,0,0,0,5.2,12.9,8.2,111.8,5.2,25.5,1.1,1.1,0,135.1,0,5.8,0,118.9
1972,20.8,0,3.6,303.8,15.6,0,7.7,0,1.9,18.4,0,0,181.9,1.6,51.8,0,0,80.8,130.1,188.5,45.8,0,0,52.6,0,0,9,0,0,0,0,0,0,0,0,0,9.9,0,0,0,5.5,12.6,4.4,112.9,5.2,26,1.9,1.4,0.3,130.7,0,7.4,0,121.9
1973,20,0,3.8,309.6,15.6,0,7.4,0,2.2,18.9,0,0,176.4,0.3,53.2,0,0,81.1,160,221.4,49.6,0,0,68.5,0,0,9.3,0,0,0,0,0,0,0,0,0,7.9,0,0,0,5.2,13.7,7.7,115.9,4.9,26.6,5.2,0.8,0,104.4,0,5.8,0,122.5
1974,20.3,0,3.6,318.6,15.6,0,6.8,0,0.8,20.8,0,0,178.9,0.3,58.9,0,0,80.8,163.3,162.2,73.7,0,0,63,0,0,8.2,0,0,0,0,0,0,0.3,0,0,4.4,0,0,0,5.2,13.7,6.6,116.7,5.8,27.1,7.1,1.1,0,115.1,0,4.7,0,125.2
1975,18.1,0,3.8,307.9,17,0,7.1,0,0.5,21.1,0,0,175.3,0.3,64.7,0,0,82.7,166.6,225.5,78.4,0,0,68.5,0,0,8.2,0,0,0,0,0,0,0,0,0,6.3,0,0,0,5.2,14,6.6,119.7,5.8,26.8,8.8,1.1,0,123,0,4.4,0,97.5
1976,18.6,0,4.1,272.1,16.2,0,8.8,0,1.4,19.5,0,0,177.5,0,112.6,0,0,78.4,318.9,242.2,39.7,0,0,67.1,0,0,7.9,0,0,0,0,0,0,0,0,0,6.8,0,0,0,5.5,13.7,5.5,124.4,5.2,30.4,7.4,0.8,0.3,124.9,0.5,4.7,0,101.1
1977,19.2,0,3,370.1,19.5,0,10.4,0,1.4,15.3,0,0,182.5,0,125.8,0,0,80.5,263.3,217.8,86.6,0,0,73.2,0,0,7.1,0,0,0,0,0,0,0,0,0,6.8,0,0,0,5.2,13.4,6,125.2,3.6,37.8,17.8,0.5,0,109.9,1.4,4.4,0,100
