year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0.5,10.4,0.3,135.9,90.1,112.9,51.8,11.8,0.5,0,0,80.3,61.1,0,2.2,0,0,5.2,0,0,1.1,0,0,0,0,0.5,7.4,0,0,0.5,1.9,0.5,0,1.9,4.9,9.3,33.2,0,0,8.5,0,0,19.2,41.1,8.8,17.3,0,7.1,0,4.7,0,1.9,2.5,22.7
1962,0.5,10.1,0.3,134.8,89.3,112.9,48.2,11.5,0.5,0,0,80,60.3,0,3,0,0.3,5.2,0,0.3,1.1,0,0,0,0,0.5,7.4,0,0,0.5,1.9,0.5,0,1.9,4.9,9.3,34.2,0,0,8.8,0,0,18.9,40.3,8.5,17,0,6.8,0,5.2,0,1.9,2.5,22.2
1963,0.5,9.9,0.3,130.4,89,112.9,47.9,11.2,0.5,0.3,0,79.7,59.2,0,2.5,0,0.3,5.8,0,0.3,1.1,0,0,0,0,0.5,7.4,0,0,0.5,1.9,0.5,0,1.9,4.9,9.3,34.8,0,0,8.5,0,0,18.6,39.5,8.2,18.9,0,6.8,0,6,0,1.9,2.7,22.5
1964,0.5,10.1,0.3,128.5,87.9,114.5,56.4,11.5,0.5,0.3,0,75.1,57,0,2.7,0,0,5.5,0,0.3,1.1,0,0,0,0,0.5,7.4,0,0,0.5,1.4,0.8,0,1.9,4.4,8.5,32.6,0,0,8.5,0,0,18.4,38.9,9,18.6,0,6.8,0,5.5,0,1.9,2.7,22.5
1965,0.5,9.9,0.3,128.5,89,112.6,58.1,11.2,0.5,0.3,0,59.7,60.5,0,2.7,0,0.3,5.5,0,0.3,1.1,0,0,0,0,0.8,7.4,0,0,0.5,0.8,0.8,0,1.9,5.2,9.3,36.2,0,0,8.2,0,0,18.1,38.4,8.8,18.6,0,6.8,0,6.8,0,1.9,2.7,23.3
1966,0.5,9.6,0,127.9,89,111,45.8,11,0.3,0.8,0,54.8,63,0,2.5,0,0.3,6,0,0.3,1.1,0,0,0,0,0.8,7.1,0,0,0.5,1.1,0.8,0,1.9,3,9,37.3,0,0,8.5,0,0,18.1,38.1,9.3,18.4,0,6.6,0,7.7,0,1.9,2.7,23
1967,0.5,9.6,0,127.9,84.9,109.6,54.8,10.7,0.3,0,0,51.8,61.4,0,2.5,0,0,6,0,0.3,1.1,0,0,0,0,0.8,7.1,0,0,0.5,2.5,0.8,0,1.9,3,9,38.1,0,0,7.9,0,0,17.8,37.8,9,18.4,0,6.8,0,7.4,0,1.9,2.7,23.3
1968,0.5,9.3,0,126,80.3,108.2,41.1,10.7,0.3,0,0,49,60.8,0,2.7,0,0,6,0,0.3,1.1,0,0,0,0.3,0.8,7.1,0,0,0.5,2.5,0.8,0,1.9,2.7,8.8,38.4,0,0,7.9,0,0,17.8,37.8,9.6,18.1,0,6.6,0,7.4,0,2.2,2.7,23.3
1969,0.5,9.3,0.3,124.7,80.5,106.8,51.2,10.4,0.3,0,0,51.8,61.6,0,2.7,0,0,6,0,0.3,1.1,0,0,0,0.3,0.8,7.1,0,0,0.5,3,0.8,0,1.9,2.7,8.8,38.1,0,0,7.9,0,0,17.8,37.5,9.3,18.1,0,6.3,0,7.1,0,2.2,2.7,23.3
1970,0.5,9,0.3,124.4,80.3,88.2,54,10.4,0.3,0,0,60.5,65.2,0,3.3,0,0,6.3,0,0.3,1.1,0,0,0,0.3,1.1,7.4,0,0,0.5,3,1.1,0,1.9,3,9,39.7,0,0,7.7,0,0,17.5,37,9,17.8,0,6.6,0,8.5,0,2.2,2.7,23
