year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,2.2,0,0.3,194.8,0,4.9,0,0,13.2,0,0,1.4,3.6,22.2,0.3,0,0,0,122.7,0,0,197,0,225.2,0,4.1,0.8,0,0,1.4,0,0,0,0.3,0,0,11,0,0.8,0.3,0.3,0,1.6,2.5,421.6,26,290.7,9.9,5.2,80.8,0,10.7,0,18.4
1962,1.9,0,0.3,204.7,1.6,7.4,0,0,14.5,0,0,3,3.6,19.2,0.3,0,0,0,115.1,0,0,211,0,219.7,0,4.4,1.1,0,0,0.8,0,1.9,0,0.3,0,0,13.2,0,0.5,0.5,0.3,0,1.6,2.7,406.8,24.7,299.2,9.3,4.9,80.8,0,9.9,0,16.2
1963,2.5,0,0.3,239.2,1.1,6,0,0,14.5,0,0,5.2,3.3,18.9,0.3,0,0,1.6,112.3,0,0,218.9,0,224.1,0,6.8,1.4,0,0,1.4,0,0.8,0,0.3,0,0,15.9,0,0.5,0.5,0.3,0,1.9,2.7,383,27.1,284.4,9,4.9,81.1,0,11,0.3,21.4
1964,3.3,0,0.3,320.3,1.6,8.5,0,0,17.3,0,0,1.6,2.7,23.8,0.3,0,0,1.6,107.1,0,0,218.1,0,216.7,0,5.8,1.1,0,0,0.8,0,0.5,0,0.3,0,0,16.7,0,0.8,0.3,0.3,0,1.9,2.5,371.2,30.7,257.5,9.3,4.7,81.9,0,13.7,0.5,20
1965,3.6,0,0.3,297,2.2,10.7,0,0,15.1,0,0,2.7,2.7,24.7,0.3,0,0,1.9,111.2,0,0,257.5,0,204.7,0,7.4,1.4,0,0,0.8,0,1.1,0,0.3,0,0,14,0,0.8,0.5,0.3,0,1.6,2.7,354.8,28.2,283.3,11,4.7,81.9,0,13.2,0.3,20
1966,2.7,0,0.3,282.7,1.9,10.4,0,0,13.4,0,0,1.6,2.7,25.2,0.3,0,0,1.4,109.9,0,0,206.3,0,197,0,7.7,1.1,0,0,0.8,0,0.5,0,0.3,0,0,14.8,0,0.5,0.3,0.3,0,1.6,2.5,351,30.4,252.6,9,4.4,82.7,0,9.6,0.5,20
1967,1.9,0,0.3,272.9,1.9,11.5,0,0,13.2,0,0,2.7,5.2,24.7,0.3,0,0,1.4,94.8,0,0,219.7,0,194.5,0,6.3,1.1,0,0,0.5,0,2.5,0,0.3,0,0,12.9,0,0.5,0.3,0.3,0,1.4,2.5,351.8,25.8,207.7,8.8,4.7,83.6,0,12.1,0.5,17.8
1968,2.7,0,0.5,238.9,2.2,10.1,0,0,12.1,0,0,3.3,8.8,31.2,0.3,0,0,1.6,88.5,0,0,216.7,0,197,0,6.8,1.4,0,0,0.5,0,3,0,0.3,0,0,16.7,0,0.8,0.5,0.3,0,1.6,2.7,349,24.4,223,8.5,5.8,84.9,0,12.1,0.5,24.7
1969,3.3,0,3.3,255.3,3,11,0,0,10.1,0,0,1.6,6,35.9,1.4,0,0,0.5,82.7,0,0,240.3,0,201.6,0,4.4,1.9,0,0,0.3,0,1.6,0,0.3,0,0,12.9,0,0.8,0.5,0.3,0,1.4,2.7,327.4,40.3,238.9,8.2,5.8,86,0.3,9.3,0.8,19.7
1970,3,0,3,286,2.5,11.2,0,0.3,13.7,0,0,2.7,4.1,41.6,0.8,0,0,0.5,105.2,0,0,107.7,0,190.1,0,3.6,1.4,0,0,0,0,4.1,0,0.3,0,0,14.8,0,0.8,0.5,0.3,0,1.6,3,343.3,32.6,179.5,12.9,4.7,86.3,0.5,15.3,0.8,20.5
1971,3.8,0,3.3,270.4,3,14,0,0,16.2,0,0,3.8,5.5,51.2,1.1,0,0,0.8,98.1,0,0,253.2,0,195.9,0,3,1.1,0,0,0,0,1.9,0,0.3,0,0,14,0,1.1,0.5,0.3,0.3,1.9,3,269,27.7,141.6,8.5,3.8,87.9,0.8,11.5,1.6,21.1
1972,4.4,0,3.3,270.4,3,12.9,0,0,15.9,0,0,2.5,4.7,54.2,0.8,0,0,1.1,95.1,0,0,262.2,0,197,0,1.6,1.1,0,0,0,0,1.6,0,0.5,0,0,17,0,0.8,0.5,0.5,0,1.4,2.7,158.4,29.6,94,12.3,2.7,87.4,0.8,15.1,1.9,22.2
