year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,3,54.2,343,938.9,25.2,20.3,0.3,0.5,45.2,1.9,3.6,32.9,1.4,101.4,0.8,1.9,0,0.3,4.9,2.2,0,346.6,0,2.2,0,14.2,0.5,2.5,3.8,0.5,0,0.5,0,7.9,5.2,0.3,1.1,0,3.3,11,0,0,0,0,0,315.6,0,0,0,82.5,0.5,12.9,31,367.7
1962,3.3,58.6,343.3,930.1,57.5,21.9,0,0.5,50.4,2.7,4.1,36.4,1.4,100.5,0.8,1.6,0,0.5,5.2,1.9,0,344.7,0,3,0,14.2,0.5,2.5,3.8,0.5,0,0.8,0.3,9.6,4.9,0.3,1.4,0,3.8,11.2,0.3,0,0,0,0,312.3,0,0,0,88.8,0.5,13.2,38.4,356.7
1963,3.3,63.3,330.1,942.7,68.5,19.7,0.3,0.3,57.3,2.7,3.8,34.2,1.6,99.2,2.5,2.2,0,0.3,3.8,1.9,0,330.1,0,3.6,0,14,0.8,2.2,3,0.5,0,1.1,0.5,9.6,6.6,0.3,1.6,0,3.6,12.1,0.3,0,0.3,0,0,301.4,0,0,0,89.6,0.5,13.7,36.4,355.9
1964,3.3,57.8,334.2,938.6,78.9,19.2,0.3,0.5,57.8,3,4.7,41.9,1.9,112.3,2.2,2.2,0,0.3,4.9,1.9,0,315.9,0,2.7,0,14,0.8,2.7,3.8,0.3,0,1.6,0.5,9.3,4.4,0.3,1.1,0,3.3,12.3,0.3,0,0.3,0,0,294.2,0,0,0,95.6,0.5,12.9,39.7,340.5
1965,3.6,52.3,330.4,956.2,57.5,21.1,0.3,0.3,54.2,3.8,4.4,38.4,1.9,108.5,1.6,2.5,0,0.8,5.2,2.2,0,317.3,0,2.7,0,15.9,0.8,1.9,3.8,0.5,0,0.8,0.5,9.3,4.9,0.3,1.6,0,3.6,11.5,0.3,0,0.3,0.3,0,280.8,0,0,0,90.7,0.5,12.1,42.2,338.9
1966,4.7,52.1,325.5,972.6,61.9,24.4,0,0.5,55.1,3.8,4.7,40.8,2.2,111,1.9,2.2,0,0.8,4.7,1.6,0,302.5,0,3.3,0,15.9,1.1,3.3,3.3,0.8,0,1.1,0.5,9.6,4.9,0.3,1.9,0,3.8,12.3,0.3,0,0.3,0.3,0,281.6,0,0,0,94.2,0.5,12.6,39.7,326.8
1967,4.7,55.6,318.6,1008.5,63,23.3,0,0.3,59.7,5.2,4.9,38.9,2.2,112.3,2.5,3.3,0,0.5,5.2,1.6,0,286,0,2.5,0,17.5,1.6,1.9,3.3,1.1,0,1.4,0.5,8.8,3.8,0.3,1.4,0,3.3,11.8,0.3,0,0.3,0.3,0,280.3,0,0,0,107.9,0.8,12.6,38.6,331.8
1968,4.9,56.4,323.8,1059.7,63.3,22.5,0,0.5,68.2,5.2,4.9,36.4,2.2,109.3,2.5,4.1,0,0.3,5.8,1.4,0,281.6,0,1.9,0,18.9,1.9,2.2,2.7,2.5,0,1.1,0.5,9,4.7,0.3,1.1,0,4.4,12.9,0.3,0,0.3,0.3,0,268.5,0,0,0,90.7,1.1,12.1,37.5,319.2
1969,4.9,56.2,311.5,1004.7,60.8,23.3,0,0,65.5,7.9,5.2,43.6,2.2,112.1,2.5,3.8,0,0.5,6.3,1.4,0,271.5,0,1.9,0,16.2,1.9,3,3,2.7,0,1.4,1.9,9,3.8,0.3,1.1,0,4.1,12.3,0.3,0,0.3,0.3,0,261.4,0,0,0,102.7,0.8,12.9,41.9,326.3
1970,6.8,49.9,313.7,1035.6,58.6,22.2,0,0.5,70.4,6.6,4.9,41.1,2.7,114.2,1.9,3.8,0,0,6.3,1.1,0,266.6,0,1.1,0,11.5,1.9,1.9,3.8,2.2,0,4.1,3,8.8,4.9,0.3,1.4,0,3.8,12.3,0.3,0,0.3,0.3,0,264.4,0,0,0,107.4,0.8,12.6,42.2,314
