year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,8.2,0,0.3,164.4,1.1,50.4,19.7,0,21.9,0,0,0,5.5,10.4,0,293.4,0,1.1,3.8,0,1.4,47.9,0,0.5,2.7,0.3,1.9,0,0,0,0,0,0,0,22.5,0,4.4,0,0,7.7,0,0,0,0,1.4,4.7,0,0,0,58.1,0.5,4.9,18.1,41.1
1962,7.7,0,0.3,153.2,1.4,50.7,20.3,0,22.5,0,0,0,5.8,9.6,0,294.2,0,1.4,4.9,0,1.4,49.3,0,0.8,4.7,0.3,1.6,0,0,0,0,0,0,0,22.5,0,3.6,0,0,8.2,0,0,0,0,1.4,5.2,0,0,0,62.7,0.5,4.9,18.4,41.6
1963,7.7,0,0.3,181.9,1.1,51.5,21.4,0,23,0,0,0,5.8,11,0,296.2,0,1.9,5.5,0,1.4,49.3,0,0.8,5.8,0.3,2.2,0,0,0,0,0,0,0,24.9,0,4.1,0,0,8.8,0,0,0,0,1.6,4.7,0,0,0,60.3,0.5,4.9,18.4,41.6
1964,7.4,0,0.3,200,0.8,52.3,23.3,0,21.4,0,0,0,6,12.1,0,303.3,0,2.5,6.3,0,1.4,50.4,0,1.1,7.1,0.3,1.4,0,0,0,0,0,0,0,26.3,0,3.8,0,0,8.5,0,0,0,0,1.6,4.4,0,0,0,63,0.5,4.9,20.3,41.9
1965,7.4,0,0.3,167.9,0.5,52.3,20.8,0,21.9,0,0,0,6,12.9,0,298.4,0,1.4,6.3,0,1.4,50.7,0,1.1,7.7,0.3,1.4,0,0,0,0,0,0,0,28.2,0,4.1,0,0,9.9,0,0,0,0,1.9,3.6,0,0,0,71.5,0.8,5.2,23,42.7
1966,7.1,0,0.5,162.7,1.4,51,24.7,0,20.5,0,0,0,6.3,13.4,0,300.3,0,1.1,6.6,0,1.4,50.7,0,1.1,8.8,0.3,0.3,0,0,0,0,0,0,0,28.2,0,3.3,0,0,8.5,0,0,0.3,0,1.6,5.8,0,0,0,74.2,0.3,5.2,26,42.2
1967,6.3,0,0.5,171.8,1.6,49.3,25.8,0,19.7,0,0,0,6.3,13.4,0,300.3,0,0.8,6.3,0,1.4,51.8,0,1.1,7.9,0.3,0,0,0,0,0,0,0,0,30.7,0,2.7,0,0,9.3,0,0,0.3,0,1.6,5.5,0,0,0,74.2,0.8,5.2,28.5,41.9
1968,6,0,0.3,174.5,1.9,47.9,25.5,0,21.4,0,0,0,6.3,13.2,0,297,0,0,6.3,0,1.4,55.9,0,0.8,8.5,0.3,0,0,0,0,0,0,0,0,31.2,0,3,0,0,9,0,0,0.3,0,2.5,4.9,0,0,0,75.6,0.8,5.2,28.2,41.4
1969,5.8,0,0.5,185.5,1.9,46.8,22.5,0,20.5,0,0,0,6.8,14.2,0,312.3,0,0.3,6,0,1.4,54,0,0.8,8.5,0.3,0,0,0,0,0.5,0,0,0,27.4,0,2.7,0,0,9,0,0,0.5,0,2.5,4.1,0,0,0,74,0.5,5.5,29.6,40.5
1970,5.5,0,0.5,198.1,1.9,45.2,21.1,0,21.4,0,0,0,6.8,15.1,0.3,311.8,0,1.1,7.9,0,1.4,50.4,0,0.8,8.5,0.3,0,0,0,0,0.8,0.3,0,0,26.6,0,2.7,0,0,8.5,0,0,0.5,0,2.5,3.6,0,0,0,75.9,1.1,5.2,30.1,35.3
1971,6.6,0,0.8,194,1.9,43.8,21.6,0,22.5,0,0,0,6.8,16.2,0,298.9,0,0.5,7.4,0,2.2,55.9,0,0.8,9,0.3,0,0,0,0,0.5,0,0,0,27.7,0,2.7,0,0,8.8,0,0,0.5,0,2.5,3,0,0,0,75.6,0.5,5.5,27.9,43.8
1972,7.1,0,0.8,190.1,1.9,42.2,19.7,0,24.7,0,0,0,6.6,17,0.3,299.2,0,0,8.5,0,1.9,53.4,0,0.8,9.3,0.3,0,0,0,0,0.3,0.3,0,0,26,0,2.7,0,0,8.8,0,0,0.5,0,2.5,3,0,0,0,78.4,1.1,5.8,28.5,46.3
1973,9.6,0,0.5,180.5,1.9,41.1,19.7,0,25.8,0,0,0,7.1,19.5,0,305.2,0,0,8.5,0,2.2,52.6,0,0.8,9.9,0.3,0,0,0,0,0.5,0,0,0,29.3,0,3,0,0,9.6,0,0,0.8,0,2.5,3.6,0,0,0,83.6,0.5,5.8,29,50.7
1974,9.3,0,0.8,180,1.9,40,21.6,0,25.2,0,0,0,7.4,21.6,0,301.9,0,0,8.2,0,2.7,54,0,0.8,10.4,0.3,0,0,0,0,0.8,0,0,0,27.9,0,3,0,0,10.1,0,0,0.8,0,2.5,5.2,0,0,0,81.6,0.5,5.8,27.1,48.2
1975,9,0,0.8,175.6,1.9,38.4,23.6,0,25.5,0,0,0,8.2,23.3,0,311,0,1.1,8.5,0,4.1,53.4,0,0.8,11.2,0.3,0,0,0,0,0.8,0,0,0,27.9,0,3,0,0,9.6,0,0,0.8,0,2.5,7.1,0,0,0,91.5,0.5,5.2,26,46
1976,9.3,0,1.1,160.8,1.9,37.5,21.4,0,19.2,0,0,0,7.4,24.7,0,291.8,0,0.3,7.9,0,4.1,60.5,0,0.8,10.7,0.3,0,0,0,0,0.8,0.3,0,0,28.8,0,3,0,0,9.9,0,0,1.1,0,2.2,9,0,0,0,91.5,1.1,5.2,24.9,42.5
1977,7.1,0,1.1,166,1.9,36.2,22.2,0,21.9,0,0,0,8.8,24.9,0,282.7,0,2.2,8.2,0,4.1,74,0,0.8,12.9,0.3,0,0,0,0,0.3,0.5,0,0,29.3,0,3,0,0,10.4,0,0,1.6,0,2.5,9,0,0,0,95.6,0.5,2.5,25.5,43.3
1978,6.3,0,1.6,184.1,1.6,36.4,21.1,0,21.6,0,0,0,8.8,28.8,0,279.2,0,1.9,7.9,0,3.8,79.5,0,1.1,13.7,0,0,0,0,0,0.3,0.5,0,0,28.5,0,3,0,0,11,0,0,2.2,0,2.5,11.5,0,0,0,93.7,0.8,2.7,24.7,42.7
1979,6.3,0,1.4,179.2,1.6,34.2,20.3,0,17.8,0,0,0,8.5,27.9,0,284.4,0,1.6,12.1,0,3.8,72.6,0,1.1,14.2,0,0,0,0,0,0.3,1.1,0,0,27.1,0,3,0,0,11.2,0,0,1.6,0,2.2,9.3,0,0,0,93.7,1.1,1.9,25.2,34.2
1980,6.6,0,0,171.5,1.6,22.2,1.4,0,12.3,0,25.2,17.8,8.5,27.1,0,283,0,1.4,11,0,5.5,76.7,0,0.3,14.5,0,0,0,0,0,0.5,1.1,0,0,26.3,0,2.7,0,0,17.5,0,0,1.9,0,1.6,12.1,0,0,0,103.6,0.8,1.4,21.4,35.6
1981,7.4,0,2.2,163.8,1.9,33.2,0.8,0,19.7,0,26.6,18.9,9.6,29.9,0,321.1,0,0.3,9.3,0,5.8,97.8,0,1.1,15.3,0,0.3,0,0,0,2.7,1.9,0,0,29,0,3,0,0.3,18.9,0,0,0.3,0,2.2,13.2,0,0,0,101.9,1.1,7.4,25.8,59.2
1982,8.5,0,0.8,162.7,1.9,37.3,1.9,0,21.4,0,27.7,20.3,10.1,26.6,0,325.8,0,1.1,12.1,0,4.9,53.7,0,1.1,11.2,0,0.5,0,0,0,0.3,1.4,0,0.3,27.9,0,3,0,0.3,20.5,0,0,1.1,0,2.5,28.2,0,0,0,101.9,1.1,5.5,23.3,58.9
1983,8.5,0,1.6,170.7,0.8,35.3,1.6,0,19.2,0,29,20,10.1,23.3,0,303.3,0,0.3,9.3,0,5.2,59.2,0,1.1,7.7,0.3,0,0,0.3,0,1.6,1.4,0,0.3,28.5,0,3,0,0.3,16.7,0,0,1.6,0,2.7,15.1,0,0,0,92.6,0.8,5.5,23.6,60.5
1984,9,0,1.9,156.4,1.4,35.9,0.3,0,13.7,0,29.9,21.1,9.6,23.6,0.5,259.2,0,0.5,9.6,0,5.8,65.5,0,0.5,6.3,0.3,0,0,0.3,0,4.1,2.5,0,0.3,27.1,0,3,0,0.3,15.9,0,0,1.4,0,2.7,18.4,0,0,0,98.6,0.8,5.5,24.4,59.2
1985,9,0,1.6,151.5,1.6,41.9,0.3,0,18.6,0,31,21.6,9.6,24.7,0.3,302.5,0,0.5,6.3,0,6,59.7,0,0.3,6.8,0,0.8,0,0,0,2.7,3.3,0.8,0.3,37.3,0,2.7,0,0.5,10.1,0,0,0.8,0,2.7,9.6,0,0,0,100.8,0.5,5.5,22.7,60.5
1986,7.7,0,1.9,161.6,6.3,36.4,0.5,0,11.8,0,33.7,21.9,11.2,20.5,0.3,341.9,0,0,11.5,0,6,53.2,0,0.3,6.6,0,0,0,1.6,0,2.2,1.6,4.9,0.5,29.9,0,2.7,0,0.5,6,0,0,0.3,0,2.7,15.6,0,0,0,106.3,0.3,9.3,23,68.5
1987,7.9,0,2.2,178.1,5.2,29,0.3,0,7.7,0,35.9,23,17,26,0.3,330.4,0,0,10.7,0,5.8,66.6,0,0.3,1.1,0.3,0,0,1.4,0,1.1,4.7,4.4,2.5,33.7,0,8.2,0,0.3,4.9,0,0,0.3,0,2.5,14.8,0,0,0,106.6,0.8,5.5,23.3,76.4
1988,8.8,0,2.5,180.3,4.9,27.1,0.8,0,14.8,0,37,24.1,16.7,27.9,0.3,344.1,0,0,10.1,0,6.6,61.1,0,1.4,2.2,0.3,0,0,1.6,0,0.5,4.1,3.8,2.7,28.8,0,8.8,0,0.3,4.1,0,0,0.3,0,3.6,7.1,0,0,0,103,0.8,6.3,29,83.3
1989,7.4,0,3.6,176.2,6.8,32.9,0.3,0,17.3,0,37,23.6,17.5,20,0.3,307.9,0,0,9.3,0,5.8,60.5,0,0.3,4.9,0.3,0,0,1.6,0,0.5,4.4,4.4,3.3,26,0,7.9,0,0.8,4.9,0,0,0.3,0.3,3.8,8.2,0,0,0,104.9,0.8,16.7,31.5,110.1
1990,8.8,0,3.6,169,6,25.8,0.3,0,29.3,0,36.2,24.9,16.4,19.7,0.3,327.4,0,0,7.4,0,5.5,66,0,0.5,2.2,0.3,0,0,1.6,0,0.5,5.2,7.7,3.8,32.9,0,7.9,0,1.1,4.4,0,0,0.3,0,4.4,9.9,0,0,0,115.3,1.1,16.7,33.2,104.7
1991,6,0,3.6,167.1,6.3,23.3,0.8,0,23.3,0,35.9,24.4,17.3,19.5,0,324.9,0,0,8.8,0,5.2,67.9,0,0.3,2.2,0.3,0.3,0,1.6,0,0.3,7.4,4.1,5.5,31.2,0,8.2,0,1.1,3,0,0,0.3,0,3.8,8.2,0,0,0,114.8,1.1,15.1,29,102.7
1992,6.3,0,3.8,173.2,6,17.8,0.8,0,11,0,35.9,23.8,18.1,20.5,0,293.7,0,0,20,0,3.6,81.9,0,1.9,3.6,0.3,0,0,1.4,0,0.3,6.3,2.7,5.8,31.8,0,8.5,0,0.8,4.9,0,0,0.3,0,3.8,9,0,0,0,94.5,1.1,14,30.7,103
1993,5.2,0,4.4,174.8,6,15.9,0.5,0,62.7,0,34.8,24.4,18.4,19.7,0.8,330.7,0,0,13.2,0,3.6,76.2,0,2.2,0.8,0.3,0.3,0.3,0.8,0,0,7.1,4.9,5.8,25.8,0,9.3,0,0.8,3.8,0,0,0.3,0,3.8,8.8,0,0,0,95.6,1.1,11.2,31.5,65.8
1994,3.8,0,4.7,194.5,6,15.3,0.8,0,71,0.5,34.2,21.6,18.6,20,0.8,323.8,0,0,9.9,0,3.3,83,0,1.1,1.4,0.3,0,0,1.4,0,0.3,6.6,3,5.8,23.3,0,8.8,0,1.1,1.1,0,0,0.8,0,3.6,9,0,0,0,100,1.1,13.4,32.6,64.7
1995,4.7,0,5.5,195.9,5.5,14.8,1.4,0,81.6,0.3,33.4,26,19.2,24.7,2.2,303.8,0,0,11.8,0,3.3,74.8,0,1.6,1.1,0.5,0,0,1.4,0,0.5,4.7,6.8,5.8,22.2,0,9,0,0.8,0.5,0,0,0.8,0,3.8,9,0,0,0,98.9,1.1,16.2,38.4,65.5
