"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,10.1,0.8,0.5,310.1,24.4,0.5,0.5,0,2.2,171.8,0,0,189.9,1.4,76.4,0,0,14.5,0,0,51,4.4,0,57.5,0,2.5,0,0,0,0,0,3,0,0.3,0,9.3,4.4,0,0.3,0,2.5,0.3,33.2,89.3,0,0,1.6,3.6,0.5,108.5,0.3,9.3,1.1,18.9
1962,10.1,0.5,0.5,309.3,21.6,0.5,0.5,0,1.9,181.6,0,0,178.9,0.8,80.3,0,0,14,0,0,51.2,4.4,0,51,0,1.9,0,0,0,0,0,3.8,0,0.3,0,9,5.2,0,0,0,2.2,0.3,31.5,107.1,0,0,1.6,4.1,0.5,109.3,0.5,8.8,0.8,17
1963,9.3,0.3,0.5,321.9,18.9,0.5,0.5,0,2.2,188.2,0,0,169.9,1.4,78.4,0,0,14.2,0,0,45.8,6.6,0,43.8,0,1.9,0,0,0,0,0,4.7,0,0.3,0,8.8,3.6,0,0.3,0,2.2,0.3,28.5,86,0,0,1.4,2.7,0.5,107.9,0.5,7.1,0.8,17.5
1964,9,0.3,0.5,339.7,21.6,0.5,1.1,0,1.9,165.8,0,0,189.3,1.6,86.3,0,0,15.3,0,0,58.9,7.7,0,40.3,0,1.9,0,0,0,0,0,4.1,0,0,0,9.3,6,0,0.3,0,2.2,0.5,33.2,97.5,0,0,1.4,4.7,0.5,110.1,0.8,9,2.2,18.1
1965,9,0.3,0.5,333.4,26,0.5,0.5,0,1.6,163.3,0,0,173.2,1.6,94.5,0,0,16.4,0,0,58.9,5.8,0,33.7,0,1.6,0,0,0,0,0,4.4,0,0,0,8.5,6.6,0,0.3,0,2.2,0.8,31.2,85.2,0,0,1.6,4.7,0.5,109,1.9,8.8,2.7,18.6
1966,9,0.3,0.5,339.5,29.9,0.5,2.2,0,1.4,161.9,0,0,184.1,1.4,111,0,0,16.7,0,0,63,6.3,0,40.8,0,1.6,0,0,0,0,0,2.2,0,0.3,0,8.5,6,0,0.3,0,2.5,1.1,29.6,56.4,0,0,1.4,4.1,0.5,102.5,1.6,8.8,3,20.3
1967,8.8,0.3,0.5,344.9,32.6,0.5,1.4,0,1.6,158.6,0,0,191.8,1.4,94.8,0,0,15.3,0,0,46.3,6.6,0,36.2,0,2.2,0,0,0,0,0,4.4,0,0.3,0,11.8,2.5,0,0.3,0,1.9,1.6,34.2,45.2,0,0,1.1,4.7,0.5,101.9,1.4,9,5.2,18.4
1968,8.8,0.3,0.3,345.2,26.3,0.5,0.8,0,1.9,164.4,0,0,179.5,0,84.9,0,0,13.7,0,0,49.6,4.7,0,40,0,1.9,0,0,0,0,0,2.5,0,0,0,12.1,3.3,0,0.3,0,2.2,2.2,35.3,47.1,0,0,1.1,4.7,0.5,104.4,1.4,9,4.9,18.1
1969,9,0.3,0.5,371.8,31,0.8,1.9,0,2.2,152.1,0,0,182.2,0,87.1,0,0,17.3,0,0,42.5,4.9,0,44.7,0,1.9,0,0,0,0,0,1.4,0,0,0,12.1,3,0,0.5,0,1.9,2.2,32.6,55.6,0,0,0.8,2.7,0.5,104.1,1.4,9,4.9,18.6
1970,9.3,0.3,0.3,360.5,28.2,0.5,1.9,0,1.6,190.4,0,0,127.7,0,89,0,0,16.7,0,0,38.6,4.9,0,46.8,0,1.4,0,0,0,0,0,1.1,0,0,0,11.2,3,0,0,0,1.6,1.6,28.5,59.2,0,0,0.8,2.7,0.5,107.1,1.4,8.2,5.5,18.1
1971,9,0.3,0.5,340.8,28.2,2.2,0.8,0,2.2,193.2,0,0,113.2,0,94,0,0,17,0,0,41.9,5.8,0,42.7,0,1.6,0,0,0,0,0,6.3,0,0,0,12.6,2.2,0,0.3,0,2.5,1.4,32.6,60,0,0,0.8,3.3,0.5,108.2,1.6,8.5,7.4,18.4
1972,9.6,0.3,0,319.5,31,0.8,1.6,0,1.4,181.6,0,0,131.5,0,91.2,0,0,13.4,0,0,44.1,7.1,0,52.9,0,1.4,0,0,0,0,0,0.3,0,0,0,13.4,0.5,0,0.3,0,1.6,0.8,29.3,61.4,0,0,0.8,3.6,0.5,117.8,1.6,7.9,8.5,20.8
1973,9.3,0.3,0,315.9,35.9,0.5,2.7,0,1.6,178.4,0,0,163.6,0,97.8,0,0,13.2,0,0,45.5,7.1,0,55.1,0,1.6,0.8,0,0,0,0,0.5,0,0,0,7.7,1.6,0,0.3,0,2.2,0.5,23.6,63.3,0,0,1.1,3.8,0.5,129,2.2,6.6,6.8,21.1
1974,10.4,0.3,0,298.4,36.2,0,2.2,0,0.8,208.8,0,0,166.3,0,43.3,0,0,12.1,0,0,37.8,4.7,0,40.8,0,1.1,0.8,0.3,0,0,0,9.6,0,0,0,8.8,4.4,0,0.3,0,2.2,0,7.4,49.3,0,0,1.1,4.9,0.5,120.5,1.9,6.6,5.5,20
1975,10.4,0,0,297.3,42.2,0.8,3,0,1.1,208.5,0,0,178.4,0,57,0,0,12.3,0,0,47.7,5.5,0,43.3,0,1.4,0,0,0,0,0,8.5,0,0,0,14,0.3,0,0.3,0,3,1.6,0,49.6,0,0,1.1,4.7,0.5,111,0.8,7.7,5.5,21.6
1976,10.4,0,0,332.1,60.3,0.3,2.5,0,1.1,213.7,0,0,153.2,0,53.4,0,0,12.1,0,0,50.4,6,0,45.2,0,1.6,0,0,0,0,0,5.8,0,0,0,17.8,0,0,0.3,0,2.7,2.2,0,45.2,0,0,1.1,4.9,0.5,133.4,1.6,6,6,24.1
1977,11,0,0,360.8,66.3,9.3,1.9,0,1.1,209.9,0,0,155.1,0,71.5,0,0,12.6,0,0,67.9,6.3,0,38.9,0,1.9,0,0,0,0,0,11.2,0,0,0,16.2,0,0,0.3,0,1.6,1.6,0,50.1,0,0,0.3,4.7,0.5,128.2,0.8,7.7,7.9,23
1978,10.7,0,0,350.1,58.9,0.8,0.8,0,0.3,208.5,0,0,168.5,0,78.4,0,0,12.9,0,0,35.9,6,0,32.9,0,1.9,0.3,0,0,0,0,12.9,0,0,0,13.2,0,0,0.3,0,1.1,0.3,0,44.7,0,0,0.3,4.9,0.3,127.1,1.6,4.7,8.8,18.9
1979,11.2,0,0,349.9,56.4,0.5,1.6,0,0,224.4,0,0,146.8,0,46.6,0,0,13.4,0,0,34.5,5.8,0,37.8,0,2.5,0.3,0,0,0,0,15.1,0,0,0,13.7,0,0,0,0,1.4,0,0,36.4,0,0,0.3,5.8,1.4,118.1,1.9,0,8.8,20.3
1980,14.5,0,0,404.9,62.7,0,3.8,0,0,229.3,0,0,147.1,0,46.3,0,0,13.7,0,0,34.2,6,0,25.8,0,2.2,0.3,0,0,0,0,13.2,0,0,0,14.8,0,0,0,0,1.1,0.3,0,26.6,0,0,0.3,5.8,1.1,119.2,1.1,0,9,20.8
1981,15.6,0,0,400.8,56.2,0,0.8,0,0,234.5,0,0,146.6,0,51.2,0,0,14.2,0,0,34.5,6,0,56.7,0,1.9,0.3,0,0,0.3,0,11,0,0,0,16.7,0,0,0.3,0,1.4,0,0,32.3,0,0,0.3,5.2,0.5,132.1,1.4,0,9.3,22.7
1982,23.3,0,0,289.9,43.6,0.3,0.3,0,0,337.3,0,0,33.2,0,62.2,0,0,14.8,0,0,34.8,6,0,73.4,0,1.6,0.3,0,0,0,0,12.1,0,0,0,15.1,0,0,0,0,0,0,0,38.4,0,0,0.3,4.1,0,132.3,0.8,0,9.6,22.5
1983,20,0,0,294.2,32.1,0,0.5,0,0,364.7,0,0,9.3,0,66.6,0,0,15.6,0,0,35.1,7.1,0,95.1,0,1.4,0.3,0,0,0,0,7.1,0,0,0,16.2,0,0,0,0,1.4,0,0,51,0,0,0.3,3.6,0,149.6,0.5,0,10.1,23.6
