year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,8.2,0,87.4,619.7,50.1,0,0,0,91,0,3,1.6,0,106.3,0,0,0,0,10.4,54.2,0,448.2,0,0,0,1.4,1.6,0,0,0,0,0.5,1.6,3.6,2.5,1.6,0.5,0,1.6,0.5,0,5.2,0,0,0,260.8,0.3,0,0,82.5,0,20.5,56.2,169.9
1962,7.9,0,94.8,621.6,51.2,0,0,0,86.3,0,4.4,3.3,0,108.2,0,0,0,0,10.1,40.5,0,446.3,0,0,0,3.3,0.8,0,0,0,0,0.8,2.7,3.6,3.8,1.4,1.1,0,1.9,1.1,0.3,5.5,0.3,0.3,0,258.4,0.3,0,0,83.6,0,24.4,53.4,170.4
1963,8.5,0,97.5,623.3,61.9,0.3,0,0.8,70.1,0,4.1,2.7,0,112.6,0,0,0,0,10.4,35.1,0,460.8,0,0,0,1.4,0.8,0.3,0.3,0,0,0.8,2.7,4.4,3.3,1.1,0.8,0,2.5,1.4,0.3,10.1,0.5,0.3,0,251.8,0,0,0,85.8,0.3,22.5,52.3,215.1
1964,9.9,0,115.3,629.3,51.8,0.3,0,0,74,0,4.7,4.1,0,116.7,0,0,0,0,11.2,35.6,0,460,0,0,0,2.2,0.5,0.3,0.3,0,0,1.6,3.3,3.6,3,1.4,0.5,0,1.9,1.9,0.3,10.4,0.3,0.3,0,240.8,0.3,0,0,88.5,0.5,21.4,43,183.3
1965,7.7,0,103.6,610.1,43.6,0.3,0,0,70.1,0,4.9,3.3,0,121.4,0,0,0,16.2,10.4,34.8,0,460.5,0,0,0,0.8,2.2,0.3,0,0.8,0,1.4,1.9,4.4,2.7,1.1,0.8,0,3.3,2.5,0.3,9.3,0.3,0.5,0,232.3,0.3,0,0,89.9,0,23,38.9,169
1966,9,0,100.8,631,49.3,0.3,0,0.5,83.3,0,4.9,4.7,0,127.1,0,0,0,21.9,11.5,32.1,0,454.8,0,0,0,0.8,0.8,0.5,0.3,0,0,1.6,1.9,5.5,2.5,0.8,0.5,0,2.7,3,0.3,12.1,0.3,0.3,0,233.7,0,0,0,93.4,0,22.5,47.7,182.2
1967,9.6,0.8,113.2,698.1,58.4,1.1,0,0.8,81.9,0,5.2,4.1,0,136.7,0,0,0,0,10.4,22.2,0,485.2,0,0,0,1.6,1.1,0.3,0,0,0,0.8,2.7,4.9,2.5,1.1,0.5,0,2.5,3.6,0.3,12.1,0,0.3,0,232.1,0.3,0,0,95.3,0,22.7,54,186
1968,10.1,0,115.6,714.2,62.7,3,0,0.5,78.6,0.5,6.3,4.4,0,140.3,0,0,0,0,10.7,13.7,0,470.4,0,0,0,0.5,1.1,0.3,0.3,0,0,0.5,3.8,4.9,2.2,1.1,0.3,0,2.5,4.1,0.3,12.1,0,0.3,0,219.7,0.3,0,0,94.5,0,22.2,60.8,178.9
1969,12.1,0,128.8,753.2,54.5,0.8,0,0.8,85.8,0,6.8,5.8,0,148.8,0,0,0,0,11.5,9.3,0,449.3,0,0,0,0.5,0.5,0,0,0.8,0,0,5.2,4.9,1.6,1.1,0.3,0,2.5,4.9,0.3,12.6,0.3,0.3,0,207.1,0.3,0,0,102.2,0,21.9,61.1,195.1
1970,14,0,121.9,761.1,65.2,3.8,0,0,84.1,0,7.1,7.1,0,163,0,0,0,0,11.5,7.9,0,455.9,0,0,0,0.5,1.9,0,0,0.8,0,0.8,3.8,5.2,1.6,1.1,0.5,0,3,5.8,0.3,12.1,0,0.3,0,206.3,0.3,0,0,100,0,22.2,53.2,186.3
