year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1.1,0,0.5,124.9,13.4,0,21.6,42.5,0,183.6,0,42.7,76.7,1.1,10.7,0,0.3,51,0,2.2,4.1,0.5,0,13.7,0.5,7.7,0.5,0,0,2.5,1.1,0,0,1.4,7.9,5.5,49,0,0,2.2,1.1,10.4,10.7,0,7.1,0,0,0,0.8,80.8,0.5,6.3,2.5,92.9
1962,1.1,0,0.5,122.2,14.8,0,22.5,41.9,0,190.7,0,51,81.6,0.8,11.2,0,0.3,50.7,0,2.2,3.6,0.5,0,14.8,0.3,7.9,0.5,0,0,2.5,1.4,0,0,1.1,8.5,5.5,41.4,0,0,2.2,1.1,10.4,9.6,0,4.7,0,0,0.3,0.8,75.9,0.5,6.3,2.5,95.1
1963,0.8,0,0.5,119.5,11,0,21.6,41.4,0,183.3,0,46.8,77,0.8,11.8,0,0.3,49.9,0,2.2,3.6,0.8,0,13.7,0.3,7.9,0.5,0,0,2.7,1.4,0,0,1.1,8.2,4.9,40.3,0,0,2.7,1.4,9.3,12.9,0,4.7,0,0,0.3,0.8,71.2,0.5,6.3,2.5,97
1964,0.8,0,0.5,115.9,8.8,0,22.2,43.6,0,184.1,0,48.5,87.9,0.5,12.1,0,0.3,49,0,2.2,3.6,1.1,0,14,0.3,8.2,0.5,0,0,1.9,1.4,0,0,1.4,9.3,3,34.2,0,0,2.5,1.4,14.8,9.9,0,4.7,0,0,0.3,0.8,73.4,0.5,6.3,2.5,98.6
1965,0.8,0,0.8,111.8,11,0,22.7,32.6,0,170.4,0,37.5,91,0.5,14.5,0,0.3,48.2,0,2.2,3.8,1.6,0,12.9,0.5,7.7,0.8,0,0,2.5,1.4,0.3,0,1.1,7.4,4.4,42.2,0,0,1.9,1.4,15.9,13.2,0,5.8,0,0,0.3,0.8,80,0.5,6.3,2.7,100
1966,0.8,0,0.8,111.5,10.1,0,21.9,37.3,0,166.6,0,52.3,92.9,0.5,14.8,0,0.3,48.2,0,2.2,4.4,1.9,0,12.6,0.5,7.1,0.3,0,0,2.7,1.4,0.3,0,1.1,7.1,3.6,31.8,0,0,2.2,1.1,17.8,14.5,0,5.2,0,0,0.3,1.1,77.3,0.5,6.6,2.7,102.2
1967,1.1,0,0.8,110.7,9.9,0,28.2,43.3,0,182.5,0,58.1,88.5,0.5,13.4,0,0.3,48.2,0,2.2,4.7,1.9,0,12.6,0.3,7.7,0.5,0,0,2.2,1.4,0.3,0,1.1,8.5,3,25.5,0,0,2.5,1.1,19.2,12.3,0,6.6,0,0,0.3,0.8,65.5,0.5,7.7,2.7,102.2
1968,1.1,0,0.8,115.9,14.5,0,24.1,33.4,0,188.8,0,46.8,93.7,0.8,12.9,0.3,0.3,47.7,0.3,1.6,5.8,1.9,0,12.9,0.3,6.8,0.3,0,0,2.7,0.8,0.3,0,1.4,7.7,4.1,38.1,0,0,1.9,1.1,22.7,14.5,0,8.2,0,0,0.3,1.1,61.9,0.5,7.9,2.7,103.3
1969,1.1,0,0.8,116.4,9.6,0,23.6,42.5,0,187.7,0,45.5,97.8,0.8,12.9,0.3,0.3,47.1,0,1.6,4.9,1.9,0,13.4,0.5,7.1,0.5,0,0,2.2,1.4,0.5,0,1.4,7.9,4.1,31.2,0,0,1.9,1.4,22.2,15.9,0,9.9,0,0,0.3,1.1,73.7,0.5,7.7,2.7,105.5
1970,1.1,0,0.8,110.4,11,0,30.7,54.8,0,191.2,0,35.6,99.5,1.1,11.5,0.3,0.3,45.5,0,1.9,5.5,1.9,0,14,0.3,7.1,0.5,0,0,2.5,1.4,0.3,0.3,1.4,9.6,3.3,35.3,0,0,2.5,1.4,24.4,12.9,0,7.7,0,0,0.3,1.1,79.5,0.5,7.7,2.7,107.7
