year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1.6,106.6,0.5,266.6,0.3,114,0,0.3,21.9,0.8,0,1.4,5.2,10.4,0,305.5,24.1,1.4,3.3,0,28.8,20.5,0,14.2,1.9,0,0,0,0.5,0,0,0,0,0.5,15.3,0,57,0,0.3,0.3,0,0.8,0.5,0.8,133.4,49.3,1.4,41.4,0,62.2,0,0.5,9.3,68.5
1962,1.6,107.9,0.5,270.7,0.3,110.4,0,0.3,23,0.8,0,1.6,5.2,10.1,0,300.3,22.7,0.5,3.3,0,30.7,27.9,0,14.5,1.6,0,0,0,0.5,0,0,0,0,0.5,14.8,0,57,0,0.3,0.3,0,0.5,0.5,0.5,132.3,48.5,1.4,42.7,0,62.7,0,0.8,9.3,67.7
1963,1.6,105.5,0.5,241.6,0.3,107.1,0,0.3,22.2,0.8,0,1.6,3.8,11,0,294,19.2,0.5,3.8,0,30.7,24.1,0,12.6,2.2,0,0,0,0.8,0,0,0,0.3,0.8,14.2,0,49,0,0.3,0.3,0,0.5,0.5,1.1,131.5,43.6,1.6,44.4,0,59.5,0,1.9,9.3,66.6
1964,1.6,105.8,0.5,251,0.3,103.6,0,0.3,21.1,0.8,0,1.6,4.7,11.2,0,301.4,21.4,0.5,2.5,0,30.4,18.6,0,12.6,2.7,0.3,0,0,0.3,0,0,0,0,0.8,14,0,51.5,0,0.3,0.3,0,0.5,0.5,1.1,129.9,41.9,1.6,45.5,0,61.9,0,1.1,9.3,66
1965,1.4,96.7,0.5,259.2,0.3,100.3,0,0.3,20,0.8,0,1.9,4.4,12.1,0,327.7,24.7,0.5,3.6,0,24.9,31.8,0,12.1,3,0.5,0,0,0.8,0,0,0,0,0.5,13.4,0,53.7,0,0.3,0.3,0,0.5,0.3,1.1,129.6,39.2,2.2,46.6,0,62.5,0,1.4,9.3,64.9
1966,2.2,114.8,0.8,257.5,0.3,97,0,0.3,20.5,0.8,0,1.9,3.8,12.3,0.5,321.4,23,0.5,3.6,0,34.5,30.4,0,11.8,2.5,0.5,0,0,0.5,0,0,0.3,0,0.8,13.2,0,52.1,0,0.3,0.3,0,0.5,0.3,0.3,127.9,39.2,1.9,49.9,0,62.7,0.3,0.3,9.9,63.6
1967,2.5,116.2,0.3,245.5,0.3,93.7,0,0.3,19.7,0.8,0,1.9,2.2,12.6,0,324.9,23.6,0.5,2.2,0,34.5,26.6,0,10.4,1.9,0.3,0,0,1.1,0,0.5,0.3,0,0.8,12.6,0,54.2,0,0.3,0.3,0,0.5,0,0.5,125.5,38.1,1.6,48.5,0,64.9,0,0.3,9.9,62.2
1968,2.7,102.7,0.3,245.8,0,90.7,0,0.3,20,0.8,0,1.9,2.5,15.1,0,331.5,20.5,1.6,3.3,0,30.7,26.3,0,9,1.9,0,0,0,1.9,0,0.5,0.5,0,0.5,12.3,0,50.4,0,0.3,0.3,0,0.5,0.3,0.5,124.1,39.5,1.9,49.3,0,62.2,0,0.5,9.6,60.3
1969,3.6,91.2,0.3,242.2,0.3,87.7,0,0.3,19.2,0.8,0,1.9,2.2,15.9,0,341.9,17.8,0.8,3,0,27.7,28.8,0,8.2,2.2,0.3,0,0,1.6,0,0.5,1.1,0.3,0.5,15.1,0,52.3,0,0.3,0.3,0,0.5,0.3,0.5,122.7,38.9,1.9,49.9,0,62.7,0.3,0.8,9.3,58.9
1970,4.1,97,0,246.6,0,84.7,0,0.3,19.2,0.8,0,2.2,3.3,18.9,0,323,20,0.8,4.7,0,28.8,29.3,0,8.5,2.5,0,0,0,1.4,0,0.5,0.8,0,0.3,16.4,0,51.8,0,0.3,0.3,0,0.5,0.3,1.4,120.5,42.7,1.9,50.4,0,69.6,0,0.8,9.3,58.9
