year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,9.6,0,11.2,261.1,4.4,63.3,0,0,70.4,0.5,0.8,7.1,2.7,2.7,0,51.8,0,0,336.2,0,1.4,11.2,0,4.7,0.5,5.8,0.3,0,0,0,0,0,0,0.8,12.9,0,3,0,0,4.7,0.3,0.8,0,0,272.3,24.9,24.1,92.1,0,34.5,4.9,0.8,2.5,93.2
1962,9.9,0,10.4,268.5,4.1,61.6,0,0,78.1,0.5,0.8,6.3,3.3,3.3,0,45.2,0,0,334.8,0,1.4,11.5,0,4.9,0.5,5.8,0.3,0,0,0,0,0,0,0.8,10.1,0,2.5,0,0,4.9,0.3,0.8,0,0,274.2,29.3,24.1,86,0,34,5.2,1.1,3.3,93.2
1963,11.2,0,9,269.9,4.1,59.7,0,0,76.2,0.5,0.8,6.3,3,3.6,0.3,45.8,0,0,340.5,0,1.4,13.4,0,4.9,0.3,6.3,0,0,0,0,0,0,0,0.8,11.8,0,2.5,0.3,0,5.8,0.3,0.8,0,0,285.2,31.5,23.8,95.6,0,35.9,5.8,0.8,3.3,93.2
1964,10.1,0,8.8,270.4,4.4,58.6,0,0,84.9,0.3,0.8,6,3,3,0.5,55.9,0,0,348.8,0,1.4,11,0,4.9,0.3,7.1,0,0,0,0,0,0,0,0.8,10.4,0,2.5,0,0,7.7,0.3,0.8,0,0,285.5,30.7,23.8,95.6,0,36.4,5.8,0.8,3.3,93.7
1965,7.1,0,8.2,258.6,4.4,57.5,0,0,83.8,0,0.8,5.5,3,4.4,0.5,50.1,0,0,346.8,0,1.1,12.3,0,4.7,0.3,7.1,0.3,0,0,0,0,0,0,0.8,11,0,2.5,0.3,0,7.4,0.3,0.8,0,0,326.6,29.3,23.8,94,0,35.3,5.5,0.5,3.6,92.9
1966,6.6,0,6.8,286.3,4.9,59.7,0,0,89,0.5,1.4,4.1,3.3,4.4,0.5,55.1,0,0,336.2,0,1.4,14,0,5.2,0.3,7.4,0.3,0,0,0,0,0,0,0.8,9.3,0,2.5,0.3,0,7.7,0.3,0.8,0,0,262.2,30.1,23.6,93.7,0,33.4,5.5,1.9,3,92.3
1967,5.8,0,6.6,282.7,4.9,59.5,0,0,86.8,0.5,1.1,3.3,15.6,4.4,0,54.8,0,0,344.9,0,1.4,10.4,0,4.7,0.5,7.1,0,0,0,0,0,0,0,0.8,13.2,0,2.5,0.3,0.3,6.8,0,0.8,0,0,272.6,31.2,23.3,93.7,0,31.2,4.9,1.4,1.9,91
1968,5.5,0,8.2,280.5,1.6,73.7,0,0,86.8,0.8,1.1,11.8,14.2,5.2,0.3,53.4,0,0,344.7,0,1.4,12.3,0,4.7,0.5,6.8,0,0,0,0,0,0,0,0.8,14.5,0,2.5,0,0.3,5.8,0.3,0.8,0.3,0,316.7,29.9,23,92.9,0,32.6,4.9,0.8,1.9,89.3
1969,5.5,0,6.8,262.7,1.6,94.8,0,0,89.9,0.8,1.6,18.1,13.7,5.2,0.3,52.1,0,0,348.8,0,1.1,9.3,0,5.2,1.1,7.1,0,0,0,0,0,0,0,0.5,14.8,0,2.7,0.3,0.3,3.8,0,0.8,0,0,328.2,28.2,23,91.2,0,35.1,5.2,1.4,1.9,87.1
1970,5.5,0,6.3,258.6,1.6,93.4,0,0,90.4,1.1,1.4,21.4,13.4,5.2,0.5,38.6,0,0,352.1,0,0.8,13.7,0,4.9,1.1,7.7,0.3,0,0,0,0,0,0,0.5,12.1,0,2.5,0.3,0.3,2.2,0,0.8,0,0,323.6,23.8,21.6,84.9,0,38.1,5.2,1.6,2.2,86.8
