year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,2.5,0.5,10.1,565.5,21.4,15.9,4.4,0,66.8,0.3,0.8,26.8,0,31.2,0.5,4.4,0,0.5,6.3,0,0,442.2,0,0,0,2.7,10.1,2.2,0,0,0,12.3,0,3.3,5.2,2.2,26.3,0,3,6.8,0.3,0,0.3,4.1,0,123.8,5.2,0,0,100.5,0.3,3.8,37.5,152.1
1962,2.5,0.3,9.6,550.7,23,12.6,4.7,0,69.6,0.3,0.8,29,0,30.7,1.6,6.3,0,0.8,7.9,0,0,436.2,0,0,0,3.8,12.1,2.5,0,0,0,12.3,0,4.1,6.3,1.9,20.5,0,3,7.1,0.3,0,0.3,4.7,0,158.1,5.2,0,0,109.9,0.3,4.7,37.5,158.1
1963,2.7,0.3,8.8,569.9,23.8,10.1,3.6,0,67.4,0.3,1.1,23.3,0,36.4,1.1,4.4,0,0.5,7.1,0,0,446.8,0,0,0,3.6,12.3,2.7,0,0,0,13.4,0,3.3,6.8,2.7,24.1,0,3.6,7.9,0.3,0,0,4.1,0,95.1,4.7,0,0,118.1,0.3,3,53.7,174.2
1964,5.2,0.3,9,554,23.8,10.4,5.8,0,68.5,0.3,0.3,31,0,31.2,1.6,2.7,0,0.8,7.1,0,0,459.2,0,0,0,2.7,11.2,1.9,0,0,0,17.8,0,3.6,11.2,2.5,22.5,0,3.6,6.3,0.3,0,0,4.1,0,89.3,2.7,0,0,112.9,0.5,3,53.4,177
1965,4.1,0,9.3,566,20,7.7,4.4,0.8,55.1,0.5,0.3,28.5,0,41.6,1.6,2.5,0,0.5,6.3,0,0,448.5,0,0,0,2.7,14.2,2.5,0,0,0,17.8,0,4.1,14.5,2.7,26,0,3.3,5.2,0,0,0,3.8,0,48.8,1.1,0,0,137,0.5,1.6,35.6,160.8
1966,7.4,0,6,583.8,31,11.2,5.2,1.1,68.2,0.5,0,22.7,0,40.8,1.9,2.5,0,0.8,6.6,0,0,417.5,0,0,0,1.9,10.4,2.2,0,0,0,18.9,0,2.7,12.6,2.7,31.5,0,3.8,6,0.3,0,0,4.7,0,43.6,1.1,0,0,136.7,1.4,0,38.4,157.8
1967,6,0,10.1,580.3,27.4,15.3,7.9,0.3,68.2,0.5,0.5,21.4,0,50.7,0.3,3,0,0,6.8,0,0,421.9,0,0,0,4.4,12.1,2.7,0,0,0,11.8,4.9,2.5,5.2,3.3,22.5,0,3.6,5.2,0.3,0,0,4.1,0,40.3,0.3,0,0,143,1.4,3.3,31.2,191.8
1968,4.9,0.3,7.4,624.7,29.6,12.1,6.6,1.4,65.5,0.5,0.3,23,0,49.3,0.5,3,0,0,7.7,0,0,418.4,0,0,0,2.5,11.2,2.7,0,0,0.3,4.4,17.8,3.6,6.3,3.8,27.9,0,3.8,4.9,0.3,0,0,3.8,0,31,0,0,0,142.5,1.9,1.1,33.4,200.3
1969,5.8,0.3,15.3,644.4,27.9,19.5,5.5,0,66.8,0.5,0.5,29.6,0,59.2,0.5,2.7,0,0,7.7,0,0,441.9,0,0,0,3.6,3,2.5,0,0,0,22.5,0,2.5,4.9,3.6,21.9,0,4.7,6.3,0.3,0,0,4.7,0,44.7,0.3,0,0,137.8,1.9,3.3,69,229.6
1970,6.6,0.3,13.2,686,30.1,15.3,5.5,0.3,71.8,0.5,0.3,32.9,0,59.5,0.3,2.7,0,0.3,8.8,0,0,438.1,0,0,0,1.9,5.5,3.3,0,0,0,22.5,0,2.5,3,4.9,21.4,0,5.2,5.5,0.3,0,0,4.1,0,38.6,0.5,0,0,137.5,1.6,3.8,61.1,158.1
