year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0.8,0,21.6,135.9,144.7,0,20.5,0,0.5,1.4,0.3,5.8,357,1.4,2.2,0,8.5,18.6,0.3,1.4,22.7,0,0,0.5,1.1,1.4,0.3,6.6,0,0.5,0,3.3,4.4,1.4,0.8,1.1,7.9,0,0.3,0.5,0.8,0,17.3,0,0,0,0,1.9,3.3,81.1,0.5,5.8,18.9,72.1
1962,0.8,0,19.7,133.2,206.6,0,55.9,0,0.5,1.4,0.3,11.8,252.1,1.1,1.1,0,7.4,17,0.5,0.5,25.8,0,0,0.5,0.8,3,0.3,6.6,0,0.8,0,4.4,3.8,2.5,0.5,0.8,12.1,0,0.3,0.5,0.8,0,20.3,0,0,0,0,1.9,2.7,86.3,0.5,8.2,11.2,76.7
1963,0.8,0,21.9,127.1,169.6,0,46.3,0,0.5,1.1,0.3,9,311,2.2,1.6,0.5,10.4,17.5,0.5,0.8,21.1,0,0,0.3,1.6,0.5,0.5,5.5,0,0,0,5.2,3.3,2.5,0.5,1.9,10.7,0,0.3,0.8,0.8,0,27.9,0,0,0,0,2.5,2.2,80.5,0.5,6.8,4.4,77.8
1964,0.8,0,20.5,134.2,184.1,0,51.8,0.3,0.5,1.4,0,10.4,318.6,3.6,1.6,0.5,11.2,30.1,0.8,1.1,20.5,0,0,0.8,0.5,1.9,1.6,7.1,0,0,0,3,1.6,1.9,0.8,2.2,10.4,0,0.3,0.5,0.8,0,15.6,0,0,0,0,1.9,2.7,78.9,0.3,12.6,23.8,101.1
1965,0.8,0,22.2,133.4,159.5,0.3,42.7,0.3,0.5,1.6,0.5,8.8,357.5,2.7,1.6,0.5,11.5,26.6,1.4,1.1,14.8,0,0,0.3,3.3,0.5,0.3,5.8,0,0,0,5.2,0.5,1.6,0.3,2.2,11.8,0,0.3,0.8,0.8,0,26.8,0,0,0,0,1.9,1.6,74.2,0.3,13.4,31.8,86.6
1966,0.8,0,19.5,134.5,181.9,0.3,60.5,0.3,0.3,2.2,0,6.3,286.6,2.5,1.9,0.5,10.7,24.4,0.5,0.8,28.5,0,0,0.3,2.5,0.3,0.3,6.6,0,2.5,0,1.9,5.2,1.6,0.5,2.7,11.5,0,0.5,0.8,0.8,0,30.1,0,0,0,0,1.9,1.9,75.9,0.3,9.6,32.9,83
1967,0.5,0,15.1,137,172.1,0.3,47.4,0.3,0.3,2.2,0.3,6.3,335.3,1.6,1.6,0.5,10.1,24.7,0.5,0.5,37.5,0,0,0,1.1,0.3,1.4,4.9,0,1.1,0,0.8,6.3,0.8,0.8,2.5,10.4,0,0.5,0.8,0.8,0,21.4,0,0,0,0,2.2,2.5,74.5,0.3,10.1,22.2,82.2
1968,0.5,0,17.5,137.5,153.7,0.3,37.8,0.3,0.3,1.9,0.3,8.5,349.3,2.2,1.9,0.3,11.8,25.5,1.1,0.3,40,0,0,0.3,1.1,0,0.3,6.6,0,0.8,0,4.7,6.8,1.4,0.5,2.7,9.9,0,0.5,0.8,1.1,0,7.4,0,0,0,0,2.5,2.7,73.4,0,12.3,21.6,89.9
1969,0.5,0,14.8,140.5,186.3,0.3,50.4,0.3,0.3,2.7,0,6,384.7,2.2,2.5,0,10.7,23.8,1.4,0.3,29.3,0,0,0,2.2,0,0.3,6.6,0,1.1,0,0.8,7.9,1.1,0.5,2.5,9.6,0,0.3,0.8,0.8,0,35.9,0,0,0,0,1.9,2.7,74,0,13.2,18.9,78.1
1970,0.5,0,10.4,141.1,212.1,0.3,46.3,0.3,0.3,1.6,1.4,6.3,354,2.2,2.5,0.3,11.2,24.9,1.4,0.3,38.6,0,0,0,1.1,0.3,0.3,6.6,0,1.1,0,5.8,6,0.8,0.3,0.5,7.1,0,0.3,0.8,1.1,0,28.2,0,0,0,0,2.7,2.5,76.4,0,12.3,13.7,94
1971,0.3,0,21.4,145.5,191.8,0.3,45.2,0.3,0.3,1.1,0.3,6.3,370.7,2.2,2.7,0.8,11,25.5,0.8,0.3,30.1,0,0,0,1.1,0,0.5,6,0,2.5,0,9.6,2.5,0.5,0.3,1.6,6.8,0,0.3,0.8,1.1,0,29.6,0,0.3,0,0,1.9,2.5,76.7,0,16.4,11,82.7
1972,0.3,0,24.4,148.2,192.3,0.3,43.8,0.3,0.3,1.4,0.8,6.3,387.7,2.5,4.7,0.3,10.1,25.5,0.8,0.5,25.5,0,0,0.3,0.5,0.3,0.5,6,0,5.8,0,5.5,4.4,1.1,0.3,1.4,10.7,0,0.5,0.5,1.1,0,27.7,0,0.3,0,0,2.2,2.2,77,0,16.2,5.5,84.1
1973,0.3,0,23.6,143.6,204.9,0.3,42.7,0.3,0.3,0.8,1.4,6,369,2.7,4.7,0.5,8.8,24.4,1.4,0.3,38.6,0,0,0,0.3,0.3,0.5,6.3,0,6.8,0,7.4,4.7,0.8,0.3,0.8,14.5,0,0.5,0.5,0.8,0,25.8,0,0.3,0,0,2.2,1.9,78.1,0,18.6,7.7,80.8
1974,0.3,0,24.7,139.2,187.7,0.3,41.4,0.3,0.3,1.1,0.5,5.8,388.8,3,3.8,0.5,8.2,24.7,1.4,1.4,44.1,0,0,0,0.3,0.5,0.3,5.2,0,8.5,0,9,2.2,1.9,0,2.7,14.2,0,0.3,0.5,0.8,0,27.9,0,0.3,0,0,1.9,2.2,80.3,0,22.2,25.8,81.4
1975,0.5,0,23.3,131.2,208.8,0.3,40.5,0,0.3,1.6,0.5,3.8,403.8,3.3,3.3,0.3,8.5,24.4,1.6,1.4,26,0,0,0,0.3,0.8,0.3,6.6,0,12.3,0,7.9,0.8,2.2,0.3,3.3,14.5,0,0.3,0.8,1.1,0,15.6,0,0.3,0,0,1.9,2.2,83,0,23.3,51.2,83.3
