year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1.1,0,0,88.8,0,10.1,0,0,89.3,0,0,0,0,0.3,0.5,2.5,3.3,0,362.5,0,0,5.5,0,5.5,0.3,15.3,0,0,0,0,3.8,0,0,1.4,5.8,0.8,4.9,0,0,0,0,1.6,0,0.5,1.1,3.6,0,0.5,0,15.3,0.5,5.8,0,48.2
1962,1.6,0,0,87.4,0,10.7,0,0,89.9,0,0,0,0,0.3,0.5,4.1,4.9,0,354.5,0,0,6.3,0,6.8,0.5,14.8,0,0,0,0,4.4,0.3,0,1.6,8.2,0.3,4.4,0,0,0.3,0,2.5,0,0.5,1.4,3.3,0,0.5,0,17.3,0.5,8.2,0,57.8
1963,1.1,0,0,92.3,0,12.6,0,0,78.4,0,0,0,0,0.3,0.8,5.5,5.2,0,357,0,0,7.9,0,6.6,0.5,15.3,0,0,0,0,4.9,0.5,0,1.1,10.7,1.6,4.7,0,0,0.3,0,2.5,0,0.5,1.6,5.5,0,0.5,0,19.5,0.5,11.2,0,61.4
1964,1.4,0,0,87.1,0,13.2,0,0,73.7,0,0,0,0,0.3,0.8,4.4,3.8,0,369.6,0,0,5.8,0,6.6,0.5,11.8,0,0,0,0,2.7,5.2,0,1.4,14.8,1.4,8.8,0,0,0.3,0,2.2,0,1.1,0.8,3.8,0,0.5,0,19.7,0.5,9,0,60.5
1965,1.9,0,0,92.3,0,14.8,0,0,72.6,0,0,0,0,0.3,0.5,3,4.1,0,389.9,0,0,7.4,0,6.3,0.8,12.9,0,0,0,0,5.5,0.3,0,1.9,7.9,1.1,3.6,0,0,0.3,0,2.5,0,1.4,1.4,3.6,0,1.1,0,17.8,0.5,9.3,0,57.5
1966,1.6,0,0,86.6,0,14.2,0,0,73.4,0,0,0,0,0.3,0.8,4.1,3,0,386.6,0,0,9.6,0,4.7,0.5,12.9,0,0,0,0,2.7,2.7,0,1.6,11.5,1.1,4.7,0,0,0.3,0,1.9,0,1.4,1.1,3,0,0.8,0,21.4,0.5,5.5,0,65.8
1967,1.6,0,0,88.5,0,14.8,0,0,72.6,0,0,0,0,0.3,1.1,5.2,3.8,0,401.4,0,0,6.6,0,4.7,0.3,12.6,0,0,0,0,2.7,3,0,1.6,9.6,1.1,2.7,0,0,0.3,0,1.6,0,1.4,1.1,1.6,0,1.1,0,20.5,0.5,8.2,0,71.2
1968,1.4,0,0,88.5,0,15.1,0,0,70.7,0,0,0,0,0.3,1.1,4.9,4.7,0,406.6,0,0,4.9,0,4.7,0.5,14,0,0,0,0,5.5,0.3,0,1.6,11.2,1.1,5.5,0,0,0.3,0,1.6,0,1.1,1.6,2.2,0,1.1,0,18.1,0.5,7.7,0,71.5
1969,1.6,0,0,85.5,0,14.8,0,0,52.6,0,0,0,0,0.3,1.6,3.6,4.4,0,433.2,0,0,3.8,0,4.7,0.3,15.9,0,0,0,0,4.1,0.3,0,1.6,10.7,1.6,11,0,0,0,0,2.2,0,1.1,1.9,3.6,0,1.4,0,16.4,0.5,9.3,0,71.2
1970,1.6,0,0,85.8,0,15.3,0,0,53.4,0,0,0,0,0.3,1.4,3,4.1,0,440.8,0,0,6.3,0,5.8,0.3,14.5,0,0,0,0,4.9,0.3,0,1.6,10.1,1.6,6.8,0,0,0,0,2.5,0,1.1,1.6,2.7,0,1.4,0,15.9,0.5,11.2,0,76.2
1971,1.1,0,0,86.6,0,14.8,0,0,53.4,0,0,0,0,0.3,0.8,3.8,3,0,441.1,0,0,7.7,0,5.8,0.3,15.1,0,0,0,0,6.3,0.3,0,1.9,8.8,1.4,7.4,0,0,0,0,2.2,0,1.1,1.4,3,0,1.6,0,17,0.5,8.2,0,75.6
1972,1.6,0,0,81.4,0,14,0,0,54,0,0,0,0,0.3,0.8,3,3,0,451,0,0,3.8,0,6.3,0.3,15.6,0,0,0,0,5.2,0.3,0,1.9,9.6,1.4,8.8,0,0,0,0,1.9,0,1.1,1.1,2.7,0,1.4,0,17.8,0.5,10.1,0,80
