year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,8.8,0,300.3,0,0,0,0,80,0,0,0,0,0,48.8,125.5,45.2,0,0,0,9.9,31.8,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,36.2,0,0,0,0,0,0,0,0,0,497.3,0,0,77.3,0,0,0,67.9
1962,0,5.5,0,318.4,0,0,0,0,79.7,0,0,0,0,0,52.1,130.1,50.7,0,0,0,6.3,34.8,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,35.3,0,0,0,0,0,0,0,0,0,519.5,0,0,80,0,0,0,66.3
1963,0,4.9,0,315.1,0,0,0,0,85.5,0,0,0,0,0,50.7,126.8,49,0,0,0,5.8,38.4,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,34.5,0,0,0,0,0,0,0,0,0,513.4,0,0,82.5,0,0,0,64.7
1964,0,7.9,0,310.7,0,0,0,0,85.2,0,0,0,0,0,41.1,123.8,52.1,0,0,0,8.8,41.4,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,34.2,0,0,0,0,0,0,0,0,0,527.4,0,0,85.2,0,0,0,70.4
1965,0,8.2,0,306.6,0,0,0,0,86.6,0,0,0,0,0,36.2,124.1,61.4,0,0,0,9.3,44.4,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.4,0,0,0,0,0,0,0,0,0,520,0,0,87.1,0,0,0,68.5
1966,0,8.5,0,321.9,0,0,0,0,84.7,0,0,0,0,0,23.6,124.7,66.6,0,0,0,9.6,46.8,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,33.4,0,0,0,0,0,0,0,0,0,510.4,0,0,89.3,0,0,0,68.8
1967,0,8.8,0,323,0,0,0,0,84.1,0,0,0,0,0,15.3,121.4,71.5,0,0,0,9.9,49,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,33.2,0,0,0,0,0,0,0,0,0,503,0,0,91.2,0,0,0,70.4
1968,0,9,0,317.8,0,0,0,0,81.9,0,0,0,0,0,7.4,124.9,76.4,0,0,0,10.1,51.5,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.4,0,0,0,0,0,0,0,0,0,490.1,0,0,92.9,0,0,0,68.5
1969,0,9.3,0,307.1,0,0,0,0,81.4,0,0,0,0,0,7.1,121.6,77.8,0,0,0,10.4,53.7,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.2,0,0,0,0,0,0,0,0,0,485.8,0,0,94.2,0,0,0,66.6
1970,0,9.3,0,306.6,0,0,0,0,77.5,0,0,0,0,0,17.5,118.1,75.1,0,0,0,10.7,55.6,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.2,0,0,0,0,0,0,0,0,0,474.8,0,0,87.9,0,0,0,71.2
1971,0,9.6,0,317,0,0,0,0,81.4,0,0,0,0,0,17,117.5,79.2,0,0,0,11,57.3,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.2,0,0,0,0,0,0,0,0,0,463.6,0,0,88.8,0,0,0,70.4
1972,0,9.6,0,316.2,0,0,0,0,83.3,0,0,0,0,0,16.4,117,76.4,0,0,0,11,58.6,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.4,0,0,0,0,0,0,0,0,0,451.5,0,0,89.6,0,0,0,68.2
1973,0,9.9,0,316.7,0,0,0,0,80.5,0,0,0,0,0,15.9,118.9,77.3,0,0,0,11.2,56.7,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.4,0,0,0,0,0,0,0,0,0,448.2,0,0,90.4,0,0,0,72.1
1974,0,9.9,0,318.1,0,0,0,0,82.5,0,0,0,0,0,15.6,120.8,74.5,0,0,0,11.2,58.4,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,33.7,0,0,0,0,0,0,0,0,0,434.8,0,0,87.7,0,0,0,69.9
