year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,9,0,0,116.4,11.8,0,0,0,15.3,0,0,0,0,71.8,0,84.9,20.8,14.8,239.7,8.8,6.3,28.8,0,0,0.3,0,0,0,0,0,0,32.1,0.3,0.8,29.6,0,0,0,0,0,0,0,0,0,0,64.7,0,20.8,0,3.6,0,2.7,3,244.7
1962,9,0,0,115.6,12.1,0,0,0,15.6,0,0,0,0,69.3,0,86.3,17.8,15.3,251.5,0,7.1,26.6,0,0,0.3,0,0,0,0,0,0,31.5,0.3,0.8,34,0,0,0,0,0,0,0,0,0,0,63.3,0,21.1,0,3.3,0,2.7,3,245.5
1963,9.3,0,0,118.4,11.8,0,0,0,15.6,0,0,0,0,73.2,0,89,19.5,15.1,269,0,6.6,27.1,0,0,0.3,0,0,0,0,0,0,31.2,0.3,0.8,39.7,0,0,0,0,0,0,0,0,0,0,61.9,0,21.9,0,4.7,0,3,3,245.2
1964,9.9,0,0,117.8,12.6,0,0,0,15.9,0,0,0,0,64.7,0,94,17,14.5,276.2,0,6,40.8,0,0,0.3,0,0,0,0,0,0,32.3,0.3,0.8,40.3,0,0,0,0,0,0,0,0,0,0,60.5,0,22.2,0,4.9,0,2.7,3.3,247.7
1965,9.6,0,0,120.3,12.6,0,0,0,16.2,0,0,0,0,57.3,0,89,14.5,14.2,224.9,0,6,63.3,0,0,0.3,0,0,0,0,0,0,34.2,0.5,0.8,37.3,0,0,0,0,0,0,0,0,0,0,58.9,0,22.2,0,4.7,0,2.7,3,246.3
1966,9.3,0,0,124.7,13.2,0,0,0,16.7,0,0,0,0,47.7,0,87.7,15.3,14.8,239.7,0,6,70.7,0,0,0.3,0,0,0,0,0,0,34.5,0.8,0.8,34.5,0,0,0,0,0,0,0,0,0,0,57.3,0,21.6,0,4.7,0,2.7,3,244.7
1967,8.5,0,0,128.8,12.9,0,0,0,17,0,0,0,0,36.7,0,79.7,13.7,14.2,203.3,0,6,72.9,0,0,0.3,0,0,0,0,0,0,35.1,1.1,0.8,34.2,0,0,0,0,0,0,0,0,0,0,55.6,0,21.4,0,19.2,0,2.7,3,243.6
1968,7.9,0,0,128.2,12.6,0,0,0,17.3,0,0,0,0,32.1,0,74.8,12.9,14,203.6,0,5.8,77,0,0,0.3,0,0,0,0,0,0,35.3,1.1,0.8,34,0,0,0,0,0,0,0,0,0,0,54,0,21.1,0,27.1,0,3,3.3,242.7
1969,9.6,0,0,126.3,12.1,0,0,0,17.5,0,0,0,0,28.5,0,89.3,11.5,14.2,238.4,0,5.2,67.4,0,0,0.3,0,0,0,0,0,0,37,0.8,0.8,33.7,0,0,0,0,0,0,0,0,0,0,52.6,0,20.5,0,32.3,0,3,3.6,240.5
1970,9.3,0,0,114.8,12.9,0,0,0,17.8,0,0,0,0,28.2,0,86.6,11.8,13.7,231.5,0,4.7,73.7,0,0,0.3,0,0,0,0,0,0,35.3,1.1,0.8,33.7,0,0,0,0,0,0,0,0,0,0,52.3,0,20.3,0,35.1,0,3,2.5,240.8
1971,9.3,0,0,122.2,24.4,0,0,0,26.8,0,0,0,0,30.4,0,87.7,10.1,12.6,231,0,4.4,76.7,0,0,0.3,0,0,0,0,0,0,35.9,0.8,0.8,33.4,0,0,0,0,0,0,0,0,0,0,51,0,20.5,0,35.1,0,3,3.6,259.7
1972,8.5,0,0,128.5,29.3,0,0,0,29.6,0,0,0,0,28.5,0,80.5,10.1,12.6,215.3,0,4.1,100.8,0,0,0.3,0,0,0,0,0,0,35.9,0.8,0.8,34.2,0,0,0,0,0,0,0,0,0,0,49.6,0,20.8,0,32.6,0,3,3.3,266.3
1973,9.9,0,0,127.4,35.9,0,0,0,29.6,0,0,0,0,32.6,0,58.9,8.8,11,238.4,0,3.8,116.4,0,0,0.3,0,0,0,0,0,0,36.4,0.5,0.8,35.1,0,0,0,0,0,0,0,0,0,0,48.2,0,20.8,0,28.8,0,3.3,3.6,276.4
1974,10.4,0,0,141.6,40.5,0,0,0,34,0,0,0,0,33.4,0,62.2,8.8,11.5,211,0,3.8,111.8,0,0,0.3,0,0,0,0,0,0,35.6,0.8,0.8,35.9,0,0,0,0,0,0,0,0,0,0,47.4,0,21.6,0,23,0,3.3,3.6,287.1
1975,6.8,0,0,145.8,45.2,0,0,0,38.1,0,0,0,0,31.5,0,75.9,7.7,11.8,209.6,0,3.6,126,0,0,0.3,0,0,0,0,0,0,34.8,0.8,0.8,37,0,0,0,0,0,0,0,0,0,0,55.6,0,22.2,0,21.4,0,3.3,4.1,321.1
1976,5.5,0,0,155.3,53.4,0,0,0,42.7,0,0,0,0,29.3,0,70.1,7.9,11.5,250.1,0,3.3,112.9,0,0,0.3,0,0,0,0,0,0,32.9,0.5,0.8,37.8,0,0,0,0,0,0,0,0,0,0,59.2,0,22.5,0,21.9,0,3.6,4.1,326.8
1977,6.3,0,0,156.7,58.4,0,0,0,46,0,0,0,0,29,0,75.9,7.1,11.8,235.9,0,2.7,103.6,0,0,0.3,0,0,0,0,0,0,31.2,0.3,0.8,38.9,0,0,0,0,0,0,0,0,0,0,63,0,23.3,0,23,0,4.4,4.7,326.8
1978,7.7,0,0,164.1,61.9,0,0,0,51.5,0,0,0,0,31.5,0,104.7,7.4,9.6,199.7,0,2.7,104.9,0,0,0.3,0,0,0,0,0,0,32.9,0.3,1.1,39.7,0,0,0,0,0,0.3,0,0,0,0,66,0,23.6,0,24.4,0,5.2,4.9,347.1
1979,7.9,0,0,162.7,61.9,0,0,0,53.7,0,0,0,0,32.6,0,102.5,7.1,8.5,242.7,0,2.5,104.7,0,0,0.3,0,0,0,0.5,0,0,32.9,0.3,1.1,39.5,0,0,0,0,0,0.3,0,0,0,0,65.8,0,23.3,0,17.5,0,5.5,4.9,349.9
1980,9.6,0,0,156.7,63.3,0,0,0,55.6,0,0,0,0,32.6,0,119.7,6.6,8.5,196.4,0,2.5,87.1,0,0,0.3,0,0,0,0.3,0,0,33.4,0.3,1.1,38.9,0,0,0,0,0,0.3,0,0,0,0,67.1,0,23.3,0,18.1,0,5.2,4.9,352.1
1981,11.2,0,0,167.9,65.5,0,0,0,58.4,0,0,0,0,28.8,0,112.3,6.6,7.9,223,0,1.9,97.3,0,0,0.3,0,0,0,0.3,0,0,30.7,0.3,1.1,38.4,0,0,0,0,0,0.3,0,0,0,0,66,0,23.3,0,17.3,0,5.2,5.2,372.1
