"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,7.7,0,2.5,273.4,55.1,0,97.3,0,0,154.8,0,0,88.5,2.7,152.9,0,0,64.7,0,0,47.9,7.9,0,35.6,0,0,0.5,0.3,0,0,0.3,0.3,0,0.3,13.2,1.1,4.9,0,0,0,0,30.1,15.6,15.3,0,21.6,1.4,11,0,68.2,11.8,11,31.8,21.9
1962,9.3,0,2.7,279.2,56.4,0.3,82.2,0,0,148.2,0,0,79.5,2.7,153.7,0,0,62.5,0,0,48.8,7.9,0,35.3,0.3,0,0.3,0.3,0,0,0.3,0.5,0,0.3,16.4,0.8,5.2,0,0,0,0,29.6,15.9,15.9,0,21.1,0.8,6,0,57.5,10.4,9.9,27.1,19.7
1963,5.8,0,2.7,287.9,60.5,0.5,91.5,0,0,157.3,0,0,85.5,2.7,153.7,0,0,64.1,0,0,49.3,8.2,0,35.6,0.3,0.5,0.8,0.3,0,0,0.3,0.5,0,0.3,17.3,1.1,4.9,0,0,0,0,29.3,16.2,16.2,0,21.1,0.8,9,0,69.9,14,10.7,32.6,20.3
1964,6.6,0,3,286,59.7,0.3,91.5,0,0,164.4,0,0,83.6,3.6,154,0,0,66,0,0,50.1,7.9,0,35.1,0.3,0,0.5,0.3,0.3,0,0.3,0.8,0,0.3,13.7,1.1,5.8,0,0,0,0,29,17,17.5,0,20.5,0.8,6,0,70.1,13.2,10.7,32.9,21.4
1965,7.9,0,3.6,300.3,61.4,0,83.3,0,0,152.1,0,0,78.1,3,155.3,0,0,63.8,0,0,50.7,8.2,0,33.4,0.3,0,0.3,0,0,0,0.3,1.6,0,0.3,9.9,0.8,4.9,0,0,0,0,29.9,17.5,15.9,0,21.6,1.1,8.2,0,82.7,12.9,9.6,32.9,21.9
1966,7.9,0,3.6,303.6,62.7,0,83.3,0,0,166.8,0,0,89.9,2.7,155.1,0,0,67.1,0,0,51.2,7.9,0,29.9,0.3,0,0.3,0.3,0,0,0.3,3.3,0,0.3,15.6,0.8,5.5,0,0,0,0,30.4,15.9,16.4,0,21.9,0.8,8.8,0,63.8,11.8,9,27.4,21.1
1967,8.5,0,3.6,304.7,63.6,0,85.2,0,0,181.6,0,0,75.6,3.6,166.8,0,0,70.7,0,0,52.1,9,0,34,0.3,0,0,0.3,0,0,0.3,3.8,0,0.3,15.6,0.8,5.8,0,0,0,0,31.5,12.6,16.4,0,23,1.1,8.8,0,68.8,9.6,7.7,35.9,22.5
1968,9,0,2.7,303.8,59.7,0,79.7,0,0,155.3,0,0,97,3,180.8,0,0,76.2,0,0,52.6,10.4,0,34.2,0.3,0.3,0,0.3,0,0,0.3,4.4,0,0.3,14.2,0.8,6,0,0,0,0,32.6,15.1,15.1,0,25.2,1.1,6.8,0,75.3,8.5,13.2,46.8,25.8
1969,10.1,0.3,3.6,328.8,66,0,81.6,0,0,189.9,0,0,85.5,3,196.4,0,0,59.5,0,0,52.9,11.8,0,32.1,0.3,0.3,0,0.3,0,0,0,5.2,0,0.3,12.1,0.8,5.5,0,0,0,0,32.6,16.4,14.8,0,23.6,0.8,7.1,0,72.9,6.8,12.3,46,24.9
1970,10.4,0.3,3.8,330.7,66.8,0,63,0,0,176.7,0,0,80.3,3.8,190.1,0,0,54.5,0,0,65.5,5.2,0,24.9,0.3,0.3,0,0.3,0,0,0,8.5,0,0.3,12.6,0.8,5.8,0,0,0,0,45.5,11.2,14.5,0,18.6,1.9,5.2,0,74.5,7.4,11.2,28.2,16.4
1971,11.2,0,3.3,343.3,67.1,0,60.8,0,0,168.5,0,0,101.9,3.6,188.5,0,0,53.7,0,0,65.5,7.4,0,26.3,0,0.3,0,0.5,0,0,0,13.4,0,0.3,9.3,0.8,6,0,0.3,0,0.3,46.6,22.2,14.5,0,22.2,1.9,6.3,0,81.1,8.2,8.5,36.2,26
1972,9.6,0,3,342.2,49,0,45.2,0,0,130.1,0,0,85.5,4.4,187.7,0,0,49,0,0,66,7.9,0,27.4,0,0.3,0,0.3,0,0,0,15.3,0,0.3,7.7,0.5,4.9,0,0,0,0,47.9,19.2,15.6,0,22.5,0.8,4.4,0,91,4.9,7.1,39.5,17.5
1973,11,0,3,339.5,58.4,0,55.6,0,0,139.5,0,0,87.4,3.3,185.2,0,0,43.3,0,0,66.3,8.5,0,28.8,0,0.3,0,0.5,0,0,0,15.6,0,0.3,6.6,0.8,4.7,0,0.3,0,0,46.8,20,16.7,0,22.5,1.1,4.4,0,95.6,5.2,8.8,42.2,18.6
1974,11.2,0,2.5,352.9,64.1,0.3,78.1,0,0,191,0,0,58.1,2.7,199.7,0,0,42.5,0,0,66.8,9,0,27.4,1.4,0,0,0.3,0,0,0,15.9,0,0.3,9,0.3,3.3,0,0,0,0,45.8,22.2,18.4,0,22.5,1.1,4.9,0,89.9,4.7,9.6,40.3,20.3
1975,11.8,0,3,362.2,67.1,0,51,0,0,203.8,0,0,87.1,3,188.5,0,0,42.2,0,0,65.5,9.9,0,27.7,0,0.3,0,0.3,0,0,0,17,0,0.3,6.3,0.3,3.3,0,0,0,0,45.2,11,16.2,0,22.5,0.8,5.2,0,75.9,5.5,8.2,43.8,13.2
1976,11.8,0,3.3,374.8,67.1,0.3,51,0,0,118.4,0,0,78.1,4.1,183.8,0,0,41.4,0,0,63.8,9.6,0,28.8,0,0.3,0,0.3,0,0,0,17.5,0,0.3,8.2,0.3,4.1,0,0.3,0,0.3,44.7,17.5,16.7,0,22.2,1.1,4.4,0,78.9,6,7.9,24.7,15.1
1977,11.2,0.3,3.3,366,53.7,0.3,56.7,0,0,164.7,0,0,104.1,3.6,178.6,0,0,40.8,0,0,62.2,9.6,0,27.4,0,0,0,0.3,0,0,0,18.9,0,0.3,6.8,1.1,3.8,0,0.3,0,0,42.5,14.2,17.8,0,21.4,0.8,6.3,0.3,89,5.5,9,26,17.3
1978,12.1,0.3,4.1,361.6,63.8,0,52.1,0,2.2,122.5,0,0,85.8,3.8,165.8,0,0,40,0,0,60.5,9.3,0,27.4,0,0,0.3,0.3,0,0,0,18.9,0,0.5,8.5,1.1,3.3,0,0.3,0,0.3,41.6,11.5,17.3,0,20.8,1.1,5.5,0,92.6,5.8,7.7,35.3,16.7
1979,11.5,0,3.3,352.6,80.5,0,52.1,0,2.7,121.9,0,0,69.9,3.6,170.7,0,0,40,0,0,61.4,9.3,0,27.1,0,0.3,0,0.3,0,0,0,20.8,0,0.3,7.4,0.8,4.7,0,0.3,0,0.3,41.1,14.8,10.7,0,20.5,1.4,4.7,0.3,89.6,6.8,9.3,41.1,18.9
1980,10.4,0,4.4,412.9,94.2,0.5,50.4,0,0,125.5,0,0,69.3,4.7,144.4,0,0,9.3,0,0,29.3,6.8,0,26,0,0.3,1.4,0.3,0,0,0,21.1,0,0.3,5.8,0.5,4.1,0,0.3,0,0.3,34.2,18.6,4.9,0,23.8,2.2,5.8,0,96.2,7.7,9.9,33.2,19.7
1981,10.7,0.3,4.4,336.4,95.3,0.3,52.3,0,2.5,151,0,0,87.9,4.9,130.1,0,0,9,0,0,29.3,6.8,0,23.8,0,0,0.5,0.3,0,0,0,20.8,0,0.3,6.6,0.5,5.5,0,0.3,0,0.3,34,24.9,5.2,0,24.4,3,2.7,0,104.9,5.5,10.7,46,18.9
