year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1.4,0,0,197.8,0,123,16.4,0,336.4,0,0,0,60,7.9,0.3,0,0,0,18.1,0,0,85.5,0,402.7,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0.3,2.5,0,0,0.8,0.3,0.5,0,453.2,0,13.2,55.3,0,0,0,9.3
1962,0.3,0,0,195.6,0,87.1,15.9,0,340,0,0,0,57.3,8.5,0.3,0,0,0,17.8,0,0,83.6,0,410.7,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.8,2.2,0,0,0.8,0.3,0.8,0,486.6,0,15.9,64.7,0,0,0,9.3
1963,0.3,0,0,203.6,0,97,15.6,0,344.1,0,0,0,57,9,0.3,0,0,0,19.5,0,0,78.4,0,411.5,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0.3,2.2,0,0,0.8,0.3,1.4,0,489.6,0,15.3,61.4,0,0,0,10.7
1964,0.5,0,0,213.7,0,107.9,15.1,0,341.9,0,0,0,59.5,9.3,0.5,0,0,0,20.3,0,0,93.4,0,399.7,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0.3,2.5,0,0,0.5,0.3,3.3,0,482.7,0,14.8,59.7,0,0,0,11
1965,0.5,0,0,201.1,0,123.8,14.8,0,343.8,0,0,0,58.9,18.4,0.5,0,0,0,16.4,0,0,97.3,0,395.6,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0.5,0.3,3,0,479.2,0,15.6,67.7,0,0,0,10.7
1966,0.8,0,0,194.5,0,162.7,14.5,0,351.8,0,0,0,60.3,13.7,0.5,0,0,0,27.4,0,0,66,0,406.8,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,1.6,2.5,0,0,0.5,0.3,3,0,476.2,0,15.1,66,0,0,0,11
1967,1.9,0,0,175.9,0,228.8,14,0,351.5,0,0,0,61.1,11.5,0.5,0,0,0,18.6,0,0,94.5,0,412.1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1.4,2.5,0,0,0.5,0.3,3,0,455.9,0,14.8,61.1,0,0,0,9.9
1968,0.5,0,0,182.7,0,226,13.7,0,363.8,0,0,0,61.9,11.8,0.5,0,0,0,20.3,0,0,93.2,0,445.5,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,1.9,2.5,0,0,0.5,0.3,3,0,496.2,0,15.3,66.6,0,0,0,9.9
1969,0.5,0,0.3,176.4,0,192.1,13.4,0,365.8,0,0,0,63,17.5,0.5,0,0,0,17.8,0,0,101.4,0,475.1,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,2.2,2.5,0,0,0.5,0.3,2.7,0,485.5,0,15.9,68.5,0,0,0,9.6
1970,0.5,0,1.1,190.4,0,215.1,13.2,0,368.5,0,0,0,64.7,17.3,0.5,0,0,0,13.2,0,0,93.2,0,510.7,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,2.5,2.7,0,0,0.8,0.5,2.7,0,477.3,0,15.6,72.9,0,0,0,10.1
1971,0.5,0,0,211.2,0,200.5,12.9,0,379.5,0,0,0,65.5,26,0.5,0,0,0,13.2,0,0,86.8,0,538.6,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,1.6,2.2,0,0,0.8,0.5,2.7,0,503.6,0,15.3,67.9,0,0,0,11
1972,1.1,0,0.3,202.2,0,228.2,12.9,0,391.8,0,0,0,67.9,24.1,0.5,0,0,0,16.7,0,0,84.7,0,532.6,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1.4,0.8,0,0,0.8,0.5,2.7,0,506.6,0,15.1,70.4,0,0,0,13.4
1973,0.8,0,0.3,176.2,0,246.3,12.6,0,395.1,0,0,0,71,35.1,0.5,0,0,0,28.2,0,0,89,0,554,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0,0,1.1,0.5,2.7,0,487.4,0,15.1,57.5,0,0,0,12.6
1974,1.1,0,0.3,181.4,0,238.9,12.6,0,403.8,0,0,0,72.3,37.5,0.3,0,0,0,20.8,0,0,104.9,0,567.9,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,1.1,0.8,0,0,0.8,0.5,2.7,0,459.7,0,16.4,63,0,0,0,12.1
1975,0.3,0,0.3,210.4,0,252.3,12.3,0,404.1,0,0,0,73.7,38.4,0.5,0,0,0,11.5,0,0,117.8,0,566.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0,0.8,0.5,2.7,0,538.4,0,16.4,62.2,0,0,0,17
1976,3.3,0,0.5,214.5,0.5,245.2,12.3,0,408.2,0,0,0.3,73.7,52.9,3,0,0,0,15.9,0,0,117.3,0,533.7,0,0.5,3.3,0,0,0,0,0,0,0.3,0,0,0,0,7.4,0.5,0,0,0.5,0.5,4.4,8.8,556.2,0,16.2,60.3,0.8,0,0,10.1
1977,0.8,0,3.3,257.5,0.8,226.6,12.3,0,395.1,0,0,0.3,74.8,52.1,4.1,0,0,0,20.5,0,0,95.9,0,489,0,0,4.4,0,0,0,0,0,0,0,0,0,0.3,0,1.9,0.5,0,0,0.5,0.8,4.4,7.7,560.5,0,16.2,57.8,1.4,0,0,12.9
1978,1.4,0,0.8,243.3,0.8,224.7,12.3,0,391.8,0,0,0.5,74.2,46.8,0.8,0,0,0,19.7,0,0,105.5,0,489.9,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,1.4,0.8,0,0,0.5,0.8,5.5,9.3,542.2,0,15.9,58.6,0.3,0,0.3,15.6
1979,1.9,0,1.1,273.4,0.8,216.2,12.3,0,390.7,0,0,0.3,73.7,41.9,1.4,0,0,0,15.6,0,0,109,0,492.9,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,1.6,0.8,0,0,0.5,0.5,5.5,8.2,552.3,0,15.9,57,0.3,0,0.3,15.1
1980,1.1,0,0.5,270.4,0.8,189,12.3,0,387.4,0,0,0.3,75.3,19.7,0.5,0,0,0,32.6,0,0,91.2,0,479.7,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,1.6,0.5,0,0,0.5,0.5,5.5,5.5,587.4,0,15.9,57.5,0.5,0,0,16.7
1981,0.3,0,0.5,296.4,0.3,231.5,11.2,0,372.9,0,0,0.3,75.3,17,0.8,0,0,0,37.5,0,0,84.1,0,507.1,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5,0,0,0.5,0.8,5.8,6.3,556.7,0,17.5,66.3,0.5,0,0,12.9
1982,0.3,0,0.3,291.8,0.5,213.7,10.7,0,338.1,0,0,0.3,68.5,37.3,3.3,0,0,0,32.6,0,0,104.7,0,496.7,0,0,3.6,0,0,0,0,0,0,0.5,0,0,0.3,0,2.2,0.5,0,0,0.5,0.5,6,4.9,584.7,0,17.3,59.5,0.3,0,0.3,12.3
1983,0.5,0,0.3,249.6,0.3,228.2,8.8,0,304.7,0,0,0,64.9,64.4,1.4,0,0,0,29.6,0,0,121.1,0,482.2,0,0,4.7,0,0,0,0,0,0,1.6,0,0,0.3,0,2.5,0.5,0,0,0.5,0.3,6,4.9,601.1,0,17.3,61.9,0.8,0,1.1,12.6
1984,0.5,0,0.3,275.9,0,245.8,8.8,0,289.6,0,0,0,64.1,53.7,0,0,0,0,29.9,0,0,120.8,0,476.7,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,3.3,0.3,0,0,0.5,0.5,6.3,4.1,581.6,0,17.3,53.4,0,0,0,13.2
1985,0.5,0,0.3,338.9,0.3,251.8,7.7,0,273.2,0,0,2.2,64.4,56.2,0,0,0,0,33.7,0,0,114.5,0,474,0,0,3,0,0,0,0,0.8,0,0.3,0,0,0,0,6.8,0.5,0,0,0,0.5,6.6,3.8,574.5,0,17.3,60.3,0.5,0,0,17.5
