year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,5.8,2.2,175.6,389.3,15.9,15.9,0,1.1,51.2,0,4.4,41.4,0,36.4,0,4.9,0,0.5,15.1,7.7,0,365.8,0,0.3,2.2,2.2,0.5,22.5,0,0,0,10.1,0.3,17,11,2.5,13.7,0,1.6,1.4,0,0.8,0,0,0,343,0,8.5,0,55.6,0.3,58.6,76.2,308.5
1962,6,2.2,176.4,397,15.9,13.4,0,1.1,43,0.3,3.6,34,0,40.5,0,4.7,0,0.5,16.4,9.6,0,391.8,0,0.3,1.9,5.5,0.5,23,0,0,0,10.4,0.5,16.7,9.3,1.9,14.2,0,2.2,1.6,0,1.1,0,0,0,280,0,7.9,0,63.3,0.3,55.3,80.8,292.3
1963,4.9,4.1,178.6,458.4,14.8,16.7,0,1.1,48.2,0.3,7.7,62.7,0,30.1,0,5.2,0,0.5,17,9,0,335.6,0,1.1,1.6,10.4,0.5,21.6,0,0,0,10.1,1.4,17.3,11.5,1.9,9.9,0,2.5,2.5,0,1.1,0,0,0,349.6,0,7.9,0,56.7,0.3,60,78.4,305.5
1964,5.8,3.8,191,453.7,14.2,17.5,0,1.4,48.8,0,4.7,56.4,0,58.4,0,4.9,0,0.8,18.1,8.8,0,323.6,0,1.4,1.9,3.8,0.5,27.1,0,0,0,10.4,3,15.1,9.3,1.4,11.2,0,2.2,3,0,1.1,0,0,0,283,0,6.3,0,62.2,0.3,51,83.3,301.6
1965,6.8,3.6,189.9,449.6,12.1,18.9,0,1.4,52.9,0,5.5,53.2,0,62.7,0,4.9,0,0.8,15.3,9.6,0,314,0,1.1,1.9,4.9,0.5,27.4,0,0,0,11,2.7,14.2,8.8,2.2,11.2,0,2.2,3.3,0,1.1,0,0,0,283.6,0,4.7,0,62.7,0.3,50.7,75.9,281.4
1966,8.2,3.3,194.8,498.9,17,20.8,0,1.4,45.2,0,3.8,64.1,0,69.9,0,4.9,0,0.8,14,9.9,0,331.5,0,1.4,2.2,2.7,0.5,24.9,0,0,0,11,1.1,14,10.1,1.6,9.9,0,2.7,3.8,0,1.1,0,0,0,295.1,0,3.6,0,66.8,0.3,49.3,74.5,281.4
1967,6.3,2.5,179.7,521.6,15.6,22.7,0,1.4,45.5,0,3.8,55.1,0,82.5,0,4.7,0,0.3,13.2,6.6,0,315.3,0,1.1,1.6,2.5,1.4,26.3,0,0,0,11.5,1.4,18.1,9.3,1.9,12.3,0,2.5,3.6,0,1.1,0,0,0,280.5,0,2.7,0,77.5,0.3,63.3,67.7,274
1968,6.3,2.7,166.8,542.7,19.7,24.9,0,1.4,55.1,0.3,3.3,52.6,0,84.9,0,4.7,0,0,13.7,6,0,318.1,0,0.8,1.6,3.8,1.1,26.6,0,0,0,11,0.8,12.1,8.2,1.6,11.8,0,3.3,4.1,0,0.8,0,0,0,287.7,0,2.5,0,72.3,0.3,63.3,68.2,275.1
1969,6.8,3.3,169.9,562.5,20,27.9,0,1.4,51.5,0.5,2.7,66,0,88.2,0,4.1,0,0.3,14.5,6,0,274.5,0,1.4,1.4,4.4,0.3,26.6,0,0,0,11.5,2.5,11.2,8.8,1.6,11.8,0,3.6,4.9,0,0.8,0,0,0,295.9,0,2.5,0,74.2,0.3,60.3,72.3,265.2
1970,7.7,1.9,159.2,591,21.6,26.6,0,1.1,51,0.3,3.6,58.6,0,98.9,0,4.1,0,0.5,14.2,6,0,279.2,0,1.1,1.4,2.7,0.5,28.2,0.3,0,0,11.2,5.5,16.4,9,1.6,10.4,0,2.5,6,0,0.8,0,0,0,302.7,0,2.7,0,78.9,0.5,53.7,103.6,250.7
