"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,7.7,0.5,1.9,366,33.4,2.2,10.1,0,0,102.2,0,0,247.7,2.5,11.5,3.6,0,64.4,4.7,3.8,5.8,5.5,0,39.5,0,1.6,0,0.3,0,0,0,0.8,0,0.3,0,0,23.8,0,0,0,1.1,10.1,30.4,14.8,6.6,5.8,6.8,2.5,0.5,100,1.4,0,7.7,39.7
1962,11,0.3,1.9,372.3,31.5,2.2,9.9,0,0,119.5,0,0,243.6,2.5,18.1,3.6,0,67.9,5.2,4.4,6.6,5.5,0,38.1,0,3,0,0.5,0,0,0,0,0,0.3,0,0,24.7,0,0,0,1.4,10.4,34.2,15.6,7.9,7.1,5.2,7.4,0.5,106.3,1.1,0,8.2,39.2
1963,12.6,0.3,1.6,401.1,32.3,2.2,10.4,0,0,104.1,0,0,254,2.7,21.6,5.8,0,70.7,3.3,4.9,2.2,5.8,0,37.8,0,2.7,0,0.3,0,0,0,0.8,0,0.3,0,0,27.1,0,0.3,0,1.4,11,32.1,18.1,7.7,7.9,4.9,0.8,0.5,112.3,1.1,0,8.2,40
1964,11.5,0.3,1.9,431.5,30.7,2.2,10.4,0,0,108.5,0,0,251.2,3.8,29.9,6.6,0,77,7.7,5.2,12.3,5.8,0,34.8,0,3,0,0.5,0,0,0,0,0,0.3,0,0,27.9,0,0,0,1.6,10.4,35.3,18.1,9.6,7.7,2.7,1.9,0.5,105.5,1.1,0,7.7,37.3
1965,17.3,0.3,1.9,411.2,34.8,4.1,9.6,0,0,108.5,0,0,247.9,2.7,28.8,9.6,0,77.5,17,4.7,15.3,5.8,0,34.8,0,2.2,0,0.5,0,0,0,4.4,0,0.3,0,0,24.1,0,0.3,0,1.6,10.1,31.2,19.2,10.4,7.4,3,3,0.5,112.3,1.1,0,8.5,31.5
1966,12.3,0.3,1.9,418.4,32.3,2.5,9,0,0,108.5,0,0,242.7,3,26.3,8.8,0,85.2,25.2,6,7.4,6,0,35.1,0,1.9,0,0.8,0,0,0,1.4,0,0.3,0,0,27.1,0,0.3,0,1.9,10.1,29.6,20.5,11,7.4,4.4,2.2,0.5,122.2,3.3,0,10.4,36.2
1967,9,0.3,1.4,423.3,31.2,2.5,9.6,0,0,106.3,0,0,237.3,2.5,28.2,7.9,0,84.9,31,5.8,13.2,6,0,34.8,0,1.9,0,0.3,0,0,0,0,0,0.3,0,0,28.5,0,0.3,0,1.1,9.9,27.4,23.6,10.4,7.4,3,1.4,0.5,121.1,1.1,0,9,41.4
1968,8.5,0.3,1.4,410.7,31,2.7,9.3,0,0,100.8,0,0,206.6,1.9,31,6,0,86,27.7,5.5,18.1,6,0,35.6,0,3,0,0.5,0,0,0,0,0,0.3,0,0,26.8,0,0,0,1.4,9,26.8,25.8,9,8.2,3.6,1.6,0.5,121.1,1.4,0,9,41.4
1969,10.4,0.3,1.4,456.4,44.1,2.5,8.8,0,0,100.3,0,0,252.9,2.5,28.2,5.8,0,97.8,25.5,6.3,19.2,6,0,34.8,0,1.9,0,0.3,0,0,0,1.6,0,0,0,0,26.6,0,0.3,0,1.4,9.6,29.9,26.8,9.3,8.8,2.2,0.8,0.5,115.9,1.4,0,10.4,40
1970,10.7,0.3,1.9,448.5,52.1,2.7,8.5,0,0,94.2,0,0,253.4,2.5,28.2,6.3,0,90.7,26,6,19.5,6,0,32.1,0,2.2,0,0.3,0,0,0,0.8,0,0.3,0,0,29.9,0,0,0,1.9,8.8,31.8,24.4,6.6,8.5,3.3,0.5,0.5,112.3,1.6,0,12.6,40
