"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other"
1961,9.9,0,3.8,452.9,84.7,2.7,149,0,11.2,12.6,0,0,98.4,4.4,311,0,0,67.4,0,0,34.5,6.8,0,19.7,3,0.8,0,0.8,0,0.3,6.8,0.8,0,0.3,19.7,4.7,1.4,0,0,0,0.3,72.1,21.1,19.7,1.1,13.7,2.5,11.2,0,98.4,0.3,7.1,20.3,22.5
1962,9.9,0,3.8,438.9,83.6,0.5,151,0,10.1,14.8,0,0,101.1,3,264.4,0,0,64.1,0,0,35.1,9.6,0,19.5,3,1.6,0,0.8,0,0,7.1,0.8,0,0.3,15.1,4.4,1.9,0,0,0,0.3,66.3,29.6,19.5,1.1,12.9,2.5,11.5,0,94.5,0.3,5.8,15.6,21.6
1963,10.1,0,3.6,436.4,80.8,1.4,147.7,0,7.9,17,0,0,106.3,3.3,287.4,0,0,61.4,0,0,35.6,9.9,0,12.1,4.9,1.6,0,0.5,0,0,7.7,0.8,0,0.3,15.9,4.1,2.2,0,0,0,0.3,67.7,26.6,19.5,1.1,12.3,2.5,11.8,0,89,0,6.3,15.3,22.2
1964,11.8,0,3.8,453.2,82.5,8.8,165.8,0,7.1,20.8,0,0,120.5,3.8,269.9,0,0,61.9,0,0,36.2,9.9,0,12.9,5.2,1.1,0,0.8,0,0,9,1.4,0,0.3,16.2,5.2,2.5,0,0,0,0.3,59.5,28.8,19.2,1.1,12.3,2.5,11.2,0,103.8,0,9.3,19.7,22.2
1965,11.5,0,4.1,424.1,84.1,2.5,160.3,0,7.9,21.4,0,0,115.6,3.8,280.8,0,0,60.5,0,0,37,9.6,0,15.1,4.7,1.6,0,0.8,0,0,7.9,2.2,0,0.3,15.1,3.6,2.2,0,0,0,0.3,55.6,33.4,19.2,0.8,12.1,2.2,10.7,0,106.6,0,9.3,19.2,22.7
1966,12.6,0,4.4,408.5,87.1,0.8,157.5,0,6.3,23.8,0,0,118.1,3.6,272.1,0,0,54.8,0,0,40.5,9.6,0,11.2,4.7,0.8,0,0.8,0,0,8.8,1.9,0,0.3,17,4.1,2.5,0,0,0,0.3,57,28.2,19.2,1.1,11,2.2,9.3,0,102.7,0,8.8,18.6,21.9
1967,12.6,0,4.9,392.1,94.2,0.3,160.3,0,8.5,24.9,0,0,117.3,3.8,263.8,0,0,54.5,0,0,41.9,9.6,0,9.9,5.8,1.4,0.3,0.8,0,0,11,1.9,0,0.5,17.5,4.1,3,0,0,0,0.3,54.5,30.4,19.5,0.8,10.4,2.2,9,0,102.2,0,7.7,16.4,23.3
1968,12.6,0,4.9,404.7,97.8,0.5,170.1,0,7.1,25.8,0,0,114.8,3.6,285.2,0,0,52.9,0,0,43.3,9.6,0,8.2,7.9,1.6,0,0.8,0,0,9.9,1.9,0,0.5,15.6,4.7,2.7,0,0,0,0.3,57,30.4,19.5,0.8,10.1,1.1,6.8,0,102.5,0,7.9,20,22.2
1969,11.2,0,4.7,430.7,104.7,0.3,177,0,6,26.3,0,0,123.8,3.8,286.6,0,0,52.3,0,0,44.7,9.6,0,4.7,11.5,1.4,0,0.8,0,0,10.4,1.9,0,0.3,13.7,4.1,3,0,0,0,0.3,50.1,27.7,19.5,0.8,10.1,1.9,10.4,0,107.9,0.3,5.8,16.2,21.9
1970,11.2,0,5.2,425.8,127.4,0.3,172.1,0,6,26.6,0,0,132.3,3.8,285.8,0,0,51.8,0,0,45.5,7.9,0,4.4,6.3,1.4,0,0.8,0,0,10.4,3.8,0,0.5,13.2,4.7,3,0,0,0,0.3,49.6,26.8,16.2,0.8,8.8,1.6,10.7,0,108.5,0.3,8.8,19.7,22.2
1971,10.7,0,4.7,433.2,108.5,5.5,166.3,0,6,25.8,0,0,128.8,4.1,283.3,0,0,48.5,0,0,46.6,7.7,0,5.5,8.2,1.9,0,0.8,0,0,9.6,1.4,0,0.5,12.3,4.7,2.2,0,0,0,0.3,48.8,23.3,15.9,0.8,7.9,1.6,10.1,0,114.2,0.3,10.1,15.9,21.9
