year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,15.3,0.8,88.2,469.6,29.9,0.8,0,0,101.4,0,2.7,5.5,0,27.9,5.8,74.8,0,0,3.3,7.7,0,557,0,0,0,0.3,0,1.9,0,0.5,0,3,2.7,4.9,23.3,1.1,0.5,0,1.1,1.4,0,0.5,0,0,0,186,0,0,0,54,0,17.5,34,109.6
1962,16.4,0.5,96.2,466,20.3,1.1,0,0,74,0.3,3.6,7.4,0,29.6,4.7,96.4,0,0,3,7.4,0,574.8,0,0,0,0,0,1.4,0.8,0.3,0,3,7.4,6.3,23,1.6,0.3,0,0.5,1.6,0,1.1,0,0,0,180.8,0,0,0,51.5,0,18.6,34.5,116.2
1963,16.2,0.8,95.3,444.7,30.7,0.8,0,0,73.2,0.3,2.7,3.8,0,32.3,4.4,93.7,0,0,3.3,6.8,0,577.3,0,0,0,0,0,1.6,0,0.3,0,3,10.1,6.3,22.2,1.9,0.3,0,1.4,2.5,0,0.8,0,0,0,184.4,0,0,0,57,0,25.2,39.7,137.3
1964,15.6,0.5,102.7,457.5,18.1,1.1,0,0,72.3,0.3,3.6,6.3,0,40.5,3.6,90.1,0,0,4.1,7.7,0,588.8,0,0,0,0.3,0.3,0.8,0,0,0,3.8,11.2,6.3,23,1.6,0.3,0,0.8,2.2,0,1.1,0,0,0,178.4,0,0,0,62.2,0,24.7,38.6,139.5
1965,14.2,0.5,101.6,471.2,17.3,1.9,0,0,42.7,0.3,4.1,6,0,41.9,4.1,87.9,0,0,5.8,6.8,0,571.8,0,0,0,0,0,0.8,0.5,0,0,3.3,11.5,6,22.7,1.4,0.3,0,1.6,2.5,0.3,0.5,0,0,0,177.3,0,0,0,74.2,0,22.5,36.2,124.4
1966,14.2,1.1,112.1,489.9,30.4,2.7,0,0.3,77.3,0.3,4.1,8.8,0.3,49,3.6,78.9,0,0,3.8,7.7,0,587.7,0,0,0,0,0.3,1.6,0.3,0,0,3,13.4,6,23.8,1.6,0.3,0,1.9,3.6,0.3,0.8,0.3,0,0,182.5,0,0,0,76.4,0,26.3,35.1,144.1
1967,14.5,1.4,112.6,520,34.5,5.2,0,0,78.1,0.3,4.7,11,0.3,58.9,3,72.3,0,0,4.9,7.4,0,587.7,0,0,0,0,0.3,1.6,0,0,0,3.3,12.6,5.8,23.3,1.6,0.5,0,1.1,4.4,0.3,0.8,0.3,0,0,187.1,0,0,0,77.3,0,28.2,36.2,148.8
1968,15.3,1.1,105.5,527.7,32.9,4.9,0,0.3,82.5,0.3,4.1,10.7,0.3,67.1,2.7,72.1,0,0,4.7,5.8,0,576.2,0,0,0,0,0,1.4,0,0.3,0,2.7,14.5,4.1,23,1.6,0.5,0,1.4,4.1,0,1.4,0,0.3,0,184.9,0,0,0,76.2,0,26.6,34,150.1
1969,17.3,0.8,109,524.1,50.7,4.4,0,0,101.9,0.3,4.7,12.9,0,72.9,3,72.9,0,0,5.8,5.8,0,568.8,0,0,0,0,0,0.5,0,0.5,0,3,16.4,6.8,22.5,2.2,0.5,0,1.1,5.5,0,1.1,0,0,0,180,0,0,0,78.6,0,28.5,34.2,156.4
1970,16.7,0.8,100.5,534.2,29.3,5.8,0,0,95.1,0.3,5.5,14.8,0.3,81.6,2.5,73.7,0,0,6,5.2,0,551.2,0,0,0,0.3,0,1.1,0,0,0,4.7,19.5,6.6,20,2.2,0.5,0,1.9,4.9,0,1.1,0.3,0,0,177,0,0,0,83.6,0,36.7,38.6,165.8
